epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,0.909678,0.113582,2.652188,0.642615,0.3165,0.9485,0.940806,0.128039,2.722583,0.001
2,1.60196,0.173401,4.853682,1.10687,0.9698,0.145,1.618173,0.181754,5.143404,0.001
3,1.538491,0.204805,8.733255,0.466271,0.7698,0.8197,1.408836,0.182388,8.178132,0.001
4,1.489947,0.199834,8.787048,0.392887,0.8028,0.9076,1.404243,0.187538,8.658533,0.001
5,1.434861,0.189179,8.22162,0.419464,0.7626,0.9223,1.208288,0.155232,7.136654,0.001
6,1.424333,0.190021,8.365048,0.346898,0.8049,0.9349,1.207641,0.163287,7.047544,0.001
7,1.419841,0.189095,8.31457,0.361944,0.801,0.9168,1.297528,0.170178,7.655878,0.001
8,1.471688,0.196917,8.696244,0.313423,0.8295,0.9478,1.268103,0.171414,7.581639,0.001
9,1.354343,0.177943,7.725154,0.326368,0.8293,0.9405,1.240952,0.164968,7.405824,0.001
10,1.3484,0.17658,7.488126,0.392374,0.8241,0.9248,1.262628,0.169037,7.016285,0.001
11,1.248512,0.163804,6.78892,0.528082,0.757,0.8825,1.186033,0.159949,6.627557,0.001
12,1.192613,0.154741,5.553088,0.69259,0.716,0.8753,1.153603,0.150135,5.402297,0.001
13,1.082836,0.137985,5.196164,1.367497,0.6583,0.8296,1.088562,0.140564,4.883347,0.001
14,1.04887,0.133434,4.977469,1.273664,0.6229,0.8324,1.019879,0.131909,4.318008,0.001
15,0.95877,0.117561,3.730017,1.772467,0.6122,0.7947,1.032969,0.123359,3.499657,0.001
16,1.034959,0.121068,3.332142,1.254649,0.6998,0.7888,1.1768,0.129092,3.338999,0.001
17,0.938095,0.112805,2.772684,1.263584,0.6125,0.8285,1.059355,0.123678,2.863299,0.001
18,0.923131,0.11645,2.727632,0.759898,0.6593,0.822,1.051112,0.135425,3.180357,0.001
19,3.147099,0.348779,14.799752,0.7338,0.5276,0.6759,3.373283,0.381934,15.750986,0.001
20,3.138721,0.346741,14.712643,0.678906,0.4966,0.7058,3.238479,0.374433,15.309198,0.001
21,1.452649,0.167725,4.833198,0.518484,0.7391,0.7596,1.553409,0.185141,5.242532,0.001
22,1.327407,0.150825,4.104544,0.52143,0.7007,0.8742,1.277369,0.161359,4.154288,0.001
23,0.953843,0.118687,2.715211,0.550847,0.6321,0.8584,1.059331,0.127529,2.73858,0.001
24,1.161743,0.145225,3.642048,0.482829,0.805,0.7884,1.19691,0.161033,4.119146,0.001
25,1.358589,0.163505,4.968034,0.550619,0.7117,0.828,1.533984,0.184342,5.39602,0.001
26,3.772016,0.42908,18.724,0.671987,0.6296,0.6198,3.734667,0.420582,17.664139,0.001
27,1.741471,0.253008,8.15934,0.51446,0.5891,0.9493,1.553156,0.242431,7.496752,0.001
28,1.176775,0.141373,3.633908,0.530721,0.7087,0.8441,1.263463,0.15251,3.963268,0.001
29,0.842581,0.115642,2.607716,0.555262,0.6043,0.8408,1.084252,0.128991,2.864417,0.001
30,3.385256,0.3903,16.249578,0.556823,0.5667,0.8113,3.330646,0.385365,15.611133,0.001
31,1.343142,0.157582,4.147521,0.490617,0.8165,0.7577,1.438146,0.169573,4.589457,0.001
32,1.087271,0.13632,3.490585,0.533019,0.6706,0.8917,1.159745,0.145343,3.570432,0.001
33,0.641535,0.117982,2.160627,0.606362,0.5498,0.7574,0.800679,0.124905,1.955045,0.001
34,0.686927,0.114672,2.65899,0.537146,0.7092,0.8155,0.775611,0.131352,3.031596,0.001
35,0.530066,0.09505,1.968574,0.579356,0.5947,0.8066,0.681195,0.111186,2.170004,0.001
36,1.478457,0.175041,5.125272,0.588122,0.5799,0.7745,1.557472,0.188088,4.986553,0.001
37,0.655412,0.112579,2.596439,0.528795,0.7353,0.8056,0.889042,0.127926,2.734531,0.001
38,0.501973,0.088273,1.716647,0.58389,0.5467,0.8149,0.638762,0.102296,1.756574,0.001
39,0.622918,0.096353,1.92574,0.607055,0.4925,0.8016,0.718454,0.109495,1.85243,0.001
40,0.521553,0.088741,1.804215,0.587157,0.5787,0.7877,0.612866,0.096398,1.825143,0.001
41,0.668987,0.096935,2.000037,0.606754,0.5325,0.7832,0.669566,0.101513,1.659673,0.001
42,0.537659,0.087787,1.769041,0.586432,0.6038,0.7804,0.671185,0.102101,1.866905,0.001
43,0.889237,0.122679,2.596511,0.591561,0.5625,0.8108,0.837961,0.120949,2.024693,0.001
44,0.570261,0.089627,1.83296,0.578503,0.637,0.7617,0.657057,0.099067,1.779341,0.001
45,0.897506,0.129902,2.658122,0.572891,0.6116,0.8063,1.009696,0.129445,2.708996,0.001
46,0.608973,0.091675,1.956823,0.561097,0.6753,0.7659,0.720495,0.104531,1.951705,0.001
47,0.565734,0.086378,1.526359,0.624931,0.474,0.7742,0.562694,0.087299,1.379442,0.001
48,0.49513,0.082297,1.661135,0.598587,0.6358,0.7224,0.60745,0.090077,1.67836,0.001
49,0.502781,0.08036,1.328607,0.639078,0.5026,0.7212,0.551224,0.085498,1.24549,0.001
50,0.458992,0.076121,1.407073,0.624486,0.6149,0.6819,0.535389,0.084243,1.462851,0.001
