#{"t_start": 1777972868.218033, "env_id": "None"}
r,l,t
0.31583586,17,7.024522
0.06687772,23,7.030522
0.37939936,27,7.037527
0.6410698,30,7.046525
-0.03200306,10,7.049525
-0.32921383,11,7.053615
0.10009075,13,7.057617
0.46733963,28,7.065616
0.28022853,15,7.070615
0.5432734,27,7.078616
0.60316503,31,7.088615
0.08190161,18,7.093617
0.17410603,13,7.097615
0.19828652,27,7.105616
-0.87732154,11,7.109616
0.46020344,20,7.115615
0.1646606,18,7.121615
0.67460173,37,7.133615
-0.29735252,12,7.136619
0.21561839,16,7.140618
0.27885836,16,7.145618
0.096748516,25,7.154125
0.13710518,23,7.162126
0.87027574,41,7.172125
-0.13288686,17,7.176126
0.17375584,14,7.180125
-0.030807612,14,7.184125
0.41437966,28,7.193126
0.205811,25,7.201127
-0.038648065,20,7.207126
0.019331891,13,7.212126
0.5985288,28,7.221125
0.16163784,19,7.227126
0.22814289,16,7.231125
0.12227943,11,7.235126
0.27013677,26,7.244128
0.09468293,21,7.250633
0.8600103,43,7.263636
0.5130112,25,7.271637
0.8533975,36,7.282638
0.150622,17,7.287637
-0.016973754,12,7.291637
0.27715337,17,7.296636
0.52069163,26,7.305637
0.2348111,26,7.313638
0.36570314,23,7.320637
0.014694683,12,7.324636
0.8227516,34,8.205202
0.10554841,17,8.25529
0.8384752,41,8.38233
0.064403266,13,8.423329
0.24265511,21,8.486366
0.53618485,32,8.587863
0.19367422,13,8.627863
1.114605,49,8.774609
-0.003287686,16,8.821607
0.23088136,11,8.853728
0.1784316,20,8.910727
0.09400374,17,8.959841
0.28484428,21,9.018841
0.5645048,26,9.094863
0.66616166,30,9.181992
0.53943366,27,9.260044
0.08594394,21,9.31955
0.6311012,30,9.403361
0.6204539,28,9.490417
0.6486782,27,9.572519
0.1601251,10,9.601519
0.5608095,27,9.68058
0.50144076,27,9.761678
0.059078332,16,9.809438
0.26526245,13,9.848952
0.09050378,19,9.906101
0.6329896,40,10.028155
0.73176163,33,10.129244
0.11742284,7,10.151244
0.3949472,25,10.228313
0.55331075,28,10.314399
0.26044157,22,10.382456
0.63231164,31,10.4755
0.52300173,34,10.576547
0.531251,23,10.643552
0.27284238,20,10.704625
0.68789107,30,10.790674
0.16857713,15,10.835672
0.20507565,19,10.891706
0.32407826,18,10.94471
0.3835351,20,11.006057
0.25256273,17,11.055562
0.3585586,25,11.127562
0.31571266,22,11.191618
1.0516372,43,11.320704
0.4330184,24,11.389791
0.8264317,37,11.497938
0.026578344,19,11.553942
0.63505656,43,11.683121
0.10546754,21,11.745125
0.07845336,16,11.793151
0.7065023,28,11.879466
0.07805121,24,11.956323
0.24087536,19,12.014435
1.1699847,49,12.155614
-0.14671533,18,12.208616
1.2423204,52,12.367194
0.4999004,28,12.453198
0.37459016,24,12.523707
0.30232012,28,12.609829
0.7385392,29,12.69691
0.18208376,9,12.722909
0.9231664,40,12.840138
0.43918154,23,12.9072
0.7178137,34,13.0053
0.3729345,24,13.072366
0.5148957,24,13.153371
0.18515301,13,13.191413
0.307089,22,13.257487
0.46528774,26,13.334487
0.47264558,31,13.429584
0.38567552,26,13.503801
0.063412674,19,13.561922
0.36851352,23,13.628922
0.6091212,30,13.716268
0.3948781,23,13.782779
0.08483901,11,13.815779
0.39132595,30,13.906854
0.2775305,21,13.966979
0.9305181,41,14.095218
0.6843115,40,14.210356
1.0637299,47,14.35199
0.582393,31,14.446503
0.9511841,45,14.580524
0.46889615,29,14.667561
0.5810768,28,14.752564
0.6718358,34,14.855593
0.36091012,25,14.932676
0.33560508,29,15.016737
0.8177534,41,15.134251
0.15658088,29,15.219333
0.37270412,39,15.339846
1.1906698,51,15.497195
0.020571178,11,15.529378
0.41214868,31,15.623894
0.801551,37,15.741037
0.35947555,30,15.829119
0.25650278,31,15.918163
0.7790041,32,16.012198
0.65194637,37,16.121227
-0.028557114,21,16.183255
0.93826276,41,16.306882
0.59707105,35,16.409458
0.9804584,45,16.537482
0.65981376,35,16.644998
0.63106555,32,16.742509
0.5147915,26,16.817606
0.5402068,33,16.916797
0.80828214,36,17.023863
0.77241933,35,17.127017
0.8705777,43,17.255536
0.5795323,25,17.328043
1.1212277,56,17.492341
0.19265796,42,17.612622
1.0032514,51,17.76373
0.8454682,37,17.873188
0.55638075,27,17.952191
1.0729115,48,18.090785
1.1323673,48,18.231843
0.021204464,12,18.266356
0.57987463,32,18.365484
0.4744694,39,18.480078
0.52584356,49,18.624592
0.19382004,31,18.717646
0.31588724,28,18.794913
0.95399636,53,18.948963
0.65347844,53,19.10624
0.4377284,42,19.234295
0.5721474,31,19.326078
0.27758458,21,19.388589
0.23992056,23,19.453592
0.88167626,48,19.596211
0.3894309,34,19.693724
0.79119134,45,19.825745
0.53672266,38,19.938983
1.1418716,50,20.084116
0.26902622,17,20.133116
1.321728,60,20.306732
0.82991785,48,20.450248
0.31953433,36,20.561571
0.77042097,40,20.681581
0.74639255,38,20.792958
0.9693135,46,20.93747
1.314348,59,21.109756
0.5593275,47,21.256125
1.1508287,52,21.412678
0.73467094,42,21.534745
0.95384765,48,21.674689
0.32969686,29,21.763
0.9208946,46,21.894512
0.71251756,33,21.992023
0.778942,45,22.121539
0.4786299,37,22.229663
1.4217557,61,22.407777
0.9318834,45,22.541881
1.1564298,49,22.68906
0.5133763,37,22.796166
1.2467338,47,22.933187
1.1954907,70,23.12923
1.2344191,67,23.326844
0.6567499,33,23.422354
0.61545914,45,23.552874
1.1866426,56,23.716444
1.1757026,52,23.871535
0.7256134,37,23.980576
0.676419,50,24.128637
0.324456,28,24.21015
1.0975959,53,24.365764
0.53378683,58,24.535861
1.2110586,52,24.684131
0.90601504,54,24.85468
0.9502252,49,24.99652
0.60695195,38,25.106635
1.3420334,61,25.279983
0.43537688,46,25.415115
0.91547793,47,25.555163
1.257435,58,25.723408
0.5755162,34,25.82153
0.8972611,44,25.949784
0.5909993,46,26.090883
1.113497,58,26.253961
0.58572376,49,26.396098
0.9646966,51,26.542303
1.4196022,66,26.73945
0.7983904,43,26.865865
1.6003419,67,27.064909
0.65278757,65,27.256938
1.3660798,60,27.432484
0.66969794,51,27.579112
1.5813397,65,27.770291
1.0080518,46,27.903356
1.0972552,56,28.064483
0.9033866,43,28.18855
0.94657123,65,28.373123
0.7314414,53,28.52763
0.6701526,40,28.639979
1.6657068,66,28.832566
0.85981023,45,28.971599
1.0060822,57,29.141815
1.7193557,77,29.359714
1.1813438,53,29.515278
0.776465,42,29.637323
1.5786694,64,29.82457
1.3633865,57,29.990825
0.55588657,38,30.100337
1.3148397,63,30.282885
0.91242707,52,30.44
1.866185,80,30.672168
0.37172806,30,30.760173
1.3521873,56,30.922527
1.7774104,75,31.138061
0.6861421,40,31.252574
1.2137364,64,31.44516
1.3289347,61,31.621775
1.5642862,68,31.816846
0.59814584,26,31.890885
0.9545484,58,32.063002
1.6429633,69,32.266603
1.2037169,68,32.466143
0.7003138,36,32.570519
1.3392049,64,32.75862
1.7245908,77,32.98187
1.6893886,70,33.195
1.2959532,60,33.369021
1.2559952,58,33.54033
1.2945627,64,33.730496
1.3158859,55,33.887735
0.4854172,30,33.976931
1.1624788,52,34.130063
2.123588,82,34.367811
1.0410641,49,34.51944
1.1288391,60,34.702607
1.0110228,56,34.872704
1.5217072,78,35.101557
1.1068941,55,35.261696
1.6046939,66,35.453878
1.0300274,44,35.579923
1.7070178,72,35.790277
0.8864161,46,35.922327
0.7552933,48,36.063448
1.7805378,73,36.278685
1.357591,63,36.461828
1.4797459,66,36.67325
0.8516095,45,36.814301
1.021831,56,36.983481
1.4667108,68,37.181801
1.8952248,74,37.394056
0.90805626,49,37.537125
0.90783674,42,37.661285
1.7999727,68,37.867314
2.1323504,78,38.097635
1.7252266,73,38.310187
1.2935741,61,38.494242
1.5601791,72,38.705458
1.2640768,77,38.932813
0.89509404,50,39.08288
1.6267536,77,39.30802
0.50384384,22,39.371098
1.2159895,61,39.553501
1.602017,74,39.764532
0.9629337,42,39.891173
1.1889616,73,40.109937
2.4187887,88,40.36914
1.6810971,73,40.584313
1.0087292,59,40.768383
2.180651,83,41.002576
1.5389458,66,41.196026
2.1004045,80,41.430133
2.2594025,86,41.678345
2.1819067,84,41.923662
2.0622878,78,42.155905
1.6757303,79,42.38228
1.5325114,66,42.574327
1.7700094,81,42.808727
1.4460639,66,42.99703
1.3023837,49,43.138308
1.30566,69,43.341646
2.0315888,76,43.563843
2.0946982,77,43.787493
1.3557789,66,43.982762
1.4255437,64,44.168826
1.5740293,65,44.361887
0.91417694,41,44.484913
1.6933663,77,44.709186
1.6788933,73,44.920468
1.3953491,62,45.113495
1.9087608,78,45.337814
2.1986432,81,45.576841
2.074063,78,45.802157
1.367274,67,45.994519
1.405868,64,46.184372
2.2355852,85,46.438576
1.6921862,73,46.653723
1.4925263,69,46.857813
2.15425,82,47.096009
1.2989671,58,47.26525
2.2915413,88,47.518424
1.3814398,63,47.701453
1.6795112,72,47.914586
1.180509,54,48.074603
1.9563813,74,48.288935
1.4402416,68,48.490792
1.7246608,63,48.677486
1.432606,66,48.872232
2.0270479,79,49.111169
1.2709738,55,49.270199
1.4363995,68,49.471385
1.5806931,72,49.681777
2.0249078,76,49.905378
2.21063,81,50.139569
1.2004886,54,50.295723
1.5876269,68,50.498019
2.1634235,78,50.730551
1.6778713,74,50.943273
1.560236,69,51.143429
2.051829,76,51.365885
1.9117028,70,51.574911
1.4147123,58,51.744292
1.4319925,62,51.924989
1.6946081,69,52.127789
1.7731568,74,52.343876
1.3578076,63,52.530062
2.2714927,83,52.76716
1.3433357,66,52.984437
1.2587321,63,53.1639
1.9285935,75,53.381969
1.3468889,64,53.579149
1.8257179,74,53.796279
2.1297626,78,54.028403
1.56822,68,54.230665
1.7790676,64,54.4165
1.7300916,74,54.634832
2.030361,79,54.866059
1.1729369,55,55.029671
2.2014625,79,55.260337
2.3533247,84,55.508613
1.0258632,49,55.650694
1.0506791,55,55.814806
2.248173,81,56.05389
1.2312069,65,56.243512
1.6097238,68,56.446185
1.3830642,64,56.635348
1.3047585,57,56.802257
1.7501183,73,57.02041
1.9345094,81,57.26055
1.5110956,66,57.455153
1.2697198,66,57.650007
1.7429959,69,57.853626
1.3625801,73,58.068871
1.7204924,70,58.275782
2.2654674,84,58.525937
1.1077812,50,58.67202
2.2505057,82,58.908439
2.1746829,80,59.143553
1.0451876,48,59.288649
1.759453,70,59.499531
2.26327,84,59.744757
1.3036392,59,59.920779
1.9293442,78,60.150034
1.8858172,68,60.351264
1.5830293,65,60.53935
1.2725139,73,60.751896
1.6121032,68,60.957492
1.1483874,57,61.126031
1.9225491,78,61.355661
1.4594244,67,61.549002
0.90819484,44,61.680571
1.7607719,77,61.901657
1.763931,72,62.117748
2.1407135,81,62.355875
2.0274012,74,62.568132
1.58641,72,62.778264
1.9796401,81,63.016423
1.3327734,63,63.200308
2.0846016,82,63.440445
1.1774416,57,63.612579
1.3687844,62,63.792504
1.4107479,67,63.991866
1.8163584,74,64.203805
1.6743258,63,64.38706
2.0155199,76,64.606774
1.1629267,58,64.783293
2.233269,85,65.034652
1.8278857,71,65.24126
1.8110682,75,65.460847
1.399201,68,65.659981
1.5074086,56,65.826216
1.8587818,77,66.053372
2.0429456,76,66.275395
1.8521568,85,66.527543
1.5489182,65,66.714107
1.9329249,76,66.940697
1.3703418,74,67.160839
1.7328798,76,67.388257
1.6406392,68,67.589416
1.9382008,70,67.790662
1.3734092,69,67.998726
2.3029518,85,68.245922
2.060917,76,68.467788
1.4973143,77,68.695576
1.3879733,65,68.893265
1.4627899,68,69.089795
1.7984909,73,69.304754
1.0577985,53,69.458896
2.2181895,81,69.699124
1.6545914,69,69.898473
1.7344625,74,70.123519
1.3889611,67,70.316821
1.7031342,72,70.522941
1.7386464,72,70.736083
1.1990412,56,70.896924
1.1974051,61,71.077046
1.8734834,78,71.305241
1.847861,78,71.530477
1.897239,75,71.750625
2.1133308,85,71.996861
2.0832329,77,72.227109
1.6989888,70,72.429259
2.3279054,86,72.688781
1.3783135,69,72.891414
1.2590538,59,73.062626
2.2108736,81,73.296472
1.8994042,70,73.500829
1.3772242,61,73.677997
1.7193979,71,73.891329
1.9641474,87,74.140899
