epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.011877,0.119052,2.872637,0.632261,0.3364,0.95,1.055454,0.112728,2.220215,0.001
2,3.454675,0.395974,17.225374,1.081109,0.9336,0.2397,3.712201,0.407638,17.409054,0.001
3,1.311806,0.172507,7.40925,0.52682,0.6494,0.7969,1.028492,0.142912,6.248101,0.001
4,1.309895,0.172112,7.52334,0.436219,0.7239,0.8898,1.165774,0.161525,7.443612,0.001
5,1.236639,0.160728,6.961314,0.396838,0.7275,0.9207,1.066585,0.146755,6.897072,0.001
6,1.160663,0.15086,6.425854,0.471958,0.7348,0.8561,0.965335,0.127338,5.985179,0.001
7,1.05635,0.137852,5.710918,0.504072,0.7258,0.8549,0.93134,0.127179,5.572303,0.001
8,0.960921,0.12582,4.903586,1.070401,0.7185,0.7785,0.768175,0.099614,3.705958,0.001
9,0.935746,0.123684,4.598068,1.074103,0.6973,0.8092,0.780623,0.1044,3.740584,0.001
10,0.86099,0.118082,3.845589,1.662307,0.7096,0.8221,0.59734,0.092371,2.761505,0.001
11,0.765132,0.106243,3.050063,1.395754,0.6482,0.8426,0.552683,0.082781,1.962007,0.001
12,0.625496,0.086352,2.564298,1.108397,0.5991,0.7676,0.403844,0.066927,1.374968,0.001
13,0.542666,0.092029,1.765622,0.805265,0.6334,0.7693,0.450521,0.084706,1.297421,0.001
14,0.444219,0.076682,1.841644,0.551004,0.6772,0.8573,0.3964,0.075943,1.47183,0.001
15,0.620664,0.10342,1.842672,0.644628,0.6492,0.8063,0.560532,0.096153,1.273651,0.001
16,0.396467,0.067336,1.750418,0.535177,0.6974,0.8172,0.451855,0.070707,1.405933,0.001
17,0.584264,0.099071,1.83472,0.559393,0.6849,0.8594,0.568661,0.100038,1.279603,0.001
18,0.456616,0.070936,1.699787,0.499398,0.749,0.8118,0.508263,0.078917,1.398536,0.001
19,0.549463,0.092427,1.711276,0.534865,0.7123,0.8496,0.453525,0.075256,1.258262,0.001
20,0.434003,0.067418,1.63192,0.483774,0.7532,0.8346,0.459249,0.072134,1.353654,0.001
21,0.537336,0.09156,1.707768,0.522608,0.7098,0.8478,0.478564,0.081544,1.248495,0.001
22,0.445613,0.066471,1.64797,0.47644,0.771,0.8274,0.483195,0.072002,1.212708,0.001
23,0.487056,0.082345,1.659865,0.518771,0.7204,0.8379,0.509869,0.0804,1.213081,0.001
24,0.399438,0.062855,1.616009,0.473818,0.7687,0.8245,0.440496,0.067574,1.363081,0.001
25,0.443775,0.073758,1.562996,0.505924,0.7287,0.8535,0.411022,0.071219,1.150163,0.001
26,0.357339,0.058267,1.570652,0.512103,0.7416,0.8056,0.360297,0.056998,1.333636,0.001
27,0.392475,0.065841,1.572834,0.564209,0.6867,0.7998,0.357381,0.062026,1.240714,0.001
28,0.350681,0.056857,1.531385,0.522734,0.7544,0.7851,0.354289,0.057778,1.250348,0.001
29,0.419698,0.07093,1.589809,0.524988,0.7123,0.8317,0.356591,0.061285,1.222865,0.001
30,0.368724,0.05865,1.592646,0.496027,0.7665,0.8105,0.374028,0.062825,1.322376,0.001
