#{"t_start": 1778425977.9211092, "env_id": "None"}
r,l,t
0.3132606,17,6.729352
0.06956892,23,6.734358
0.37755448,27,6.741411
0.65666723,30,6.748427
-0.03260677,10,6.751445
-0.322482,11,6.754444
0.09490613,13,6.757946
0.4718727,28,6.765452
0.2926869,15,6.769459
0.57096624,27,6.77546
0.652445,31,6.783466
0.08954263,18,6.787466
0.17683674,13,6.790474
0.20837136,27,6.796474
-0.8764837,11,6.79931
0.47074628,20,6.804482
0.16138959,18,6.808587
0.67311007,37,6.817589
-0.29796964,12,6.820597
0.21842611,16,6.824597
0.29538822,16,6.828602
0.116553284,25,6.835607
0.13717286,23,6.84062
0.90503496,41,6.851142
-0.12597466,17,6.855141
0.18732339,14,6.859526
-0.030336667,14,6.862666
0.43605798,28,6.869675
0.21363968,25,6.875675
-0.042291343,20,6.879571
0.024491332,13,6.883685
0.6048495,28,6.890702
0.16420895,19,6.894702
0.22712943,16,6.899688
0.13061869,11,6.901822
0.281177,26,6.908323
0.13648318,21,6.913327
0.91335666,43,6.92435
0.5299755,25,6.930395
0.8563271,36,6.938401
0.15009965,17,6.942404
-0.0119999405,12,6.947415
0.27672085,17,6.951487
0.5357405,26,6.957486
0.24368563,26,6.962908
0.37172583,23,6.969244
0.01650513,12,6.971825
0.88361955,35,7.738736
0.23341486,20,7.797405
0.9323703,43,7.914783
0.15249737,12,7.94784
0.17532063,24,8.013322
0.52721024,30,8.093594
0.14186715,10,8.121697
1.0969497,47,8.244776
0.10679939,16,8.285362
0.30190778,16,8.326501
0.13891213,17,8.370341
0.22005934,15,8.4149
0.39788982,25,8.486363
1.0013719,40,8.591385
0.5149662,27,8.660458
0.82211643,41,8.764362
0.1776854,18,8.816002
0.6474112,27,8.883362
0.5042074,26,8.948323
0.64075214,25,9.012942
0.31923807,25,9.0763
0.4546068,21,9.131881
0.39440703,19,9.182067
0.21240738,19,9.241657
0.20355387,18,9.290351
0.09561415,25,9.354306
0.56909794,31,9.430516
0.75961554,35,9.519854
0.13724323,8,9.540383
0.2859129,16,9.580685
0.9057497,37,9.676392
0.15201582,24,9.737745
0.608673,28,9.810629
0.71581405,34,9.903507
0.35155913,23,9.964288
0.3037149,15,10.001951
0.5695827,26,10.06585
0.11543849,15,10.104453
0.17006172,15,10.142336
0.3648366,19,10.189488
0.36214533,19,10.239263
-0.006078437,14,10.275983
0.26991743,25,10.33925
0.6491882,30,10.417454
1.0546894,45,10.533099
0.31668743,24,10.597797
0.85939306,40,10.704443
0.059418917,12,10.739299
0.61979324,31,10.824352
0.14032087,17,10.871499
0.108490504,14,10.907656
0.6857966,28,10.985706
0.089160345,28,11.06378
0.13508347,18,11.109264
0.98041534,42,11.223719
0.014838221,22,11.28338
1.1583833,50,11.413378
0.5262902,30,11.490015
0.21058178,18,11.536337
0.22022647,23,11.593722
0.88977873,40,11.694898
0.18045196,9,11.719656
1.0227143,43,11.830785
0.4537907,25,11.893313
0.6743312,30,11.972303
0.3299854,23,12.03757
0.47571123,24,12.095582
0.095520765,14,12.134318
0.30855122,20,12.184568
0.39462912,29,12.254891
0.37494248,29,12.330819
0.36870718,28,12.403404
0.26882824,18,12.448637
0.31066513,38,12.547413
0.35878745,19,12.598294
0.4881262,23,12.654575
0.011651425,15,12.693027
0.37867627,23,12.752798
0.3019506,35,12.839646
0.8035993,35,12.925703
0.4444183,29,12.995971
1.1719129,49,13.127363
0.5716072,26,13.193692
0.92994916,43,13.306575
0.5086399,31,13.389592
0.3224351,24,13.458313
0.72398525,40,13.588782
0.34682664,28,13.66464
0.58109134,35,13.758471
0.9440171,44,13.882737
0.22583728,13,13.921626
0.35479453,34,14.015718
1.1959399,50,14.15317
0.22361813,20,14.209541
0.21809845,24,14.270327
0.7252902,31,14.351168
0.36690962,24,14.411777
0.45171425,42,14.515325
0.5491335,26,14.582082
0.5077311,31,14.660357
0.42107862,30,14.734769
1.1548418,54,14.873825
0.5910973,34,14.955623
1.0226743,48,15.079267
0.73960733,34,15.163861
0.6489348,33,15.252155
0.70943946,32,15.332599
0.5690268,41,15.433676
0.47389808,25,15.496365
0.8443723,36,15.583563
1.0360945,48,15.700951
0.45886374,25,15.766392
1.2358483,57,15.921524
0.21440195,32,16.003602
0.9630107,47,16.135809
0.7708241,33,16.236317
0.6492008,34,16.324423
0.92427844,38,16.432392
0.97248036,41,16.55335
0.28553486,21,16.609787
0.37408346,25,16.676626
0.5479348,46,16.8175
0.5174764,57,16.978268
0.32880747,26,17.048576
0.2909794,25,17.11627
0.7424964,43,17.231592
0.5230903,44,17.36026
0.39577335,33,17.447515
0.47612077,36,17.536489
0.24724975,24,17.600315
0.18476376,27,17.67069
0.4091369,33,17.758382
0.48948425,55,17.901764
0.75916755,40,18.006077
0.6529769,39,18.117457
1.3850769,60,18.274494
0.21366711,18,18.320065
1.1928756,55,18.462374
0.69763905,44,18.58973
0.32022825,26,18.664437
0.6614014,41,18.770285
0.69615173,45,18.885297
0.97110474,42,18.998328
0.9941304,45,19.116658
0.44311798,50,19.252569
1.2988744,59,19.40263
0.90733236,48,19.533736
0.9361874,41,19.647414
0.23639522,21,19.708579
0.94105506,44,19.827381
0.85209364,40,19.94098
0.97277296,57,20.09628
0.38897148,46,20.220707
1.4746728,61,20.381678
1.340774,58,20.531683
1.4364226,60,20.6903
0.6517597,38,20.784766
1.3404295,61,20.940795
0.932694,56,21.084341
1.2133211,75,21.285897
0.8339002,44,21.402788
0.88266337,57,21.551825
1.0784947,47,21.675441
1.3332932,60,21.826317
0.78045046,49,21.951689
0.5381654,44,22.063269
0.72215635,77,22.259131
1.1806923,52,22.391618
0.42367944,26,22.459146
1.6090615,63,22.629235
0.8347158,47,22.75682
1.0291039,55,22.909367
0.64966416,39,23.016447
1.4691908,60,23.174296
0.38969883,40,23.281509
0.9335646,57,23.435493
1.0793781,45,23.551494
0.6594926,65,23.719321
1.1538374,56,23.860276
0.5794691,45,23.973268
0.81105375,41,24.083387
0.43153954,41,24.190574
0.90253514,48,24.319412
1.4527457,58,24.482301
0.8792125,54,24.625904
1.4784268,61,24.784313
0.6899405,62,24.945322
1.7473184,74,25.13923
0.68997806,44,25.253392
1.9351137,72,25.436336
1.1286135,47,25.559046
1.2475475,61,25.728292
1.3739783,54,25.870655
0.72542626,51,26.005675
0.9283492,57,26.154827
0.48387185,38,26.254632
1.6173022,68,26.432408
1.0249996,56,26.578471
1.0297371,63,26.74237
1.665311,67,26.911006
1.191166,52,27.041297
1.0836277,57,27.197838
1.7529298,75,27.395349
1.5541552,66,27.565571
0.6022405,32,27.644359
1.557488,67,27.810351
0.8289792,47,27.928752
1.7546011,72,28.113456
0.65873146,34,28.201559
1.795733,73,28.388892
1.7298512,72,28.579209
1.0860088,63,28.742514
1.0667071,47,28.870002
1.4592631,60,29.030931
1.8392781,71,29.222322
0.99259216,70,29.411233
0.9562025,56,29.567441
1.9978752,82,29.773303
1.1533818,65,29.940266
1.0299789,49,30.066616
1.3543857,64,30.227675
1.8637179,71,30.408341
1.7655867,72,30.587678
1.2836089,57,30.727527
1.7374674,66,30.897401
1.2254325,62,31.060417
1.5024834,61,31.216289
0.6226751,35,31.306759
0.9139587,43,31.416103
2.2575371,82,31.633337
1.4138502,75,31.827393
1.3839281,72,32.018326
1.0833006,54,32.161592
1.4864811,68,32.342476
1.0028096,49,32.471335
1.9034376,71,32.643326
0.9155299,46,32.761322
1.840188,71,32.939719
1.2076217,72,33.123736
0.86188924,51,33.256416
1.8957106,75,33.44452
1.396626,65,33.609513
1.2618469,50,33.737476
0.95965654,51,33.866385
1.3212404,71,34.065396
1.467415,73,34.253344
2.2019691,86,34.477709
1.1145414,56,34.623259
1.3162507,58,34.775581
2.2751539,76,34.982325
2.1688046,78,35.193426
1.8861244,72,35.389142
1.3931369,71,35.573343
1.668876,79,35.783314
1.3445355,71,35.988347
1.4771484,73,36.191304
1.5479659,72,36.379527
0.7622639,39,36.485657
1.2669024,58,36.635328
1.470107,66,36.802435
1.3085821,56,36.945457
1.4635522,75,37.136549
2.3798327,85,37.362061
1.6916381,79,37.584241
1.1959833,60,37.750317
2.2126763,83,37.984183
1.7667667,70,38.172562
2.1840615,80,38.384335
2.3098888,84,38.60184
2.3644612,87,38.81964
2.1299973,79,39.021565
1.7074338,75,39.213143
1.7077903,72,39.394705
1.571894,72,39.577584
1.486901,66,39.743336
1.43176,59,39.894716
1.4793398,72,40.075218
2.292494,84,40.303588
2.3864634,77,40.505413
1.5029017,66,40.678284
1.479487,61,40.836458
1.6511378,69,41.007492
1.1006579,52,41.141766
1.7203367,74,41.335777
1.7953491,84,41.572246
1.5623817,65,41.7446
1.9087052,77,41.936308
2.456574,87,42.171237
2.299283,82,42.389755
1.4230187,67,42.566166
1.6242465,71,42.74623
2.3129232,84,42.957637
1.9791532,85,43.170357
1.7364993,78,43.370498
2.2627015,83,43.590334
1.4763838,72,43.783231
2.0197227,78,43.984524
1.6535875,82,44.203816
1.3861077,56,44.353525
1.4978834,75,44.556304
2.29152,80,44.75533
1.5201118,70,44.933337
1.8384501,63,45.092647
1.5834358,74,45.281822
1.9753734,70,45.462352
1.6346554,75,45.646288
1.517134,75,45.831284
1.5304339,66,45.996697
2.1670358,76,46.190583
2.3199189,83,46.411235
1.236779,57,46.56932
1.5659696,65,46.744813
2.2307096,80,46.949312
1.6403157,73,47.139236
1.703838,79,47.34545
1.8598448,69,47.534618
1.9437524,66,47.706606
1.6790494,70,47.886262
1.7313747,77,48.077416
1.8533762,65,48.246242
1.9746032,79,48.447512
1.6801751,78,48.648482
2.1533196,78,48.845269
1.4757683,77,49.035276
1.4278114,74,49.225283
1.5885173,58,49.381759
1.5613788,73,49.574436
1.7004385,81,49.786246
2.264746,79,49.984567
1.705228,77,50.185246
1.811034,59,50.343178
1.9689013,80,50.546603
2.3427658,81,50.751274
1.4987388,75,50.963482
2.1590521,78,51.169612
2.4459467,88,51.393638
1.1253549,55,51.528251
1.0715363,56,51.666347
2.2444968,80,51.864299
1.234352,66,52.029039
1.6421729,68,52.208256
1.6855731,76,52.417293
1.5574042,74,52.608242
1.825662,79,52.810875
2.1995292,81,53.01952
1.3899018,56,53.16927
1.322846,63,53.332217
1.8506736,79,53.53778
1.2765142,67,53.711249
1.7973804,73,53.901814
2.3800907,83,54.119707
1.2604576,56,54.268424
2.2852225,83,54.485279
2.305905,83,54.713485
1.1173513,53,54.853692
2.0188475,82,55.059205
2.3455105,85,55.289607
1.4827701,70,55.491176
1.9033716,78,55.695467
2.0897634,75,55.885283
1.3720945,60,56.037304
1.2275953,63,56.200236
1.6209964,67,56.380335
1.1599214,56,56.526245
1.788461,78,56.726245
1.7072257,79,56.922742
1.0479697,50,57.051684
1.7090652,72,57.241399
1.9557925,79,57.445514
2.1670322,78,57.653636
2.252405,79,57.866232
1.6387631,71,58.052994
1.6883311,76,58.255286
1.3452381,63,58.422815
2.0645123,81,58.624257
1.1300418,57,58.764654
1.585964,78,58.967416
1.8405646,84,59.189696
1.857593,74,59.385303
1.6059625,58,59.538359
2.0528064,73,59.727487
1.1664112,57,59.882257
2.3099387,85,60.093376
1.9548732,77,60.293037
1.7110509,70,60.470908
1.5138484,63,60.628161
1.7460172,63,60.786303
1.8377621,81,60.990188
1.9553026,70,61.172465
1.7619365,77,61.375903
1.6622746,72,61.56119
1.8772182,73,61.751491
1.523486,78,61.954509
1.4533788,62,62.119694
1.915628,78,62.328569
1.9454267,70,62.512415
1.4401518,70,62.692338
2.3387136,85,62.908461
2.2553165,79,63.116261
1.4865558,76,63.308416
1.4418504,68,63.478159
1.4308414,68,63.654272
1.8074399,83,63.861264
1.1562867,55,64.006032
2.3671973,83,64.228156
1.604048,67,64.418192
1.8043861,70,64.59761
1.7474858,83,64.804396
1.8387551,81,65.010281
1.5802755,71,65.197288
1.4748019,67,65.374235
1.2540483,62,65.535696
1.9105653,77,65.735204
1.7405564,79,65.935684
1.9684498,80,66.165968
1.8276407,80,66.374284
2.0265927,71,66.561291
1.7682782,81,66.767943
2.2595315,81,66.978551
1.5414051,69,67.163279
1.1635917,52,67.304726
2.2663248,80,67.509012
1.92466,70,67.688659
1.5535113,62,67.847681
1.9518305,80,68.056468
1.7694384,84,68.289296
1.9153196,82,68.520355
2.2463017,80,68.727628
1.8712811,69,68.903015
1.8077542,80,69.107466
2.2283947,80,69.306213
2.1485012,77,69.504959
2.3727765,84,69.715407
1.7820958,80,69.916572
1.7651128,81,70.131253
1.9042847,78,70.337486
1.7439795,75,70.53643
2.1564858,77,70.723269
2.2682638,81,70.926602
1.2017149,56,71.067659
1.5071284,68,71.250421
2.2286813,77,71.466579
1.4425352,62,71.639257
1.0457959,48,71.763716
1.3991175,67,71.931697
1.7388581,79,72.133406
1.8239899,70,72.311185
2.0186493,85,72.541006
1.4088707,64,72.708995
1.5838975,79,72.907414
2.3578084,83,73.121321
1.746445,73,73.316354
1.8438439,82,73.530222
2.1812282,80,73.734599
1.2833341,60,73.887679
2.1979864,73,74.076661
1.6003506,77,74.279123
1.6354724,73,74.473237
2.3344252,83,74.693228
2.3375049,82,74.896551
1.7591228,74,75.082245
1.5780606,63,75.243244
2.4172084,82,75.44813
1.6838717,67,75.619442
1.8898717,87,75.835816
1.4236318,74,76.026002
2.3352983,82,76.234158
1.5635364,73,76.443318
2.3713531,78,76.648402
1.9754585,81,76.861645
1.6955513,85,77.076736
1.4192799,65,77.244194
1.0880196,54,77.387677
2.4386127,86,77.613639
1.6797593,73,77.813295
2.2445526,81,78.027487
2.3659272,85,78.243267
1.6938783,82,78.446156
1.6069945,77,78.642184
1.4607937,73,78.8236
2.5136573,90,79.069678
2.3505383,85,79.301673
1.6868523,67,79.474441
2.3395793,85,79.686635
1.0797952,53,79.823196
1.5588272,77,80.014541
1.6422689,81,80.226658
1.5458679,64,80.395237
2.052978,79,80.600224
1.7730975,73,80.78438
1.9276516,79,80.994254
1.703752,66,81.161522
1.5942584,73,81.346203
2.16494,72,81.527271
1.5663837,72,81.707702
1.4575636,66,81.875132
1.4515069,62,82.038238
1.956158,82,82.250974
2.4537938,86,82.46876
