epoch,train_dtw,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_feat_l2,lr
1,0.989319,3.54952,0.642911,0.3136,0.9474,1.533946,4.104999,0.001
1,0.989319,3.54952,0.642911,0.3136,0.9474,1.038667,3.390284,0.001
2,1.602682,5.013714,1.048772,0.9813,0.164,1.616098,5.045264,0.001
3,1.538275,15.24916,0.435626,0.8077,0.8162,1.4308,14.310445,0.001
4,1.493489,14.937243,0.440899,0.7657,0.895,1.164064,11.120453,0.001
5,1.408087,14.005556,0.382195,0.7826,0.9112,1.158879,10.991211,0.001
6,1.392961,13.95203,0.36838,0.7882,0.9235,1.256779,11.96421,0.001
7,1.411405,14.123806,0.358866,0.8133,0.9258,1.238288,12.535208,0.001
8,1.367713,13.513615,0.353042,0.804,0.9414,1.250227,12.36415,0.001
9,1.338206,12.893094,0.371959,0.8211,0.9206,1.284443,11.471815,0.001
10,1.294435,12.475121,0.426682,0.8051,0.917,1.232878,11.477953,0.001
11,1.235154,11.317918,0.462629,0.7912,0.8967,1.087748,9.084491,0.001
12,1.137424,9.415749,0.737861,0.6847,0.8806,1.102391,9.013941,0.001
13,1.138203,7.209369,0.784781,0.6811,0.8907,1.150562,6.220382,0.001
14,0.97708,4.833146,1.291554,0.5753,0.8707,1.017202,4.390192,0.001
15,0.983288,3.524952,0.930098,0.5559,0.8246,1.063641,3.717276,0.001
16,0.84417,2.937198,0.68496,0.5509,0.7312,0.97781,3.026466,0.001
17,0.977181,3.017227,0.502213,0.788,0.7736,1.176347,3.303149,0.001
18,0.931968,5.145672,0.572844,0.5836,0.8075,1.076237,4.739552,0.001
19,3.772226,33.88192,0.509587,0.769,0.712,3.566691,31.372684,0.001
20,0.766,4.625742,0.638002,0.6288,0.8254,0.781442,5.120551,0.001
21,0.552803,2.951076,0.592912,0.4307,0.9161,0.537858,2.933457,0.001
22,1.03572,3.832398,0.553367,0.729,0.706,1.183118,3.884699,0.001
23,0.743756,4.072596,0.611683,0.452,0.8486,0.706908,3.368328,0.001
24,3.711878,32.826393,0.397214,0.7741,0.8976,3.639583,30.255764,0.001
25,1.034922,3.97419,0.468851,0.7982,0.8412,1.122256,3.917775,0.001
26,0.545144,2.157254,0.593971,0.5198,0.8333,0.62828,2.276358,0.001
27,0.626708,3.70139,0.60253,0.6446,0.7567,0.64756,2.83511,0.001
28,0.887057,3.835244,0.512523,0.7544,0.8091,1.049942,3.86134,0.001
29,0.441661,2.089982,0.600837,0.5938,0.7381,0.575,2.141299,0.001
30,0.494805,2.820176,0.618519,0.5867,0.7399,0.607892,3.094276,0.001
