#{"t_start": 1777548677.0011387, "env_id": "None"}
r,l,t
0.3189194,17,6.31744
0.07722132,23,6.324439
0.38785875,27,6.330497
0.6441459,30,6.338496
-0.030767387,10,6.342498
-0.32240874,11,6.345497
0.09818802,13,6.349498
0.4727065,28,6.356497
0.2830085,15,6.359497
0.55824727,27,6.366497
0.61803615,31,6.374499
0.09174955,18,6.379499
0.1779683,13,6.382499
0.20559098,27,6.389004
-0.8752161,11,6.392004
0.47154945,20,6.397004
0.16769366,18,6.402004
0.6864719,37,6.411004
-0.2942827,12,6.414004
0.2190992,16,6.418004
0.28511676,16,6.422004
0.11454721,25,6.430005
0.14695999,23,6.436004
0.89238304,41,6.446004
-0.124399856,17,6.450004
0.17886688,14,6.454004
-0.026149822,14,6.458004
0.42091882,28,6.465004
0.202709,25,6.472006
-0.032034274,20,6.477006
0.023966577,13,6.480006
0.6059216,28,6.487511
0.16810705,19,6.492511
0.22635666,16,6.496511
0.124063246,11,6.500511
0.26591542,26,6.506511
0.11375379,21,6.511511
0.87329763,43,6.522511
0.5164444,25,6.528511
0.868778,36,6.536511
0.14837913,17,6.542511
-0.01452237,12,6.545511
0.2773002,17,6.550511
0.5303971,26,6.557511
0.25112072,26,6.564511
0.37358698,23,6.570513
0.019072786,12,6.573513
0.8546838,34,7.330217
0.14406557,21,7.37922
0.8289537,41,7.464726
0.05380378,16,7.501237
0.2118095,20,7.542237
0.71650714,37,7.62142
0.046203062,9,7.64142
0.96678215,43,7.733574
0.08719463,19,7.773576
0.25684023,19,7.817603
0.11902886,15,7.849602
0.24048969,13,7.878605
0.31769517,22,7.924783
0.57344943,28,7.980785
0.6151147,31,8.05129
0.50127184,28,8.108798
0.15802592,26,8.165798
0.4990505,22,8.212826
0.7393398,34,8.285864
0.5468891,25,8.350866
0.19762865,13,8.389901
0.56069493,32,8.469962
0.556601,24,8.526058
0.24433197,22,8.573061
0.27960175,18,8.613173
0.116642535,18,8.652173
0.59551597,36,8.72823
0.6916776,30,8.789293
-0.44277212,10,8.810293
0.18928999,18,8.849292
0.6565651,28,8.909732
0.14616476,22,8.957732
0.6927706,32,9.02824
0.5723902,31,9.096314
0.4207183,22,9.145314
0.31930906,20,9.186379
0.7244179,30,9.245379
0.043833204,9,9.269379
0.22392645,19,9.312559
0.280325,20,9.353559
0.35861343,17,9.389642
0.095748946,17,9.425642
0.36520696,25,9.478645
0.5468903,25,9.533673
0.8773156,38,9.617894
0.4419541,26,9.670858
0.7281376,35,9.745956
0.030480986,18,9.784958
0.6318138,42,9.87625
0.07284131,22,9.927755
0.087907314,17,9.968755
0.71646225,27,10.039264
0.04491169,26,10.10538
0.31039232,19,10.151382
0.8841404,43,10.245517
0.15468983,22,10.293025
1.2863663,54,10.408532
0.5201422,27,10.465532
0.2932847,19,10.506724
0.393071,32,10.5793
0.70989794,29,10.638914
0.18604088,9,10.656914
0.65150833,30,10.723244
0.6149109,26,10.779246
0.55081147,24,10.831752
0.2881297,29,10.905932
0.71477216,34,10.993439
0.012137726,12,11.019439
0.2209449,18,11.058439
0.45558125,28,11.118949
0.26571855,25,11.161949
0.5384158,27,11.212458
0.47329733,26,11.259458
0.27694297,26,11.304965
0.60459673,29,11.357965
0.43911922,22,11.39732
0.23429783,11,11.41632
0.34021723,25,11.471321
0.31609994,23,11.534829
1.028466,46,11.659922
0.6891536,36,11.753022
0.8115032,33,11.833431
0.47882172,30,11.903943
1.0269654,47,12.005429
0.43813396,24,12.05743
0.37960428,19,12.100937
0.6179815,25,12.150937
0.33542588,39,12.234206
0.5136902,38,12.31367
1.0362768,50,12.425178
0.27964294,21,12.470178
0.41401026,27,12.536208
0.9454093,41,12.645302
0.32083145,18,12.695934
0.33210436,18,12.737967
0.48606881,29,12.80369
0.36080134,22,12.85269
0.36705992,34,12.923199
1.0557008,47,13.021707
0.36501488,26,13.073709
0.25826898,26,13.126215
1.0706092,43,13.221725
0.74694604,38,13.299808
0.7659784,38,13.384809
0.7822943,40,13.470923
0.3958921,21,13.516309
0.48379394,25,13.56531
0.31648567,32,13.629817
0.36226234,18,13.666817
1.1472588,48,13.781329
1.0627085,47,13.8919
0.5084912,29,13.954901
0.9779199,45,14.048091
0.24892753,27,14.101237
1.1140888,55,14.196748
1.0917854,49,14.282753
0.5804916,29,14.341258
0.9933472,49,14.453414
0.9724727,42,14.554647
0.33184966,25,14.609673
0.6138189,41,14.706717
0.10049872,22,14.757716
0.44938803,45,14.867561
0.72274095,50,14.981984
0.29117247,45,15.085493
0.63758993,33,15.149998
0.5212145,41,15.230351
0.49680793,27,15.285354
0.39698914,41,15.36986
0.27669212,24,15.432892
0.34686217,21,15.483894
0.73939407,43,15.578943
0.35631317,30,15.658985
0.58141613,57,15.789807
0.4437905,39,15.88481
1.1904325,50,16.010094
0.5617621,37,16.105602
0.95095474,37,16.202112
0.5594769,35,16.286117
0.29316747,32,16.369602
0.8479511,44,16.481114
0.70629644,43,16.589126
1.2316706,56,16.733436
1.1074047,48,16.849722
0.48928782,47,16.96398
1.2664672,54,17.097108
0.9397656,47,17.211351
0.95816606,42,17.311852
0.32357356,26,17.373852
1.0870184,46,17.485362
0.64902127,31,17.559867
0.7047056,45,17.669376
0.542066,44,17.776886
1.3936166,56,17.912547
1.4162736,64,18.068564
1.1759648,45,18.168641
0.34888265,20,18.210832
1.2070985,54,18.325895
1.0926386,56,18.445289
1.1544582,65,18.578569
0.7693862,46,18.669074
0.83849365,58,18.791089
0.6933438,31,18.851092
1.076635,50,18.947252
0.811446,55,19.056372
0.75876456,56,19.179489
0.43602717,22,19.226326
1.2416677,58,19.352439
0.38383025,21,19.398491
1.3765107,59,19.524799
0.82987845,40,19.611307
0.99164104,50,19.714882
0.83789665,57,19.837389
1.2931448,57,19.957897
0.45842505,31,20.02516
0.964828,70,20.169668
1.2662903,54,20.285178
0.6636433,51,20.394713
0.9507435,43,20.487715
0.5603859,37,20.563221
0.7058625,40,20.651246
0.6905577,56,20.77035
1.1484513,56,20.889397
1.4712367,64,21.023006
0.6929229,39,21.109515
1.526135,66,21.248546
0.6097992,43,21.348684
1.5310421,63,21.487701
0.6768164,48,21.593991
1.4261664,59,21.715055
1.1276326,47,21.814563
1.0523226,57,21.936071
1.2536285,52,22.046188
0.79149663,54,22.161696
0.67751706,59,22.284207
0.9431408,60,22.417083
1.5109695,59,22.538173
1.0675937,58,22.659494
0.668673,41,22.747003
1.619333,68,22.888513
1.3198001,65,23.030068
1.1409589,67,23.172578
1.7582688,71,23.321281
1.430307,60,23.45662
0.46415904,34,23.529301
1.5857354,70,23.678899
0.9184224,56,23.79391
1.6879667,69,23.943421
0.3442878,22,23.994529
1.5860791,65,24.132968
1.572471,65,24.270477
0.6800486,44,24.358493
1.4763014,73,24.513509
1.2369461,54,24.630678
1.8059716,77,24.795055
0.72077304,36,24.870055
1.0447862,60,24.997073
1.6582965,70,25.143581
0.9443502,47,25.245088
0.9771272,59,25.367378
1.3789005,70,25.517463
1.8510065,77,25.690477
1.7105323,73,25.84849
1.2872031,59,25.962998
1.6317542,64,26.076506
1.0894669,50,26.163817
1.4518678,60,26.268326
0.45230648,30,26.320433
1.0257578,56,26.41847
2.1351197,79,26.557694
1.2552236,60,26.662712
1.0840594,50,26.782222
0.7961186,37,26.861727
1.2979702,61,26.986072
0.87625694,41,27.072576
1.8954197,76,27.23273
1.2061582,61,27.362894
1.8973973,75,27.523605
0.98983526,53,27.633114
0.84135336,48,27.74311
1.87428,75,27.904487
1.0370829,42,27.990488
1.5961175,63,28.124057
0.79958177,53,28.235127
1.3364724,71,28.379601
1.4283458,73,28.520177
2.1644633,83,28.665477
0.8775504,46,28.745951
0.9025745,37,28.810459
2.0945227,79,28.946728
2.1169455,78,29.100698
1.7113593,68,29.247864
1.3275915,74,29.404246
1.8327487,84,29.578753
1.3003612,76,29.739745
1.1040076,56,29.859594
1.7764555,81,30.038131
0.6978879,32,30.108184
1.0917588,55,30.222682
1.747863,83,30.398482
1.4296544,64,30.531646
1.2635398,64,30.667156
2.1053784,86,30.85369
1.8581316,77,31.020594
1.0390099,52,31.128673
2.2975476,86,31.310689
1.7408911,70,31.455198
2.3377438,85,31.634922
2.3157883,85,31.816113
2.37229,88,31.995207
2.222255,82,32.173305
1.6690786,72,32.325753
1.8865621,83,32.503749
1.9739654,85,32.679862
1.3681357,60,32.811388
1.5354904,61,32.940897
1.4318038,70,33.092139
2.2747571,84,33.265797
2.2569869,80,33.440475
1.3733935,64,33.570925
1.5010563,65,33.706943
1.7001549,70,33.855453
1.0394669,54,33.967963
1.7700969,78,34.133618
1.8779413,82,34.308199
1.6048647,75,34.467709
2.0281842,79,34.635891
2.3057752,84,34.81409
2.1961746,80,34.981349
1.3571438,64,35.115504
1.3294778,56,35.230593
2.273769,82,35.41088
1.8916904,84,35.587129
1.5238478,71,35.742698
2.2220569,80,35.916495
1.5440512,77,36.076558
2.1993384,85,36.250519
1.4320048,78,36.421315
1.4204416,61,36.560822
1.4166499,82,36.747153
2.0982702,78,36.909227
1.5858177,75,37.067282
1.7964796,64,37.200537
1.5365422,73,37.355652
2.1698985,81,37.525669
1.4385711,64,37.662754
1.5821847,84,37.840898
1.7728224,79,37.982035
2.126314,77,38.114902
2.2779107,81,38.256133
1.2792174,60,38.360251
1.6730993,71,38.503502
2.2655864,80,38.676909
1.6704661,73,38.829297
1.5586216,70,38.975577
1.8538959,66,39.115415
1.9271405,71,39.269475
1.6430275,70,39.425869
1.4685227,68,39.576029
1.8550323,69,39.72514
2.1155794,86,39.905474
1.5800762,81,40.08079
2.4084365,86,40.291754
1.4010361,69,40.450303
1.2464725,66,40.594455
2.0050058,74,40.766498
1.470272,69,40.910521
1.8827496,81,41.079031
2.1835148,80,41.245717
1.7115816,75,41.403229
1.8970158,66,41.550051
1.9862316,83,41.721686
2.032937,74,41.883731
1.3992459,70,42.025751
2.1630104,78,42.18626
2.469186,88,42.374281
1.090166,54,42.489792
1.0374972,54,42.604819
2.2906952,82,42.780689
1.1964997,64,42.918321
1.6219698,69,43.069837
1.4690534,72,43.222869
1.5554034,74,43.380378
1.8627887,84,43.580418
2.1368823,84,43.75945
1.5720043,68,43.900966
1.1512667,59,44.023996
2.0007732,82,44.194523
1.2306939,63,44.330554
1.8723172,77,44.499083
2.2690682,82,44.670196
1.2492213,58,44.795714
2.3413029,83,44.985158
2.3365607,84,45.167248
0.9961757,47,45.271759
1.7428707,69,45.421789
2.3906412,86,45.594311
1.3005556,64,45.732338
1.9107308,78,45.902864
2.163078,78,46.066891
1.6061575,70,46.212929
1.1300582,69,46.358444
1.5585998,65,46.499967
1.1770424,57,46.620001
2.0082507,83,46.798519
1.6316836,76,46.960548
0.839315,45,47.057803
1.6757684,74,47.224213
1.9369,77,47.387727
2.2672267,81,47.558769
2.1681173,78,47.718405
1.6227235,72,47.871922
1.9496899,82,48.015965
1.2798932,62,48.122488
2.1150768,84,48.286005
1.092939,55,48.401528
1.5831484,78,48.577561
1.5717723,74,48.730591
1.8374668,75,48.89512
1.6831987,60,49.024145
2.0045505,74,49.180663
1.1522311,60,49.322564
2.2871394,85,49.505159
1.8577772,75,49.671257
1.8365136,77,49.830287
1.3037664,59,49.954799
1.7423878,65,50.094319
2.0171146,82,50.27035
2.09762,76,50.433388
1.7092285,74,50.593917
1.801912,75,50.751943
1.900229,77,50.913977
1.3867472,73,51.071492
1.5863193,67,51.212528
1.6191823,68,51.350039
1.945757,70,51.511943
1.289912,67,51.651458
2.2434387,82,51.793973
2.2610712,82,51.936008
1.640555,84,52.081526
1.4284656,76,52.231558
1.5138315,74,52.376076
1.7256491,71,52.523106
1.1276628,56,52.63862
2.0794787,77,52.805142
1.5243486,65,52.942168
1.7682543,74,53.08969
1.5817055,74,53.24873
1.8533113,76,53.407758
1.8427302,80,53.586474
1.4744081,66,53.731029
1.088617,61,53.855546
1.9792594,84,54.03358
1.8005999,77,54.197107
2.0162117,78,54.36413
1.9445541,81,54.536164
2.0536757,76,54.697745
1.7040136,71,54.847775
2.219642,82,55.016809
1.6073039,79,55.185322
1.2097633,56,55.301846
2.0961776,78,55.467873
1.8748262,69,55.618912
1.3998175,56,55.745707
1.8042487,73,55.896737
1.4405173,57,56.012754
1.8569367,80,56.187265
2.201664,80,56.355284
1.8943505,70,56.517303
1.7824602,75,56.681812
2.3061168,84,56.863832
2.2319865,80,57.038851
2.2392209,79,57.206362
1.753561,85,57.387378
1.7144325,77,57.551402
1.7895955,75,57.713418
1.7552862,73,57.873517
2.1992307,77,58.039112
2.2430542,79,58.205625
1.1999942,56,58.328642
1.403745,66,58.47315
2.2485194,83,58.678178
1.4809712,64,58.815195
1.1692734,55,58.93271
1.611494,82,59.124727
1.7647336,81,59.29724
1.8161669,72,59.456258
1.8814611,82,59.62428
1.3690591,65,59.769842
1.5489922,77,59.933861
2.415048,85,60.108222
1.7771634,77,60.273236
1.8635923,77,60.440255
2.3229816,83,60.616276
1.1771071,57,60.740785
1.7991465,66,60.878296
1.5919154,76,61.039318
1.771279,76,61.198831
2.318859,84,61.377849
2.1214619,78,61.544868
1.8734938,79,61.749888
1.5613542,62,61.888399
2.280521,82,62.060418
1.7474561,73,62.22579
1.7837657,74,62.38681
1.2567694,65,62.526827
2.2489007,81,62.704341
1.620078,75,62.868357
2.4055703,84,63.045375
1.9843874,79,63.213399
1.4916252,71,63.364911
1.4527836,69,63.514935
1.053016,53,63.625446
2.2837224,82,63.799957
1.6724397,73,63.949974
2.2260075,81,64.122991
2.3830056,86,64.328001
1.5867999,80,64.510069
1.560192,76,64.681779
1.5500461,75,64.838339
2.3522336,87,65.046359
2.3105693,85,65.257387
1.6520643,71,65.419405
2.2550266,84,65.594918
1.0790632,54,65.714943
1.5152434,74,65.875454
1.5561372,74,66.036475
1.4583588,61,66.168983
2.0940688,82,66.338001
1.6963068,71,66.496488
1.8945723,76,66.67106
1.7337285,67,66.851082
1.787169,76,67.016101
1.9830375,73,67.168612
1.4962738,68,67.320636
1.5895581,72,67.493147
1.4091518,61,67.62417
1.8341366,78,67.788684
2.3744853,83,67.963709
1.7049108,75,68.131728
1.2979671,61,68.266243
2.0634165,84,68.454259
2.092463,77,68.624894
1.7218343,69,68.777978
2.2626975,80,68.951001
1.219872,60,69.08151
1.586411,71,69.238535
1.2548033,64,69.379042
1.6230794,75,69.540065
1.5184307,75,69.706644
1.1404396,57,69.829663
1.6235482,80,69.999177
2.2845602,85,70.1852
2.0248754,85,70.368218
1.6379529,77,70.553237
1.0075257,54,70.678748
1.7792526,76,70.849263
1.458313,73,71.004287
1.2717398,64,71.138304
1.2206897,57,71.261813
2.17406,81,71.434834
2.1972373,79,71.601347
1.6584244,66,71.739347
1.4086034,69,71.886619
1.8916317,72,72.036644
2.1048744,81,72.189157
1.6380424,68,72.348183
1.6613635,72,72.506696
1.9643371,73,72.652717
2.053098,87,72.834741
1.5529301,68,72.980644
2.180503,80,73.155175
1.4891696,59,73.287686
1.7251495,81,73.469709
2.2337136,82,73.642731
2.0100904,74,73.800248
1.3494141,63,73.937268
1.5721925,75,74.097782
