epoch,train_dtw,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_feat_l2,lr
1,1.427112,3.194697,0.86511,0.9714,0.073,1.745262,4.58016,0.001
2,1.274751,3.943177,0.628109,0.5952,0.7094,1.695887,5.966424,0.001
3,1.775532,21.856323,0.630663,0.6114,0.6947,1.810623,8.139936,0.001
4,1.104901,3.966552,0.517418,0.7231,0.7843,1.699341,4.971744,0.001
5,1.136715,9.031982,0.442016,0.8713,0.8191,1.825626,6.93823,0.001
6,1.053425,7.810011,0.38571,0.8933,0.8464,1.544555,5.478034,0.001
7,1.042664,9.21634,0.338835,0.9081,0.8591,1.693772,6.781878,0.001
8,1.018402,8.025357,0.295863,0.9203,0.8715,1.769491,6.274345,0.001
9,1.005832,9.155078,0.292043,0.9187,0.8678,1.544454,5.585068,0.001
10,0.997599,9.68401,0.278399,0.9137,0.8742,1.424466,7.851179,0.001
11,0.950041,8.35639,0.259297,0.917,0.8823,1.558231,5.268416,0.001
12,0.946306,9.773488,0.266031,0.9167,0.8742,1.381145,6.125774,0.001
13,0.953313,8.930041,0.249656,0.9171,0.8837,1.34094,6.131188,0.001
14,0.968567,10.049497,0.245536,0.9147,0.8835,1.389172,6.701795,0.001
15,0.911276,9.025401,0.240796,0.9148,0.8875,1.325104,5.36184,0.001
16,0.926445,9.843544,0.23677,0.9186,0.8855,1.507724,6.528014,0.001
17,0.913955,8.862275,0.232946,0.9185,0.8862,1.305771,6.608996,0.001
18,0.868883,8.532965,0.237641,0.9166,0.8837,1.283522,6.00037,0.001
19,0.892493,9.306707,0.2317,0.9164,0.888,1.419942,5.662632,0.001
20,0.891982,9.044529,0.227943,0.9161,0.8878,1.321645,5.711448,0.001
21,0.885751,9.496066,0.219985,0.9135,0.8949,1.349489,5.55037,0.001
22,0.9075,9.32237,0.221694,0.9217,0.8932,1.350105,5.274879,0.001
23,0.880479,9.222889,0.219763,0.9183,0.8917,1.335178,6.54033,0.001
24,0.88091,9.27815,0.217741,0.9182,0.8958,1.431977,5.524975,0.001
25,0.877533,9.590612,0.216872,0.917,0.8957,1.18199,4.761475,0.001
26,0.920854,9.934572,0.211302,0.9202,0.8978,1.259897,5.789567,0.001
27,0.898268,9.923691,0.212181,0.9209,0.8927,1.356669,7.680855,0.001
28,0.885923,9.599597,0.212722,0.9151,0.8984,1.114952,6.227295,0.001
29,0.861286,9.342449,0.214021,0.9171,0.8953,1.22162,6.072305,0.001
30,0.878185,9.742301,0.21153,0.9166,0.8963,1.153429,4.650476,0.001
