epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.888506,0.248589,5.719704,1.960618,0.9996,0.0,1.449136,0.185934,5.678818,0.001
2,1.785808,0.241474,5.452937,1.531737,0.9829,0.1596,1.303424,0.179692,5.688532,0.001
3,1.693368,0.236895,5.215556,1.19357,0.6156,0.726,1.188393,0.162037,4.540898,0.001
4,1.496365,0.267474,11.963418,1.447943,0.5156,0.6254,1.2134,0.256827,9.527297,0.001
5,1.548151,0.226783,4.88584,1.238882,0.5643,0.7143,0.880231,0.152155,3.681106,0.001
6,1.482002,0.220194,4.546838,1.087942,0.6379,0.8,0.896955,0.159631,4.414558,0.001
7,1.465002,0.264473,11.84097,1.265456,0.5651,0.7199,1.489413,0.274395,9.231476,0.001
8,1.401341,0.211729,4.444092,1.083915,0.6473,0.8003,1.161964,0.183436,4.165544,0.001
9,1.145349,0.194339,4.307454,1.102895,0.7405,0.749,1.095594,0.166783,2.805756,0.001
10,1.090067,0.209232,6.838594,1.072972,0.7402,0.7755,0.765427,0.15389,4.397171,0.001
11,1.192223,0.18945,3.911538,0.959312,0.8136,0.8168,0.918051,0.14677,3.49545,0.001
12,1.224026,0.234419,9.342918,0.960695,0.7305,0.8187,0.871738,0.179893,4.096188,0.001
13,1.220641,0.192047,4.101619,0.915699,0.8216,0.8128,0.975051,0.157102,4.203726,0.001
14,0.880071,0.167429,5.055979,1.069655,0.7897,0.7309,1.088363,0.19389,5.495804,0.001
15,0.911251,0.156106,3.071369,1.025357,0.8158,0.7421,0.718988,0.130933,3.379691,0.001
16,0.783243,0.142988,3.255033,1.136812,0.75,0.708,0.747478,0.141105,2.816709,0.001
17,0.848303,0.14412,2.793753,1.054503,0.8507,0.7286,0.722983,0.114646,3.560991,0.001
18,0.788335,0.141136,2.856159,1.120926,0.8274,0.6976,0.951678,0.157297,3.551458,0.001
19,0.798556,0.137889,2.753666,1.060986,0.867,0.7157,0.856843,0.139052,3.910224,0.001
20,0.763816,0.13487,2.778801,1.104846,0.8325,0.7072,0.789265,0.143186,2.613678,0.001
