epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.774531,0.240288,5.374762,1.888149,0.9984,0.0094,1.713937,0.193944,5.12348,0.001
2,1.643859,0.230498,4.985142,1.25021,0.7206,0.5796,1.689811,0.211792,6.013375,0.001
3,1.626779,0.263455,12.109995,1.413809,0.5175,0.6478,1.525004,0.285239,12.761488,0.001
4,1.373424,0.209813,4.238252,1.236238,0.5649,0.7045,1.080242,0.1546,3.886336,0.001
5,1.283546,0.204099,4.320012,1.168571,0.6141,0.765,1.183416,0.198965,6.301436,0.001
6,1.482428,0.245576,10.727455,1.126293,0.6667,0.773,1.655606,0.280228,13.101882,0.001
7,1.357042,0.206362,4.074588,1.025701,0.6942,0.8008,1.306313,0.170576,4.778408,0.001
8,1.508716,0.246642,11.147026,0.930565,0.7331,0.8273,1.606242,0.279276,13.361648,0.001
9,1.269045,0.193706,3.686376,0.873059,0.8342,0.8076,1.203875,0.162332,3.978548,0.001
10,1.155199,0.19749,7.589979,0.914966,0.8172,0.7957,1.402099,0.266056,11.84166,0.001
11,0.998534,0.165359,2.9128,0.924016,0.8275,0.7798,0.80408,0.136052,2.825752,0.001
12,0.816581,0.145215,3.89452,1.094121,0.7647,0.7191,0.793357,0.163301,5.318682,0.001
13,0.818858,0.140091,2.36135,1.057549,0.8042,0.6978,0.838645,0.121293,2.92627,0.001
14,0.782154,0.137916,3.499419,1.080329,0.76,0.7314,0.823622,0.157634,4.393992,0.001
15,0.782646,0.135106,2.364716,1.065723,0.8108,0.7058,0.623097,0.11109,2.366105,0.001
16,0.730776,0.126191,2.803932,1.139092,0.7764,0.6826,0.57534,0.115161,2.693686,0.001
17,0.72082,0.122565,2.288518,1.121596,0.8147,0.6725,0.55725,0.097903,2.889967,0.001
18,0.722568,0.123467,2.478032,1.124602,0.8131,0.6806,0.875723,0.147452,3.927088,0.001
19,0.68894,0.118526,2.338758,1.13145,0.8248,0.6684,0.642301,0.110862,2.146099,0.001
20,0.689341,0.119628,2.440335,1.124363,0.8222,0.663,0.638569,0.113689,3.074804,0.001
