epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.533024,0.210019,5.762204,0.874471,0.9622,0.0887,1.99999,0.256424,6.539341,0.001
2,1.249673,0.187656,4.625009,0.579502,0.6261,0.727,1.615699,0.232994,5.230962,0.001
3,1.723704,0.298009,14.23109,0.652284,0.5756,0.705,1.549354,0.269625,11.812192,0.001
4,1.248108,0.187003,4.905889,0.595607,0.6092,0.7338,1.563153,0.221735,4.972449,0.001
5,1.07032,0.186649,4.483185,0.570245,0.6501,0.7488,0.980852,0.184603,3.828755,0.001
6,0.952076,0.163984,3.565805,0.527693,0.7755,0.7682,1.115216,0.17851,3.233564,0.001
7,0.941428,0.188281,5.880003,0.513525,0.763,0.7699,1.072375,0.201874,5.648508,0.001
8,0.985582,0.158505,3.950742,0.469442,0.787,0.8067,1.189242,0.18038,4.012682,0.001
9,1.104857,0.213239,7.689704,0.440089,0.8127,0.8036,0.984842,0.184349,6.252716,0.001
10,0.994081,0.157342,4.120772,0.466037,0.7874,0.7855,1.141355,0.179972,3.974556,0.001
11,0.891542,0.173086,4.996699,0.495408,0.7783,0.769,0.960562,0.163617,4.409967,0.001
12,0.847356,0.143512,3.593924,0.495001,0.79,0.7674,1.118602,0.175991,3.65494,0.001
13,0.759372,0.142526,3.426348,0.523789,0.8049,0.7339,0.778318,0.13955,3.231601,0.001
14,0.748925,0.12946,3.170692,0.539921,0.7998,0.7149,0.714411,0.1278,2.658028,0.001
15,0.733,0.132004,2.984942,0.552932,0.8078,0.7019,0.837134,0.134137,2.662419,0.001
16,0.734378,0.127378,2.998602,0.543993,0.8273,0.6965,0.755836,0.13129,2.712992,0.001
17,0.718775,0.131514,3.022211,0.535977,0.8307,0.7039,0.664476,0.1284,2.975065,0.001
18,0.72346,0.127091,3.019885,0.543299,0.8069,0.698,0.815339,0.141319,3.172381,0.001
19,0.714594,0.127248,2.942331,0.556976,0.8007,0.6912,0.83154,0.133052,2.462042,0.001
20,0.715541,0.127181,2.88357,0.548566,0.8362,0.6815,0.890572,0.141991,3.207336,0.001
