epoch,train_dtw,train_mae,train_feat_l2,disc_loss,expert_acc,policy_acc,val_dtw,val_mae,val_feat_l2,lr
1,1.52477,0.20949,5.618968,0.859267,0.9596,0.1085,1.846889,0.251006,6.046884,0.001
2,1.262887,0.187534,4.765796,0.594849,0.6589,0.6901,1.68629,0.231523,5.476388,0.001
3,1.634393,0.28391,12.443308,0.663493,0.6073,0.6916,1.413476,0.245607,9.494459,0.001
4,1.229637,0.188669,4.740781,0.638824,0.6155,0.6833,1.565369,0.235318,5.291342,0.001
5,1.141237,0.191472,4.687188,0.632793,0.6618,0.6941,1.4274,0.21445,5.509373,0.001
6,1.127921,0.21766,7.178586,0.62505,0.6154,0.7127,1.271777,0.209917,5.861847,0.001
7,1.127666,0.179882,4.517412,0.571902,0.6878,0.7401,1.387716,0.2094,4.679048,0.001
8,1.645459,0.289808,13.40769,0.506332,0.7099,0.8058,1.496379,0.2548,11.207227,0.001
9,1.295383,0.190494,5.025558,0.589126,0.6271,0.7176,1.585993,0.218328,4.956444,0.001
10,1.503099,0.274908,12.312852,0.52063,0.6866,0.8085,1.383218,0.242494,10.063879,0.001
11,1.338675,0.194756,5.198118,0.54279,0.7088,0.7351,1.557813,0.226906,5.275532,0.001
12,1.15572,0.231482,9.121233,0.524612,0.7351,0.7716,1.049334,0.212998,7.514209,0.001
13,1.206066,0.183541,4.817704,0.552673,0.6872,0.7368,1.446821,0.211519,4.695672,0.001
14,1.227494,0.239477,9.429177,0.51075,0.7299,0.7887,1.164075,0.218446,8.191596,0.001
15,1.16722,0.181184,4.747305,0.52701,0.7226,0.7454,1.355355,0.215581,4.788084,0.001
16,0.967639,0.196345,6.323199,0.565634,0.7,0.7427,0.982937,0.203881,5.992178,0.001
17,1.07629,0.17123,4.431224,0.530467,0.7596,0.7435,1.372937,0.199536,4.527602,0.001
18,1.125264,0.221569,8.413547,0.521422,0.752,0.7803,1.02774,0.205693,7.214417,0.001
19,1.158826,0.17943,4.732844,0.518302,0.7423,0.7557,1.335548,0.201619,4.517986,0.001
20,1.04485,0.208915,7.361988,0.544557,0.7486,0.7503,1.003358,0.19185,6.412382,0.001
