epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,1.674996,0.21585,9.806313,3.474104,-3.474104,1.599755,0.197045,9.038375,0.001
2,1.395513,0.182457,8.626612,3.47017,-3.47017,1.261289,0.164686,7.811334,0.001
3,1.457282,0.186289,8.888017,3.472672,-3.472672,1.301302,0.172063,8.35823,0.001
4,1.238818,0.161295,7.254982,3.470722,-3.470722,1.134708,0.146359,6.852976,0.001
5,1.237566,0.163786,7.428282,3.427396,-3.427396,1.052101,0.142023,6.480934,0.001
6,1.252101,0.169793,7.892395,3.396115,-3.396115,1.213315,0.164464,7.285126,0.001
7,1.11538,0.148954,6.416719,3.385177,-3.385177,1.1217,0.148935,6.54085,0.001
8,1.195519,0.158181,7.165459,3.330728,-3.330728,1.191297,0.158406,6.970366,0.001
9,1.062628,0.139078,5.787165,3.326191,-3.326191,0.98203,0.133692,5.381629,0.001
10,1.019208,0.135661,5.602622,3.28848,-3.28848,0.978902,0.133729,5.270317,0.001
11,0.938229,0.124747,4.693948,3.279651,-3.279651,0.87283,0.119859,4.188738,0.001
12,0.921317,0.122119,4.731868,3.199392,-3.199392,0.923129,0.126667,4.621805,0.001
13,0.895147,0.117646,4.405926,3.162462,-3.162462,0.864635,0.115682,4.187776,0.001
14,0.900698,0.118317,4.368294,3.143479,-3.143479,0.910495,0.120302,4.327468,0.001
15,0.856745,0.11134,4.02871,3.082319,-3.082319,0.853681,0.116197,3.818141,0.001
16,0.791141,0.103398,3.468079,3.120107,-3.120107,0.833798,0.112244,3.598392,0.001
17,0.77865,0.103027,3.178766,3.132986,-3.132986,0.829395,0.109663,3.445736,0.001
18,0.734027,0.096131,2.986009,3.086792,-3.086792,0.673914,0.090881,2.54638,0.001
19,0.701545,0.094552,2.755664,3.137732,-3.137732,0.680946,0.099627,2.603753,0.001
20,0.691689,0.092689,2.78585,3.073012,-3.073012,0.679576,0.092673,2.381037,0.001
21,0.702756,0.096991,3.10082,3.007549,-3.007549,0.744258,0.103364,2.977796,0.001
22,0.594494,0.087423,2.50188,3.127006,-3.127006,0.609653,0.08948,1.993676,0.001
23,0.598103,0.088502,2.283298,3.163801,-3.163801,0.603397,0.090102,1.930961,0.001
24,0.641095,0.086312,2.440463,3.02214,-3.02214,0.694467,0.094152,2.502266,0.001
25,0.674963,0.092711,2.778264,2.946925,-2.946925,0.732143,0.100747,3.072787,0.001
26,0.62694,0.085353,2.363685,3.062719,-3.062719,0.629616,0.082494,2.551005,0.001
27,0.665255,0.090085,2.518169,3.031641,-3.031641,0.66792,0.093454,2.381537,0.001
28,0.647975,0.087433,2.571968,3.023999,-3.023999,0.681826,0.093218,2.568299,0.001
29,0.682454,0.094588,2.801237,2.957589,-2.957589,0.668304,0.090133,2.667641,0.001
30,0.644896,0.09363,2.663502,2.928751,-2.928751,0.684773,0.091159,2.887853,0.001
