#{"t_start": 1778151326.518804, "env_id": "V2GDeepEnv-continuous"}
r,l,t
11.517043,17,1.190747
9.685031,23,1.195747
10.893656,27,1.201747
12.971446,30,1.208746
10.823795,10,1.210746
9.902323,11,1.213748
9.381731,13,1.216747
11.897014,28,1.223747
12.531334,15,1.226749
12.747203,27,1.233747
12.665388,31,1.240747
9.480041,18,1.245748
12.532858,13,1.248746
10.814658,27,1.255752
9.935929,11,1.258751
13.108071,20,1.262752
11.619271,18,1.267751
11.689298,37,1.275864
9.658042,12,1.278862
11.113775,16,1.282864
11.62531,16,1.285862
10.391326,25,1.291863
11.021117,23,1.298862
12.892012,41,1.306863
10.675112,17,1.309862
11.721974,14,1.312863
9.709794,14,1.315863
11.615416,28,1.320863
11.080082,25,1.325862
10.376108,20,1.329865
8.873465,13,1.332862
13.434354,28,1.339863
11.543031,19,1.343862
12.039881,16,1.347863
11.284039,11,1.350862
10.94092,26,1.355866
9.853738,21,1.361867
12.830765,43,1.370915
12.802778,25,1.376917
12.381882,36,1.384915
11.498017,17,1.389917
11.655534,12,1.392915
11.816249,17,1.395914
12.966208,26,1.402915
10.621634,26,1.408914
12.799516,23,1.413916
10.56911,12,1.415915
12.3886,41,2.430733
9.618975,22,2.511006
12.629859,40,2.653728
11.430588,12,2.69709
11.262504,17,2.760868
11.963085,19,2.828854
10.286386,12,2.872445
12.429377,34,3.065657
10.619514,16,3.177726
12.290764,18,3.293633
10.147025,19,3.408726
11.869383,17,3.522772
10.918053,25,3.698772
12.617759,27,3.862286
12.688237,28,4.030919
12.801753,24,4.211932
9.376187,21,4.394533
12.671085,24,4.58955
12.305589,32,4.856375
12.488338,23,5.018268
11.289235,14,5.124775
11.964102,25,5.336719
12.776899,20,5.500699
11.239874,13,5.591206
10.101439,11,5.691714
10.259731,18,5.843222
11.938695,34,6.119758
13.043372,35,6.450219
10.376496,11,6.531727
11.969467,19,6.691741
12.112697,27,6.925764
9.780304,19,7.082778
12.293656,32,7.341794
11.522289,38,7.640315
13.20394,17,7.748824
12.550128,12,7.825331
13.271579,31,7.998345
10.71236,13,8.066347
12.097748,20,8.236362
11.996995,20,8.396756
12.197867,15,8.505265
10.175997,14,8.618772
10.336555,22,8.783785
12.465531,23,8.932292
13.129935,36,9.180813
11.667922,21,9.35532
12.748508,30,9.575845
10.334666,13,9.664995
11.247212,26,9.854006
10.402598,19,9.993021
