epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,1.674996,0.21585,9.806313,3.474104,-3.474104,1.650093,0.198502,8.425292,0.001
2,1.467535,0.189646,9.116473,3.430998,-3.430998,1.184619,0.157467,7.434962,0.001
3,1.307966,0.171763,8.078078,3.420751,-3.420751,1.157417,0.160567,7.238796,0.001
4,1.264002,0.165332,7.660638,3.443528,-3.443528,1.075625,0.154974,6.897314,0.001
5,1.237185,0.162851,7.385048,3.441371,-3.441371,1.038558,0.145131,6.335446,0.001
6,1.173203,0.15556,6.956568,3.374473,-3.374473,1.036626,0.13676,6.251179,0.001
7,1.163347,0.155531,6.875404,3.378515,-3.378515,0.926688,0.12881,5.179834,0.001
8,1.13593,0.152129,6.65406,3.376986,-3.376986,0.944473,0.136951,5.988671,0.001
9,1.116419,0.146939,6.263502,3.349966,-3.349966,0.935247,0.130247,4.886007,0.001
10,1.005271,0.134899,5.23942,3.302612,-3.302612,0.955642,0.13048,4.894718,0.001
11,1.010411,0.132966,5.418252,3.236228,-3.236228,0.899729,0.124692,4.715473,0.001
12,0.927637,0.119902,4.274134,3.256618,-3.256618,0.827409,0.119499,4.137982,0.001
13,0.992811,0.12902,4.936204,3.180039,-3.180039,0.862941,0.121271,4.855212,0.001
14,0.842359,0.109558,3.863232,3.174635,-3.174635,0.782422,0.108524,3.58811,0.001
15,0.859385,0.113823,4.050582,3.106563,-3.106563,0.735825,0.109596,3.900028,0.001
16,0.799743,0.106228,3.431062,3.143018,-3.143018,0.691007,0.104692,3.04664,0.001
17,0.723236,0.098332,2.944045,3.11926,-3.11926,0.772437,0.110414,3.158168,0.001
18,0.776263,0.103917,3.100084,3.0724,-3.0724,0.713841,0.097673,2.915468,0.001
19,0.760442,0.105636,2.980585,3.156807,-3.156807,0.718121,0.1085,3.303486,0.001
20,0.660714,0.088828,2.374351,3.115553,-3.115553,0.676355,0.09163,2.633187,0.001
21,0.635501,0.092006,2.548194,3.201368,-3.201368,0.693368,0.102919,2.603361,0.001
22,0.693829,0.096745,2.661166,3.157407,-3.157407,0.725894,0.108788,2.894934,0.001
23,0.640615,0.090959,2.386111,3.092796,-3.092796,0.665889,0.097001,2.692008,0.001
24,0.718629,0.099314,2.729432,3.027191,-3.027191,0.69724,0.095214,2.756323,0.001
25,0.629847,0.08618,2.299893,3.070271,-3.070271,0.628826,0.092223,2.444187,0.001
26,0.629271,0.089574,2.518574,3.054662,-3.054662,0.653213,0.096766,2.575339,0.001
27,0.661246,0.093643,2.655252,2.963483,-2.963483,0.686174,0.102421,2.753424,0.001
28,0.630369,0.087237,2.245313,3.075389,-3.075389,0.61122,0.092616,2.301991,0.001
29,0.674863,0.092089,2.621878,2.965704,-2.965704,0.682182,0.095335,2.967558,0.001
30,0.652851,0.087405,2.311753,3.043677,-3.043677,0.675196,0.091875,2.593821,0.001
