#{"t_start": 1778405257.6814582, "env_id": "V2GDeepEnv-continuous"}
r,l,t
11.517043,17,1.313955
9.685031,23,1.317952
10.893656,27,1.322957
12.971446,30,1.328953
10.823795,10,1.330953
9.902323,11,1.332955
9.381731,13,1.335957
11.897014,28,1.341957
12.531334,15,1.344954
12.747203,27,1.351956
12.665388,31,1.358957
9.480041,18,1.363955
12.532858,13,1.366954
10.814658,27,1.372966
9.935929,11,1.375966
13.108071,20,1.379964
11.619271,18,1.383471
11.689298,37,1.392476
9.658042,12,1.395479
11.113775,16,1.399477
11.62531,16,1.404477
10.391326,25,1.409476
11.021117,23,1.41548
12.892012,41,1.424479
10.675112,17,1.427479
11.721974,14,1.431479
9.709794,14,1.43348
11.615416,28,1.439478
11.080082,25,1.445479
10.376108,20,1.449478
8.873465,13,1.45148
13.434354,28,1.45848
11.543031,19,1.46148
12.039881,16,1.464479
11.284039,11,1.46748
10.94092,26,1.473488
9.853738,21,1.477487
12.830765,43,1.486998
12.802778,25,1.492996
12.381882,36,1.500999
11.498017,17,1.504998
11.655534,12,1.507998
11.816249,17,1.511998
12.966208,26,1.516998
10.621634,26,1.523
12.799516,23,1.527996
10.56911,12,1.532999
12.3886,41,2.536219
9.618975,22,2.611736
12.629859,40,2.738256
11.430588,12,2.775269
11.262504,17,2.833675
11.963085,19,2.895048
10.286386,12,2.934055
12.429377,34,3.046089
10.619514,16,3.099619
12.290764,18,3.15562
10.147025,19,3.213141
11.869383,17,3.270149
10.918053,25,3.352664
12.617759,27,3.439271
12.688237,28,3.526789
12.801753,24,3.602324
9.376187,21,3.668314
12.671085,24,3.743831
12.305589,32,3.844354
12.488338,23,3.916869
11.289235,14,3.962875
11.964102,25,4.044395
12.776899,20,4.107917
11.239874,13,4.150917
10.101439,11,4.185441
10.259731,18,4.241442
11.938695,34,4.34896
13.043372,35,4.459488
10.376496,11,4.494012
11.969467,19,4.554012
12.112697,27,4.641537
9.780304,19,4.703055
12.293656,32,4.804579
11.522289,38,4.926104
13.20394,17,4.98447
12.550128,12,5.024734
13.271579,31,5.12388
10.71236,13,5.165879
12.097748,20,5.229401
11.996995,20,5.296927
12.197867,15,5.344923
10.175997,14,5.395458
10.336555,22,5.469457
12.465531,23,5.540982
13.129935,36,5.6555
11.667922,21,5.721025
12.748508,30,5.815552
10.334666,13,5.855552
11.247212,26,5.938082
10.402598,19,5.9966
10.386985,14,6.042597
13.023944,24,6.118124
10.965516,11,6.154125
10.66421,20,6.21765
12.794674,43,6.356174
10.416436,9,6.385694
12.834559,57,6.566224
11.06541,28,6.657747
10.165479,23,6.733268
10.238593,23,6.806795
12.909606,28,6.895322
10.402277,12,6.933321
12.31044,34,7.038844
12.321227,23,7.114372
12.663645,24,7.192991
9.670883,24,7.268706
13.134686,21,7.33423
11.923274,15,7.384236
10.865043,22,7.455755
10.364709,29,7.549286
11.016196,15,7.59681
11.746242,35,7.725329
12.383026,23,7.800851
10.92225,21,7.870867
13.352107,22,7.946381
12.067384,30,8.047051
10.725996,9,8.079058
11.765448,20,8.140586
10.683032,20,8.205107
12.729302,27,8.29363
10.8509,18,8.355628
13.566281,25,8.4363
11.298868,19,8.497831
12.724676,39,8.621349
12.124486,19,8.684359
10.768247,15,8.733878
12.947498,22,8.805405
11.195411,19,8.867399
11.196577,34,8.97394
12.298515,27,9.058452
10.824391,10,9.089976
9.201987,24,9.167976
12.242121,45,9.327878
10.129277,10,9.36341
11.89174,8,9.392008
11.854948,20,9.46055
10.227887,25,9.546072
10.55843,23,9.625595
12.768236,24,9.706124
9.618676,23,9.781129
9.854075,16,9.833647
12.835169,34,9.945168
11.484354,36,10.065686
11.7747,42,10.203732
12.594767,14,10.257728
12.05164,27,10.374249
12.675815,16,10.438755
9.752224,23,10.529274
12.264121,24,10.626788
12.897459,30,10.752311
12.793683,41,10.920341
12.098277,10,10.961342
12.281196,33,11.095376
11.456261,13,11.146376
12.481034,21,11.230893
12.648858,23,11.330408
12.41757,18,11.402926
12.750561,29,11.522934
12.650152,33,11.663045
11.614079,5,11.684049
10.842531,18,11.75357
10.084681,13,11.807086
10.155099,18,11.882087
10.586909,15,11.945602
9.371485,10,11.988124
11.422706,20,12.068122
10.593877,14,12.127636
11.571371,23,12.225155
11.522718,19,12.303666
10.393606,8,12.337666
11.218064,10,12.378673
11.516654,20,12.460188
10.649277,24,12.558705
11.0813,20,12.639218
10.03925,17,12.706733
12.438677,41,12.873986
11.496013,9,12.91002
12.836863,44,13.092139
11.825284,29,13.213281
10.044284,11,13.256283
11.430266,32,13.385383
12.085619,18,13.462974
12.392864,35,13.608593
12.274021,34,13.73431
10.674065,12,13.784378
12.502843,31,13.910094
11.471618,21,13.999603
11.867036,26,14.110113
11.176263,8,14.143114
11.718077,37,14.295813
12.525849,16,14.358812
10.436562,33,14.495836
11.120376,11,14.540837
11.937356,57,14.783535
12.380978,36,14.937921
12.160115,52,15.159943
9.398959,28,15.251454
12.208153,47,15.410999
11.503333,36,15.530037
11.50726,36,15.656128
10.548077,13,15.703175
10.581873,19,15.768177
13.437634,18,15.842103
11.56493,34,15.965643
10.609204,29,16.065156
10.513302,20,16.136214
11.850911,12,16.17722
12.592824,27,16.270724
10.748989,15,16.323239
11.364286,48,16.485756
11.902643,21,16.553266
11.984022,16,16.609326
10.791039,14,16.656328
13.252191,36,16.770456
10.698988,16,16.82255
10.111085,40,16.952676
11.942516,34,17.062732
9.810423,24,17.142803
12.014196,38,17.267869
9.404506,10,17.297967
12.449749,10,17.330969
10.481693,19,17.391226
