#{"t_start": 1775663766.3736534, "env_id": "V2GDeepEnv-profit"}
r,l,t
0.222911,34,1.149728
-0.096582,7,1.150731
0.150506,29,1.156733
0.143523,12,1.158734
-0.161667,31,1.164731
0.344843,9,1.166731
-0.526157,17,1.169731
-0.23026,15,1.172732
-0.341476,27,1.177731
-0.083823,13,1.179731
0.500823,17,1.182731
-0.125001,19,1.186731
-0.30416,25,1.19173
-0.43304,9,1.192731
-0.758664,26,1.197732
-0.68602,17,1.200731
-0.350129,8,1.202731
-0.560237,29,1.207731
-1.303074,27,1.212732
-1.185065,20,1.216731
-0.327125,16,1.219734
-0.76011,15,1.222731
-1.133501,19,1.226732
-0.364961,25,1.230731
0.095439,24,1.234731
0.06869,20,1.238735
-0.146953,29,1.243733
-0.459774,16,1.246733
0.595639,16,1.251425
-0.283295,33,1.256468
-0.291659,26,1.261423
-0.404324,20,1.266427
-0.549665,24,1.270425
0.017279,21,1.274425
0.27375,15,1.277425
-0.18968,25,1.282424
0.214272,28,1.286423
0.274805,15,1.289424
0.095404,14,1.292423
0.49341,24,1.296423
0.036109,38,1.303423
-0.430076,20,1.306423
-0.621003,20,1.310423
-0.423044,17,1.313426
0.022466,28,1.318425
-0.305815,22,1.322423
0.352111,8,1.324423
-0.322746,11,1.326423
0.05716,16,1.329426
-4.256026,27,2.143314
-0.827753,23,2.197819
-0.6605,31,2.271914
-1.059345,12,2.300917
-0.807678,22,2.352942
-0.283668,20,2.40094
-1.654744,18,2.439944
-4.080753,43,2.529448
-0.796591,31,2.596577
-0.125583,15,2.631577
-0.304854,18,2.674661
-0.210544,11,2.70066
-0.443986,15,2.732661
-2.051706,22,2.779679
-0.989739,18,2.814679
-0.900318,29,2.876704
-0.928423,23,2.923706
-0.739065,31,3.005801
-0.739536,13,3.038802
-1.109233,36,3.119309
-0.841999,23,3.167817
0.206657,25,3.220817
-2.606621,23,3.269325
-1.323955,17,3.306326
-1.300324,14,3.336327
0.013065,8,3.353832
-0.582422,19,3.393832
-0.2831,16,3.430832
-0.42531,18,3.468917
0.389285,12,3.492915
-1.679799,28,3.55504
0.364671,8,3.571041
-0.147171,17,3.610041
-3.084039,26,3.666198
-0.715335,32,3.728198
-2.849283,25,3.772712
-0.52169,22,3.809709
-0.033018,14,3.83471
0.009225,13,3.857217
-2.579898,34,3.914216
-0.754833,18,3.94622
-2.061416,31,4.000726
-2.683174,40,4.069235
-0.929081,25,4.112233
-2.074306,24,4.153582
-0.534731,30,4.204582
-0.111962,13,4.227582
-0.019135,19,4.26009
-1.271916,30,4.313089
-0.251324,17,4.345092
-1.519818,37,4.425839
-0.460752,27,4.486398
-0.176949,11,4.511398
0.424051,14,4.5414
0.054524,13,4.568905
-1.184046,48,4.670333
-0.400855,15,4.700333
-0.984311,31,4.763841
0.310248,9,4.781841
-1.645999,46,4.875353
-1.544718,38,4.953865
0.160477,25,5.000864
-2.204954,19,5.035864
-2.018196,55,5.141186
-0.819839,24,5.185692
-2.916308,25,5.233691
-1.833165,16,5.264824
-2.544863,45,5.354896
0.242785,6,5.366896
-0.89122,22,5.409896
-2.17313,38,5.489404
-0.754274,23,5.538407
-0.462146,19,5.578911
-1.425426,34,5.650913
-3.642933,27,5.709996
-0.085742,12,5.730996
-4.439952,44,5.80612
0.087452,14,5.83212
-0.382637,19,5.864177
