epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.896005,0.163612,5.186992,4.218786,-4.218786,0.938787,0.149945,6.469066,0.001
2,0.866732,0.160173,5.082545,3.974023,-3.974023,0.878747,0.158674,7.238217,0.001
3,0.905106,0.165427,4.981504,3.80748,-3.80748,0.713715,0.14171,5.520897,0.001
4,0.911245,0.168753,5.338907,3.67386,-3.67386,0.985221,0.187342,7.291974,0.001
5,0.959087,0.175989,5.14184,3.587975,-3.587974,0.86255,0.163935,6.113108,0.001
6,0.916421,0.169675,4.719066,3.482757,-3.482757,1.027567,0.167035,6.604047,0.001
7,0.961309,0.177649,5.201418,3.44795,-3.44795,1.140653,0.187379,7.393478,0.001
8,0.925685,0.174126,4.521612,3.385919,-3.385919,0.967763,0.172356,7.254114,0.001
9,0.792256,0.144235,4.065793,3.293897,-3.293897,0.754023,0.134305,4.802012,0.001
10,0.759,0.134056,2.997751,3.237441,-3.237441,0.764806,0.116592,4.206986,0.001
11,0.752058,0.129865,3.093778,3.220219,-3.220219,0.743387,0.142065,3.265972,0.001
12,0.678318,0.12018,3.014157,3.175022,-3.175022,0.698048,0.140296,3.366554,0.001
13,0.634599,0.11244,2.503058,3.161239,-3.161239,0.748669,0.145192,3.443343,0.001
14,0.598953,0.106905,2.460921,3.150941,-3.150941,0.736209,0.143738,3.252154,0.001
15,0.611897,0.109677,2.571577,3.121402,-3.121402,0.765546,0.137701,3.010281,0.001
16,0.593305,0.104677,2.490484,3.110405,-3.110405,0.791685,0.133646,2.843427,0.001
17,0.613095,0.106206,2.535428,3.092576,-3.092576,0.850825,0.143381,2.712814,0.001
18,0.575563,0.10044,2.305453,3.112579,-3.112579,0.631678,0.122407,2.446015,0.001
19,0.584441,0.101176,2.299733,3.09058,-3.09058,0.686039,0.11569,3.61894,0.001
20,0.555706,0.099793,2.171955,3.081122,-3.081122,0.641656,0.119332,4.023159,0.001
