epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.878715,0.149319,5.760325,4.146893,-4.146893,0.878115,0.14799,5.855169,0.001
2,0.907546,0.149028,6.68756,3.904963,-3.904963,0.911839,0.144291,5.862414,0.001
3,0.88076,0.148405,5.582678,3.780762,-3.780762,0.903483,0.153066,5.5058,0.001
4,0.916222,0.145919,6.036596,3.649455,-3.649455,0.875313,0.138995,5.573197,0.001
5,0.978835,0.155034,6.287333,3.540103,-3.540103,0.892778,0.150027,5.87997,0.001
6,1.004337,0.163464,6.240384,3.478659,-3.478659,1.051338,0.158637,6.577551,0.001
7,0.947857,0.155574,5.47369,3.415433,-3.415433,0.966898,0.153265,4.595984,0.001
8,0.870388,0.139177,4.602782,3.359985,-3.359985,0.895805,0.141171,4.531992,0.001
9,0.780246,0.128518,3.490464,3.288868,-3.288868,0.727708,0.115287,3.657032,0.001
10,0.742501,0.124906,2.545352,3.253427,-3.253427,0.673596,0.111701,3.266609,0.001
11,0.705618,0.123588,2.666695,3.208923,-3.208923,0.708278,0.113181,3.301275,0.001
12,0.674526,0.114503,2.216418,3.189354,-3.189354,0.614512,0.096568,2.729586,0.001
13,0.679043,0.114871,1.997752,3.175972,-3.175972,0.628599,0.095659,2.594484,0.001
14,0.665852,0.114371,2.003494,3.154483,-3.154483,0.633771,0.106838,3.161732,0.001
15,0.649278,0.10987,1.902636,3.145762,-3.145762,0.575218,0.098095,2.74151,0.001
16,0.640824,0.109882,2.182476,3.147049,-3.147049,0.678059,0.1059,2.87572,0.001
17,0.639,0.108382,2.244816,3.121816,-3.121816,0.623015,0.099045,3.007942,0.001
18,0.64709,0.108983,1.908311,3.110429,-3.110429,0.646503,0.100229,2.897324,0.001
19,0.62379,0.108442,2.184544,3.107669,-3.107669,0.595015,0.101943,2.878356,0.001
20,0.631541,0.10876,2.28118,3.089156,-3.089156,0.644809,0.099539,3.183462,0.001
