epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.75224,0.136396,3.649232,3.923918,-3.923918,0.791387,0.137632,3.445403,0.001
2,0.767396,0.136561,3.515498,3.886116,-3.886116,0.841256,0.144704,3.225928,0.001
3,0.744563,0.135532,3.505419,3.823767,-3.823767,0.755447,0.136679,3.234107,0.001
4,0.661833,0.121075,3.015931,3.779226,-3.779226,0.71295,0.127173,2.746181,0.001
5,0.639035,0.114189,2.960754,3.752309,-3.752309,0.585037,0.10715,2.551668,0.001
6,0.627971,0.113692,2.691239,3.720507,-3.720507,0.696068,0.120358,2.563188,0.001
7,0.607483,0.111616,2.953234,3.698768,-3.698768,0.570313,0.102024,2.714802,0.001
8,0.62828,0.11209,2.883431,3.665618,-3.665618,0.637227,0.10918,2.789967,0.001
9,0.605023,0.105464,2.973178,3.656688,-3.656688,0.561918,0.101545,2.381862,0.001
10,0.558971,0.097683,2.898453,3.626953,-3.626953,0.570133,0.096049,2.610944,0.001
11,0.577037,0.102094,2.607191,3.599255,-3.599255,0.579036,0.097028,2.640425,0.001
12,0.549549,0.095851,2.642928,3.580946,-3.580946,0.549913,0.100242,2.527436,0.001
13,0.583146,0.102868,3.03884,3.572574,-3.572574,0.53337,0.087613,2.554604,0.001
14,0.595157,0.103942,3.152346,3.560547,-3.560547,0.563804,0.093317,2.727344,0.001
15,0.573043,0.100672,2.882007,3.546935,-3.546935,0.546152,0.093508,2.521012,0.001
16,0.554185,0.100093,2.714378,3.53417,-3.53417,0.544699,0.088782,2.213993,0.001
17,0.571803,0.10037,2.690958,3.511603,-3.511603,0.555679,0.097765,2.118527,0.001
18,0.54535,0.094228,2.766631,3.533067,-3.533067,0.558082,0.0948,2.439514,0.001
19,0.583273,0.099089,2.646659,3.503826,-3.503826,0.585247,0.095253,2.167974,0.001
20,0.552847,0.094266,2.920563,3.510502,-3.510502,0.545871,0.093857,2.410641,0.001
1,0.75224,0.136396,3.649232,3.923918,-3.923918,0.791387,0.137632,3.445403,0.001
2,0.767396,0.136561,3.515498,3.886116,-3.886116,0.841256,0.144704,3.225928,0.001
3,0.744563,0.135532,3.505419,3.823767,-3.823767,0.755447,0.136679,3.234107,0.001
4,0.661833,0.121075,3.015931,3.779226,-3.779226,0.71295,0.127173,2.746181,0.001
5,0.639035,0.114189,2.960754,3.752309,-3.752309,0.585037,0.10715,2.551668,0.001
6,0.627971,0.113692,2.691239,3.720507,-3.720507,0.696068,0.120358,2.563188,0.001
7,0.607483,0.111616,2.953234,3.698768,-3.698768,0.570313,0.102024,2.714802,0.001
8,0.62828,0.11209,2.883431,3.665618,-3.665618,0.637227,0.10918,2.789967,0.001
9,0.605023,0.105464,2.973178,3.656688,-3.656688,0.561918,0.101545,2.381862,0.001
10,0.558971,0.097683,2.898453,3.626953,-3.626953,0.570133,0.096049,2.610944,0.001
11,0.577037,0.102094,2.607191,3.599255,-3.599255,0.579036,0.097028,2.640425,0.001
12,0.549549,0.095851,2.642928,3.580946,-3.580946,0.549913,0.100242,2.527436,0.001
13,0.583146,0.102868,3.03884,3.572574,-3.572574,0.53337,0.087613,2.554604,0.001
14,0.595157,0.103942,3.152346,3.560547,-3.560547,0.563804,0.093317,2.727344,0.001
15,0.573043,0.100672,2.882007,3.546935,-3.546935,0.546152,0.093508,2.521012,0.001
16,0.554185,0.100093,2.714378,3.53417,-3.53417,0.544699,0.088782,2.213993,0.001
17,0.571803,0.10037,2.690958,3.511603,-3.511603,0.555679,0.097765,2.118527,0.001
18,0.54535,0.094228,2.766631,3.533067,-3.533067,0.558082,0.0948,2.439514,0.001
19,0.583273,0.099089,2.646659,3.503826,-3.503826,0.585247,0.095253,2.167974,0.001
20,0.552847,0.094266,2.920563,3.510502,-3.510502,0.545871,0.093857,2.410641,0.001
