epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.862385,0.158243,5.25729,4.219364,-4.219364,0.62105,0.137329,4.744956,0.001
2,0.871317,0.159065,5.882303,3.971112,-3.971112,0.781607,0.157098,5.553436,0.001
3,0.851912,0.157291,5.616506,3.845845,-3.845845,0.841353,0.160445,6.072311,0.001
4,0.929046,0.170189,5.912926,3.731731,-3.731731,0.917958,0.165206,6.86674,0.001
5,0.919348,0.169772,5.715019,3.644031,-3.644031,0.94708,0.174287,6.339641,0.001
6,0.947178,0.176373,5.862012,3.54817,-3.54817,0.888731,0.171787,6.179693,0.001
7,0.900484,0.172108,5.236562,3.493474,-3.493474,0.909231,0.172704,5.830306,0.001
8,0.838951,0.156273,4.577626,3.418999,-3.418999,0.719495,0.133967,4.96967,0.001
9,0.820486,0.152761,4.244484,3.365415,-3.365415,0.795124,0.152915,4.201874,0.001
10,0.729327,0.139716,3.327819,3.309864,-3.309864,0.700117,0.127002,3.252962,0.001
11,0.723371,0.128635,2.819034,3.299703,-3.299703,0.680541,0.118728,2.94542,0.001
12,0.691746,0.119455,2.848249,3.230422,-3.230422,0.677373,0.119545,2.863908,0.001
13,0.627772,0.109893,2.6471,3.222001,-3.222001,0.570929,0.093077,2.699329,0.001
14,0.635949,0.110607,2.684879,3.198581,-3.198581,0.635087,0.103801,2.272817,0.001
15,0.663192,0.109053,2.963705,3.224156,-3.224156,0.706005,0.111083,2.312671,0.001
16,0.661523,0.113933,2.492598,3.182749,-3.182749,0.698527,0.120326,2.380437,0.001
17,0.655607,0.110672,2.501514,3.167492,-3.167492,0.657655,0.101371,2.288221,0.001
18,0.650843,0.109859,2.528262,3.167827,-3.167827,0.65887,0.105851,2.083926,0.001
19,0.656609,0.10978,2.639772,3.149402,-3.149402,0.78908,0.10704,2.04625,0.001
20,0.626838,0.10583,2.571026,3.150926,-3.150926,0.639617,0.105937,2.366736,0.001
