epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.861095,0.158282,4.803854,3.952637,-3.952637,0.896866,0.161678,4.673316,0.001
2,0.896652,0.161845,5.4496,3.796838,-3.796838,0.89137,0.155852,5.61245,0.001
3,0.912826,0.160034,4.826688,3.661937,-3.661937,0.921875,0.160484,4.849546,0.001
4,0.923283,0.156977,4.98772,3.57437,-3.57437,0.885355,0.15565,4.600666,0.001
5,0.875489,0.154501,4.827378,3.504048,-3.504048,0.906781,0.158704,4.442382,0.001
6,0.894436,0.152649,5.05337,3.454359,-3.454359,0.933397,0.154881,4.371853,0.001
7,0.839278,0.155702,5.05164,3.384559,-3.384559,0.855897,0.153163,4.595732,0.001
8,0.828405,0.135154,4.301749,3.34247,-3.34247,0.917245,0.147825,4.337216,0.001
9,0.772619,0.132196,3.464712,3.279344,-3.279344,0.835159,0.139424,3.115168,0.001
10,0.733299,0.128074,3.320304,3.259792,-3.259792,0.769158,0.13183,3.720647,0.001
11,0.699242,0.127146,2.759151,3.21603,-3.21603,0.744519,0.129872,2.724002,0.001
12,0.653076,0.117127,2.756807,3.208881,-3.208881,0.617815,0.118226,2.771842,0.001
13,0.657527,0.110381,2.676723,3.180291,-3.180291,0.668929,0.111944,2.483384,0.001
14,0.667383,0.115897,2.565345,3.169222,-3.169222,0.719193,0.118124,2.643511,0.001
15,0.662359,0.114862,2.468582,3.162131,-3.162131,0.660166,0.111332,2.355686,0.001
16,0.700615,0.116095,2.83115,3.167662,-3.167662,0.725491,0.119759,2.732223,0.001
17,0.620871,0.108192,2.809421,3.167986,-3.167986,0.594377,0.107602,2.416642,0.001
18,0.643834,0.112678,2.462434,3.132381,-3.132381,0.608343,0.112828,2.273367,0.001
19,0.598437,0.107738,2.521502,3.125905,-3.125905,0.619853,0.105646,2.10008,0.001
20,0.635341,0.117709,2.457992,3.136291,-3.136291,0.674732,0.116036,2.173822,0.001
