epoch,train_dtw,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_feat_l2,lr
1,0.975663,11.123054,3.924846,-3.924846,0.847877,9.472193,0.001
2,0.969794,10.892805,3.82918,-3.82918,1.000558,12.272066,0.001
3,0.933522,10.006505,3.650687,-3.650687,1.029055,10.331238,0.001
4,0.925205,8.436491,3.614756,-3.614756,0.921504,9.466774,0.001
5,0.947182,8.935028,3.562831,-3.562831,0.954502,9.901113,0.001
6,0.933116,8.609133,3.442853,-3.442853,0.981451,9.236621,0.001
7,0.851169,7.085038,3.392831,-3.392831,0.86476,7.99002,0.001
8,0.909054,6.650967,3.363497,-3.363496,0.977353,7.302122,0.001
9,0.788828,5.286542,3.283723,-3.283723,0.88733,5.623651,0.001
10,0.726963,4.560077,3.262709,-3.262709,0.788885,4.463042,0.001
11,0.728226,4.89869,3.215872,-3.215872,0.808368,5.383223,0.001
12,0.758046,4.29505,3.249175,-3.249175,0.827003,4.204228,0.001
13,0.699729,3.831454,3.216674,-3.216674,0.703329,3.857844,0.001
14,0.709389,3.842116,3.226976,-3.226976,0.790733,3.061674,0.001
15,0.691425,3.870038,3.199631,-3.199631,0.754961,3.268597,0.001
16,0.727557,4.50133,3.193824,-3.193824,0.786935,4.645768,0.001
17,0.698578,3.877211,3.179416,-3.179416,0.778232,3.856325,0.001
18,0.648013,3.330555,3.1779,-3.1779,0.718015,3.287343,0.001
19,0.639289,3.443857,3.163049,-3.163049,0.646426,3.331265,0.001
20,0.646241,3.51533,3.157717,-3.157717,0.624916,3.164032,0.001
