epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.82964,0.144204,6.210118,4.434297,-4.434297,0.75406,0.145928,4.86457,0.001
2,0.894536,0.149662,7.156596,4.201723,-4.201723,0.878917,0.153327,5.771945,0.001
3,0.872497,0.151468,6.302178,3.991465,-3.991465,0.82169,0.146509,4.74046,0.001
4,0.930944,0.160947,6.864179,3.83631,-3.83631,0.957178,0.146013,5.812213,0.001
5,0.933075,0.160496,6.354122,3.728579,-3.728579,0.793382,0.122183,3.684655,0.001
6,0.9875,0.172543,6.584978,3.590834,-3.590834,0.965648,0.157345,4.889404,0.001
7,1.064615,0.186124,7.359016,3.517612,-3.517612,1.12343,0.177262,6.428747,0.001
8,0.912031,0.158526,6.113426,3.434195,-3.434195,0.82487,0.130151,4.174343,0.001
9,0.795174,0.139374,4.197104,3.348686,-3.348686,0.814757,0.135302,2.687129,0.001
10,0.743892,0.132737,3.636519,3.295779,-3.295779,0.791078,0.125314,2.277392,0.001
11,0.706751,0.124368,3.270594,3.270262,-3.270262,0.547268,0.100712,1.966343,0.001
12,0.733841,0.12971,2.970808,3.214304,-3.214304,0.782316,0.125802,2.759284,0.001
13,0.732461,0.12407,2.714866,3.223642,-3.223642,0.61232,0.10942,1.720855,0.001
14,0.733318,0.118247,2.692127,3.232789,-3.232789,0.656731,0.105595,2.221407,0.001
15,0.743573,0.116136,2.824921,3.210545,-3.210545,0.663096,0.111494,1.468442,0.001
16,0.734625,0.117303,2.741472,3.190959,-3.190959,0.570843,0.104955,2.046705,0.001
17,0.711623,0.117444,2.706738,3.156812,-3.156812,0.766548,0.109441,1.470738,0.001
18,0.709344,0.11356,2.690621,3.171443,-3.171443,0.633028,0.108498,1.903258,0.001
19,0.66838,0.105426,2.426237,3.129703,-3.129703,0.58482,0.104154,1.746388,0.001
20,0.635817,0.100826,2.56934,3.12848,-3.12848,0.544064,0.097543,1.658497,0.001
