epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.89155,0.166342,4.589266,4.069583,-4.069583,0.952111,0.178334,4.448791,0.001
2,0.855073,0.158445,5.015496,3.833131,-3.833131,1.054189,0.171195,5.135572,0.001
3,0.818515,0.152065,3.858219,3.681092,-3.681092,0.846987,0.159322,4.05884,0.001
4,0.806931,0.150994,3.608949,3.574302,-3.574302,0.805492,0.157052,3.709171,0.001
5,0.853012,0.164655,4.046161,3.453586,-3.453586,0.844463,0.163358,4.048469,0.001
6,0.826908,0.158236,3.220746,3.404925,-3.404925,0.868845,0.164489,3.278996,0.001
7,0.776877,0.150664,3.087074,3.355034,-3.355034,0.779872,0.142445,3.277244,0.001
8,0.754276,0.142519,2.669689,3.305808,-3.305808,0.747634,0.147774,2.602796,0.001
9,0.724509,0.135131,2.547776,3.281619,-3.281619,0.696163,0.130592,2.523878,0.001
10,0.706528,0.131607,2.479732,3.270946,-3.270946,0.737588,0.137559,2.593182,0.001
11,0.679275,0.121922,2.828674,3.269817,-3.269817,0.765104,0.131625,2.691996,0.001
12,0.693504,0.127697,2.773762,3.21595,-3.21595,0.706881,0.13178,2.20603,0.001
13,0.596319,0.106773,2.677531,3.2397,-3.2397,0.570302,0.098314,2.450952,0.001
14,0.63363,0.115609,2.887082,3.215796,-3.215796,0.625433,0.112568,2.190437,0.001
15,0.587254,0.109223,2.807928,3.242583,-3.242583,0.612178,0.109977,2.724831,0.001
16,0.606799,0.112838,2.676865,3.174337,-3.174337,0.572298,0.101489,2.32688,0.001
17,0.569057,0.102023,2.906608,3.20065,-3.20065,0.510012,0.094785,2.459322,0.001
18,0.591387,0.103441,3.300967,3.225439,-3.225439,0.603531,0.102347,2.90537,0.001
19,0.559018,0.096343,3.227658,3.176384,-3.176384,0.525561,0.092648,2.901576,0.001
20,0.577113,0.105411,2.878644,3.143404,-3.143404,0.565045,0.102716,2.80159,0.001
