epoch,train_dtw,train_mae,train_feat_l2,reward_loss,log_likelihood,val_dtw,val_mae,val_feat_l2,lr
1,0.818837,0.151475,5.538123,4.258911,-4.258911,0.861943,0.158962,4.319302,0.001
2,0.820211,0.149684,6.338384,4.015056,-4.015056,0.878668,0.152746,4.589615,0.001
3,0.833999,0.14951,5.65108,3.843413,-3.843413,0.825904,0.162461,4.598528,0.001
4,0.890394,0.162457,6.081284,3.740992,-3.740992,0.915551,0.161431,4.263756,0.001
5,0.913401,0.163808,6.14216,3.633845,-3.633845,0.931991,0.161136,5.505471,0.001
6,0.936604,0.172639,6.024908,3.559279,-3.559279,0.858234,0.178853,5.364342,0.001
7,0.87662,0.162078,5.094648,3.496243,-3.496243,0.820987,0.160563,3.91306,0.001
8,0.845235,0.153081,4.731416,3.421211,-3.421211,0.708615,0.142377,4.000775,0.001
9,0.803535,0.148313,4.232427,3.353951,-3.353951,0.721197,0.119344,3.81805,0.001
10,0.73903,0.132289,3.076013,3.310131,-3.310131,0.725627,0.130943,3.755644,0.001
11,0.702965,0.121218,2.618446,3.269742,-3.269742,0.8089,0.127378,3.824972,0.001
12,0.67987,0.115905,2.46973,3.232913,-3.232913,0.643741,0.102284,2.786097,0.001
13,0.682265,0.115694,2.503941,3.218063,-3.218063,0.676401,0.099949,3.1593,0.001
14,0.652883,0.10804,2.422509,3.220017,-3.220017,0.641761,0.105929,2.612433,0.001
15,0.652491,0.111618,2.552136,3.216436,-3.216436,0.614692,0.106974,2.604802,0.001
16,0.661629,0.111422,2.314824,3.19787,-3.19787,0.632581,0.102834,2.58186,0.001
17,0.64867,0.108339,2.220426,3.172781,-3.172781,0.597127,0.107871,2.91985,0.001
18,0.637998,0.106849,2.22939,3.177727,-3.177728,0.634107,0.104163,2.488053,0.001
19,0.618064,0.104525,2.298237,3.170969,-3.170969,0.569382,0.096728,2.743454,0.001
20,0.605063,0.098957,2.336076,3.169034,-3.169034,0.582123,0.096144,3.131926,0.001
