#{"t_start": 1778508115.8933902, "env_id": "V2GEnv-continuous"}
r,l,t
-6.47609,15,2.074951
-2.371741,6,2.07695
-4.286763,13,2.07795
-6.509965,18,2.08095
-4.746614,13,2.08195
-9.312695,16,2.085948
-4.932626,19,2.089948
-4.33028,18,2.097948
-4.532702,21,2.103948
-2.260906,7,2.105948
-3.326154,13,2.109948
-6.287452,15,2.113948
-5.638052,32,2.123948
-3.043276,17,2.127948
-3.616946,13,2.133948
-5.403866,20,2.137948
-2.946359,14,2.141948
-5.671861,19,2.14695
-2.107524,9,2.14995
-3.063187,12,2.15295
-1.277312,6,2.15495
-6.060204,20,2.160055
-6.904827,27,2.167057
-6.467917,26,2.174055
-10.86007,18,2.179055
-5.325998,17,2.188054
-2.97932,15,2.192055
-6.316325,16,2.196055
-3.849807,13,2.200055
-7.584651,15,2.204055
-8.880353,22,2.211055
-8.336879,28,2.219055
-3.12023,6,2.221055
-6.454835,16,2.226055
-6.075167,20,2.231055
-4.773351,15,2.234056
-5.798848,22,2.240055
-5.042802,22,2.245057
-3.763597,18,2.251056
-1.76942,10,2.254057
-4.224854,9,2.256057
-1.740536,10,2.259561
-4.689269,18,2.263564
-5.583647,14,2.268564
-6.440742,19,2.273563
-5.712449,15,2.278563
-5.123208,11,2.281563
-4.595979,17,2.286563
-6.817694,10,2.291563
-5.254764,15,2.295563
-5.050149,24,2.301563
-3.269125,18,2.306564
-3.652124,12,2.309563
-2.573696,15,2.313563
-4.117704,8,2.315564
-4.48372,17,2.320563
-2.802422,9,2.323563
-2.629764,10,2.326563
-8.13458,28,2.334563
-2.770622,13,2.337564
-4.632783,17,2.345565
-7.440873,25,2.353565
-33.943343,61,4.147779
-29.509026,83,4.606741
-40.582279,57,4.919263
-4.129584,9,4.967769
-35.502581,46,5.242786
-29.926155,54,5.544311
-13.375845,36,5.735326
-23.276502,58,6.051857
-21.025558,55,6.344382
-19.296582,34,6.536402
-16.871833,54,6.906433
-28.40881,72,7.47927
-14.339564,41,7.766751
-28.103006,46,8.111332
-6.682503,18,8.221959
-20.602838,53,8.607217
-18.644772,34,8.847771
-18.535184,55,9.217807
-14.660632,52,9.620524
-16.102031,25,9.81922
-16.530264,31,10.050136
-16.198196,25,10.216367
-17.507195,55,10.614843
-8.797456,15,10.724352
-21.309078,42,10.982486
-12.412941,21,11.091996
-21.643502,42,11.302015
-17.080625,37,11.499032
-31.748959,71,11.845559
-18.169741,36,12.017418
-10.627595,26,12.146626
-3.995165,5,12.179774
-10.74598,20,12.319281
-11.987879,26,12.46834
-19.698531,51,12.763863
-8.151835,27,12.91537
-6.107433,13,12.990877
-18.099179,55,13.296403
-15.11096,40,13.519418
-7.022807,26,13.656929
-18.755017,33,13.837942
-17.051207,34,14.020306
-16.308931,42,14.270586
-10.338418,27,14.430604
-6.40538,12,14.504835
