epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.907004,0.551832,0.086901,-4.572506,1.949408,0.406955,0.066942,0.01,0.835537
2,1.991956,0.576931,0.089805,-4.528352,1.826063,0.506844,0.077596,0.01,0.914792
3,1.999293,0.558394,0.085077,-4.519882,1.430765,0.494514,0.071047,0.01,0.892649
4,2.071298,0.613006,0.094518,-4.534106,1.57182,0.613095,0.087233,0.01,0.997626
5,2.006526,0.569007,0.087396,-4.516491,1.42924,0.581886,0.078186,0.01,0.910988
6,1.969145,0.550246,0.084406,-4.543655,1.438304,0.6238,0.078375,0.01,0.855415
7,2.112914,0.631908,0.098501,-4.494253,1.801802,0.771653,0.096095,0.01,1.022571
8,2.125674,0.623536,0.096879,-4.484464,1.615679,0.773297,0.09426,0.01,1.067569
9,1.974732,0.574862,0.089071,-4.528956,1.565416,0.587468,0.081354,0.01,0.886564
10,1.9847,0.56835,0.086358,-4.481057,1.372524,0.610672,0.084698,0.01,0.890241
11,1.94049,0.546935,0.084319,-4.53716,1.376591,0.479664,0.070471,0.01,0.835998
12,1.941019,0.540196,0.082577,-4.497862,1.438996,0.509803,0.072823,0.01,0.827809
13,1.950658,0.563051,0.085455,-4.495336,1.378674,0.50293,0.07709,0.01,0.835268
14,2.023565,0.602167,0.093311,-4.457188,1.568072,0.707155,0.088528,0.01,0.957159
15,1.929561,0.545763,0.084108,-4.504715,1.51645,0.497902,0.070806,0.01,0.822522
16,1.927089,0.55187,0.083882,-4.461966,1.453373,0.41057,0.066163,0.01,0.835639
17,2.017741,0.579842,0.089617,-4.434891,1.446137,0.522006,0.079123,0.01,0.911145
18,1.987301,0.580651,0.090749,-4.470204,1.408326,0.497258,0.077814,0.01,0.899623
19,1.90441,0.535722,0.08232,-4.474287,1.42489,0.490754,0.071372,0.01,0.787223
20,1.928729,0.560438,0.086341,-4.470946,1.340276,0.588117,0.082818,0.01,0.821105
21,1.916492,0.539847,0.082699,-4.473584,1.415419,0.52111,0.074566,0.01,0.8045
22,1.913516,0.550963,0.085919,-4.445539,1.347022,0.560139,0.082262,0.01,0.806245
23,1.925248,0.557345,0.085922,-4.442486,1.322669,0.447319,0.068721,0.01,0.834445
24,1.891382,0.553874,0.086291,-4.46705,1.341635,0.656194,0.083459,0.01,0.796196
25,1.926858,0.555672,0.086412,-4.433922,1.428025,0.504594,0.074111,0.01,0.828969
26,1.91143,0.542182,0.085191,-4.439923,1.344244,0.492206,0.073086,0.01,0.806905
27,1.89435,0.539956,0.084113,-4.436724,1.490886,0.536246,0.071641,0.01,0.795189
28,1.837663,0.503315,0.078369,-4.442549,1.386203,0.598712,0.07328,0.01,0.750391
29,1.879843,0.545804,0.084398,-4.454414,1.62551,0.626259,0.077313,0.01,0.777881
30,1.895464,0.561089,0.086823,-4.427035,1.294144,0.610799,0.084251,0.01,0.801626
