#{"t_start": 1778763575.918714, "env_id": "V2GEnv-continuous"}
r,l,t
-3.505731,13,1.150263
-3.75971,6,1.15144
-8.200772,31,1.153444
-6.661379,20,1.155951
-4.455563,26,1.15895
-7.054982,16,1.160954
-2.039047,11,1.161763
-6.17469,31,1.164962
-3.599371,14,1.165962
-3.814352,22,1.167963
-3.664238,8,1.169963
-4.125571,15,1.170969
-5.189802,23,1.173972
-5.075006,14,1.174972
-4.803804,26,1.177972
-4.785588,15,1.178972
-6.083079,31,1.182115
-7.258087,23,1.184328
-2.492052,10,1.185328
-4.53318,8,1.186328
-3.95266,14,1.187329
-2.045755,9,1.188328
-3.978845,19,1.19083
-5.720791,20,1.192832
-7.618375,15,1.193832
-4.02887,10,1.194832
-1.467583,10,1.196832
-3.377829,18,1.197832
-1.814999,11,1.198833
-16.370602,26,1.201661
-3.338433,12,1.203845
-3.923186,21,1.205844
-4.497985,10,1.206845
-0.654293,17,1.208846
-3.883926,20,1.21085
-4.928321,21,1.212852
-5.170249,14,1.214852
-7.863891,12,1.215852
-7.957941,26,1.218853
-3.908837,17,1.220356
-2.94462,8,1.220857
-2.751521,11,1.221631
-4.360822,24,1.224833
-2.700742,19,1.225833
-4.349741,17,1.227833
-4.276285,12,1.228834
-4.359123,10,1.230844
-6.455918,20,1.232847
-2.147844,7,1.233847
-6.356298,24,1.235847
-2.820609,13,1.236847
-4.027192,11,1.237847
-3.745868,14,1.239847
-5.149259,17,1.241713
-4.191828,15,1.243096
-3.20369,8,1.244097
-4.227455,14,1.246096
-1.398478,9,1.247096
-0.702533,15,1.248096
-2.826348,11,1.249097
-9.785111,28,1.25247
-3.642782,14,2.002964
-16.842055,24,2.073765
-28.087482,66,2.258927
-18.350299,28,2.350285
-22.219571,55,2.505821
-11.014001,14,2.540281
-11.074282,18,2.582849
-22.466338,38,2.686064
-17.920959,49,2.809042
-8.349094,18,2.849938
-40.225914,58,2.994885
-10.588253,35,3.081236
-3.300821,4,3.091256
-12.053716,32,3.171376
-13.103243,42,3.278746
-4.012065,9,3.304826
-9.444868,26,3.3704
-19.158765,35,3.457273
-4.060817,11,3.486886
-6.167836,12,3.518515
-6.981035,18,3.561124
-5.326143,12,3.588887
-7.99701,22,3.642885
-8.696397,28,3.714755
-25.490887,36,3.800173
-22.617822,33,3.87909
-9.711523,33,3.96751
-31.733152,57,4.129998
-23.152648,60,4.294148
-11.879034,37,4.395251
-9.921756,20,4.448164
-15.494125,25,4.513978
-27.978594,42,4.615196
-3.979444,9,4.639141
-22.174265,36,4.730232
-8.84419,17,4.773793
-22.554469,45,4.891718
-5.428456,25,4.950974
-15.916225,47,5.068843
-11.173536,23,5.124876
-6.796046,15,5.164717
-17.849886,44,5.27689
-11.190017,49,5.403075
-9.745172,18,5.442736
-19.578957,31,5.52179
-25.758767,59,5.662224
-17.488883,40,5.746842
-19.319016,58,5.904168
-9.335011,36,5.989333
-10.46896,38,6.07996
-8.086108,21,6.127204
-2.401825,7,6.143004
-13.594562,27,6.208277
-5.365638,8,6.229185
-7.683646,14,6.262058
-10.83886,26,6.322978
-10.006176,35,6.415245
-8.677771,14,6.449925
-8.288628,19,6.49491
-6.229754,20,6.538866
-5.802459,12,6.569036
-8.054135,21,6.616254
-7.959037,16,6.651587
-15.451376,37,6.740082
-8.385675,12,6.766935
-2.918374,12,6.793185
-5.078971,17,6.831553
-10.898023,34,6.903305
-12.175777,19,6.942837
-10.044212,36,7.017833
-15.967639,52,7.153284
-15.324811,41,7.265236
-13.071676,31,7.348124
-23.424162,33,7.435279
-9.394335,27,7.500958
-12.705379,31,7.576946
-8.612005,37,7.660021
-7.334059,38,7.737906
-15.148104,35,7.81122
-11.542034,19,7.854214
-15.446611,38,7.944946
-14.682965,40,8.041741
-5.308303,10,8.068876
-8.601358,34,8.156644
-12.57097,50,8.270263
-9.786976,37,8.352163
-5.829517,15,8.390311
-5.415359,15,8.427194
-16.546369,39,8.521655
-8.274566,23,8.581196
-8.328654,32,8.656754
-19.182492,66,8.814545
-15.071055,30,8.895139
