epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,2.033064,0.596081,0.0928405,-4.476234,1.930085,0.455977,0.0740635,0.1,0.943886
2,1.922461,0.540958,0.0837945,-4.404498,1.842518,0.349415,0.056836,0.1,0.828372
3,1.882054,0.519245,0.078686,-4.382208,1.632305,0.33934,0.0512195,0.1,0.777324
4,1.89069,0.547237,0.082094,-4.360825,1.749701,0.401256,0.062142,0.1,0.77013
5,1.889578,0.525175,0.0794535,-4.295594,1.386784,0.478533,0.0650725,0.1,0.770334
6,1.83822,0.528563,0.0821975,-4.306081,1.719958,0.597078,0.0701255,0.1,0.743577
7,1.807444,0.506107,0.077525,-4.28758,1.659628,0.571562,0.0703445,0.1,0.704776
8,1.774698,0.487166,0.0745405,-4.274012,1.761843,0.469288,0.064442,0.1,0.686303
9,1.802184,0.509437,0.078924,-4.203037,1.631315,0.545128,0.0719795,0.1,0.703813
10,1.79909,0.505162,0.0775385,-4.189236,1.599881,0.51843,0.0691385,0.1,0.696913
11,1.784354,0.498695,0.0775615,-4.159607,1.624324,0.542643,0.0718505,0.1,0.692204
12,1.749321,0.488106,0.074605,-4.081546,1.475683,0.3834,0.0592795,0.1,0.665968
13,1.736069,0.477218,0.074047,-4.068548,1.646392,0.496114,0.065511,0.1,0.663181
14,1.782225,0.500863,0.0777595,-3.989377,1.712624,0.518794,0.0671675,0.1,0.693073
15,1.752427,0.503624,0.0778465,-3.957249,1.712155,0.556572,0.0689925,0.1,0.667795
16,1.700367,0.47955,0.0747285,-3.960054,1.670959,0.450243,0.062677,0.1,0.642393
17,1.711074,0.47036,0.073325,-3.895135,1.756051,0.42142,0.0593335,0.1,0.641158
18,1.714998,0.474827,0.0745095,-3.8631,1.701521,0.464546,0.062887,0.1,0.634674
19,1.707648,0.480942,0.0753,-3.828413,1.739711,0.45664,0.06332,0.1,0.638559
20,1.715898,0.480001,0.0754305,-3.779312,1.755668,0.46487,0.0622325,0.1,0.629041
21,1.715497,0.49145,0.077062,-3.713218,1.691062,0.404855,0.059958,0.1,0.621557
22,1.695399,0.4758,0.0753875,-3.690134,1.736765,0.432035,0.0598315,0.1,0.595868
23,1.648368,0.471665,0.073625,-3.660467,1.718389,0.390476,0.0548495,0.1,0.546545
24,1.604305,0.466373,0.073574,-3.681727,1.722552,0.377962,0.0579615,0.1,0.525994
25,1.61092,0.45994,0.072848,-3.672111,1.708816,0.412238,0.0587075,0.1,0.554407
26,1.634663,0.486193,0.077114,-3.589611,1.754527,0.443699,0.0595995,0.1,0.526277
27,1.626069,0.487585,0.0772485,-3.570172,1.727757,0.426057,0.0593075,0.1,0.497216
28,1.703476,0.526252,0.083187,-3.470162,1.688906,0.429113,0.061981,0.1,0.531042
29,1.611335,0.492844,0.0780905,-3.540387,1.755979,0.418332,0.059445,0.1,0.489268
30,1.615576,0.493317,0.0792205,-3.525773,1.778365,0.420137,0.0590675,0.1,0.476156
