#{"t_start": 1778606267.8495839, "env_id": "V2GEnv-continuous"}
r,l,t
-4.901026,11,1.155477
-8.577135,16,1.157482
-5.058404,17,1.15948
-3.394278,11,1.161481
-7.798281,22,1.163479
-8.036819,21,1.165479
-3.950343,18,1.167484
-4.586616,18,1.170489
-1.048601,10,1.171486
-5.34603,28,1.174484
-8.504511,23,1.176483
-4.189543,14,1.178484
-16.353692,11,1.179481
-7.067007,28,1.181986
-3.946902,22,1.184989
-4.068146,16,1.186996
-3.193203,13,1.187989
-6.878846,24,1.190986
-2.784988,11,1.191986
-3.755217,18,1.193986
-3.105287,16,1.194986
-5.342416,22,1.197991
-4.5475,14,1.198988
-4.596944,14,1.200986
-4.015976,17,1.20299
-5.61213,19,1.204986
-5.971361,31,1.207986
-4.54455,20,1.209987
-6.823546,27,1.212986
-5.750757,19,1.214986
-5.548457,20,1.216986
-6.191993,12,1.21799
-3.662634,12,1.219989
-4.999906,16,1.220988
-2.085148,11,1.222993
-5.186381,15,1.223993
-3.485454,20,1.225986
-3.024128,13,1.227986
-5.402341,30,1.230988
-3.760482,7,1.23199
-3.595803,9,1.232987
-6.429478,30,1.234986
-2.971129,15,1.236988
-7.657214,26,1.239986
-6.70727,15,1.240987
-6.245406,16,1.242986
-2.867287,10,1.243986
-4.292024,15,1.244986
-6.125009,13,1.246986
-5.363181,16,1.248991
-5.841571,29,1.251989
-2.941655,16,1.253987
-5.285933,20,1.255986
-4.441991,21,1.257989
-5.819579,33,1.260986
-5.635929,17,2.0471
-12.921766,26,2.115623
-2.828543,5,2.130625
-13.386295,22,2.187138
-9.862389,20,2.240142
-9.097563,19,2.286654
-14.712111,35,2.372658
-8.068029,12,2.40217
-10.233746,18,2.447171
-5.94907,8,2.466172
-7.477997,15,2.503687
-12.264172,18,2.552689
-9.292767,16,2.597386
-6.759059,11,2.634395
-8.588782,16,2.681425
-11.347645,24,2.749355
-12.73533,28,2.827878
-4.258116,10,2.854878
-7.177086,9,2.877883
-9.029744,17,2.923395
-8.519176,16,2.964395
-9.02166,15,3.000904
-5.681676,11,3.028905
-13.718679,34,3.114424
-5.511741,9,3.136423
-7.335944,11,3.164426
-6.599669,13,3.196934
-10.239575,20,3.248937
-5.925567,15,3.286459
-9.093512,18,3.331461
-12.664188,27,3.401976
-10.791569,26,3.466985
-5.296846,12,3.496503
-10.842959,19,3.545505
-12.204441,16,3.592021
-5.583632,10,3.619024
-11.808107,19,3.673031
-9.41876,21,3.729548
-10.803197,26,3.799063
-13.306137,34,3.894603
-8.080798,13,3.929604
-4.398133,6,3.947601
-7.111883,10,3.975606
-16.494731,14,4.015121
-15.401274,28,4.091646
-11.355096,16,4.136643
-11.102769,24,4.202161
-10.452127,18,4.251163
-11.536278,25,4.319683
-7.370798,14,4.358204
-12.03031,29,4.44173
-10.390416,14,4.478733
-15.022851,27,4.556244
-5.999752,14,4.594756
-12.185994,20,4.650756
-5.897677,9,4.675762
-4.676959,5,4.689281
-11.591844,22,4.753797
-6.904889,14,4.790314
-4.553307,11,4.818389
-7.806297,10,4.843395
-3.557027,7,4.860909
-7.470713,22,4.920431
-9.324199,15,4.958433
-5.215194,11,4.987948
-5.626578,13,5.022949
-5.112583,9,5.046949
-6.801241,11,5.077957
-8.865506,12,5.111473
-6.353693,11,5.141474
-11.091255,13,5.17348
-8.17299,19,5.222991
-8.124357,9,5.245991
-10.058507,17,5.289514
-6.711177,11,5.318514
-2.717818,5,5.332512
-5.638083,10,5.359032
-13.406159,31,5.440553
-6.644811,16,5.483076
-13.393593,18,5.531082
-3.931554,5,5.543591
-2.787191,7,5.562591
-10.611574,20,5.612113
-7.171891,16,5.653117
-7.497629,17,5.697639
-6.524147,17,5.742638
-6.891412,10,5.768644
-7.69652,12,5.798154
-6.683123,8,5.819154
-6.282127,9,5.841155
-3.853758,6,5.858156
-8.870382,18,5.904679
-16.665816,22,5.95868
-15.588731,34,6.042197
-10.709127,19,6.090722
-11.904128,22,6.144722
-16.944465,13,6.176728
-6.670845,9,6.200245
-9.341945,18,6.249243
-13.040921,26,6.316761
-10.325481,17,6.359762
-6.420935,7,6.378766
-3.571004,9,6.401278
-12.189348,17,6.445278
-9.153755,21,6.498796
-7.426284,10,6.527798
-7.946389,12,6.559801
-8.663316,13,6.591315
-5.668811,9,6.613314
-10.85808,14,6.653314
-5.209303,10,6.679322
-5.116383,9,6.703837
-7.728921,18,6.750835
-7.784061,15,6.789356
-10.173928,22,6.843357
-7.934742,15,6.884957
-4.000372,9,6.911424
-5.454799,8,6.933425
-7.301859,14,6.971537
-9.611562,20,7.025569
-6.235875,12,7.059571
-7.966443,19,7.112092
-12.674276,27,7.185618
-6.943348,11,7.215615
-5.14241,11,7.246617
-7.706862,13,7.278623
-13.769917,20,7.332142
-7.832744,12,7.361142
-12.110555,18,7.418659
-11.150962,26,7.530752
-15.528178,34,7.695776
-4.707816,5,7.716775
-10.76133,25,7.853285
-7.494049,12,7.921795
-2.591909,5,7.951795
-10.963166,21,8.061304
-16.607253,20,8.176867
-9.80728,14,8.248383
-8.740592,12,8.308894
-7.189345,11,8.367893
-6.22955,13,8.438403
-12.275921,17,8.529915
-3.910589,7,8.564921
-10.29064,18,8.660445
-14.013365,20,8.761956
-12.092818,18,8.861467
-6.966611,13,8.932996
-3.738806,7,8.969009
-6.367683,9,9.008495
-5.830588,7,9.041496
-7.062414,15,9.107593
-8.141982,14,9.17167
-3.116158,4,9.191689
-6.083189,8,9.227688
-6.497634,13,9.28662
-5.566397,9,9.327621
-11.001177,16,9.39914
-10.367534,12,9.454661
-15.152501,19,9.547168
-14.79936,24,9.661684
-6.497899,10,9.712199
-8.181764,19,9.795712
-7.885526,11,9.847713
-4.819463,13,9.903224
-13.769634,21,10.000736
-9.321744,14,10.064735
-6.994479,12,10.11725
-2.361991,3,10.13125
-10.322273,19,10.218761
-5.463108,9,10.261767
-6.628885,16,10.335297
-11.727202,25,10.446312
-1.850027,5,10.469314
-4.371963,20,10.56334
-8.977161,19,10.652851
-4.377149,13,10.718362
-7.916382,40,10.900384
-8.680922,27,11.019893
-14.607549,33,11.171419
-4.801577,27,11.309105
-7.098258,24,11.422126
-3.829677,31,11.580643
-3.46795,21,11.696662
-2.485221,7,11.733663
-5.000466,22,11.846181
-3.755398,23,11.967699
-2.471835,11,12.018207
-0.771624,7,12.054207
-3.472748,20,12.156718
-2.10824,29,12.296737
-3.017922,24,12.453254
-3.564146,13,12.513785
-4.482513,40,12.725823
-4.997279,14,12.784328
-3.508895,9,12.83333
-4.808065,16,12.933842
-6.519134,18,13.038357
-1.285944,20,13.145893
-7.679548,32,13.304922
-2.74,39,13.503409
-1.979842,6,13.529915
0.313479,9,13.568916
-3.759818,45,13.796462
-0.713519,10,13.842462
-2.846975,22,13.962982
-1.35858,14,14.028504
-3.821666,38,14.20553
-1.624659,14,14.271532
-2.819795,19,14.374041
-3.281731,21,14.478549
-2.63318,11,14.535057
-2.229876,21,14.64157
-3.993889,32,14.798104
-5.231065,28,14.954615
-2.499088,24,15.075129
-4.858639,19,15.171637
-3.536171,6,15.203146
-6.982564,42,15.425211
-0.418491,15,15.503725
-3.513847,5,15.526723
-0.807668,21,15.635347
-0.530941,19,15.729953
-3.303221,22,15.83946
-3.894816,8,15.884972
-0.600202,12,15.944975
-0.734496,23,16.068481
-1.111862,12,16.132996
-1.554458,11,16.186503
-2.503289,11,16.250503
-2.141618,26,16.389537
-3.256754,7,16.425536
-9.84898,12,16.489044
-0.057225,30,16.647552
-0.995433,25,16.780064
-5.247088,33,16.950087
0.390312,43,17.171132
-2.048419,16,17.254636
-1.35418,19,17.356147
-1.039225,12,17.424657
-0.564643,7,17.461657
-4.681281,18,17.556175
0.200628,46,17.855503
-2.510299,11,17.91715
-3.57238,15,17.995659
-0.559015,10,18.046659
-0.250124,18,18.132169
-1.237368,13,18.212677
-1.907779,28,18.347184
-1.069155,25,18.463693
-1.671449,28,18.597711
-0.589165,31,18.749219
-1.306755,24,18.855729
-1.690007,7,18.90724
-3.763081,6,18.943244
-1.090046,17,19.023753
-0.749051,11,19.070755
-2.846644,23,19.187184
-0.441852,6,19.218959
-2.130801,15,19.296086
-1.402634,12,19.362632
-1.113033,9,19.412097
-0.180452,15,19.498471
-0.445352,21,19.612534
-3.182753,11,19.671124
-0.695776,7,19.708981
-1.31861,12,19.771046
-0.537616,17,19.858874
-4.824745,17,19.944247
-0.069723,21,20.051416
-1.732558,6,20.08583
-3.100934,15,20.158032
-2.899335,18,20.252502
-0.509759,18,20.357384
-1.130921,10,20.418452
-0.715714,25,20.552636
-0.185669,31,20.722175
-0.860232,7,20.75546
-2.194877,9,20.804894
-1.227385,9,20.856364
-4.968932,30,21.020876
-0.844883,12,21.086031
