epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,2.643391,0.791859,0.122099,-3.643774,4.566238,0.815015,0.12323,0.01,1.575341
2,2.685657,0.859181,0.124272,-3.594275,4.5842,0.904235,0.124811,0.01,1.65704
3,2.56874,0.789673,0.12425,-3.598552,4.483503,0.86457,0.118298,0.01,1.545248
4,2.60329,0.786578,0.119704,-3.600518,4.347691,0.898392,0.112096,0.01,1.573083
5,2.617431,0.773576,0.120326,-3.588638,4.261178,0.870889,0.122415,0.01,1.562447
6,2.431303,0.765416,0.118105,-3.562738,4.290135,0.779309,0.108911,0.01,1.42587
7,2.546036,0.741641,0.118322,-3.527435,4.408854,0.888801,0.118094,0.01,1.523743
8,2.344022,0.742904,0.116119,-3.507903,4.454865,0.834976,0.120637,0.01,1.388281
9,2.261036,0.713877,0.11864,-3.479678,4.306552,0.863304,0.109831,0.01,1.336306
10,2.341009,0.750635,0.120408,-3.468548,4.37282,0.85939,0.116372,0.01,1.341552
11,2.307216,0.733938,0.117058,-3.462279,4.322616,0.850072,0.122671,0.01,1.369336
12,2.181234,0.709738,0.114766,-3.434017,3.975852,0.738716,0.104022,0.01,1.235207
13,2.228222,0.713124,0.114128,-3.434937,3.70251,0.690014,0.114584,0.01,1.292352
14,2.023268,0.6667,0.111591,-3.416482,4.03456,0.769385,0.11381,0.01,1.173369
15,1.90044,0.667585,0.11038,-3.394839,3.747946,0.713398,0.117107,0.01,1.042395
16,1.95708,0.665294,0.113463,-3.400134,3.740578,0.717721,0.10174,0.01,1.04754
17,1.866942,0.679654,0.114606,-3.367491,3.095598,0.674215,0.108609,0.01,0.851016
18,1.73493,0.682978,0.115707,-3.380776,3.582918,0.727134,0.116034,0.01,0.964246
19,1.787456,0.664419,0.116932,-3.36266,3.57054,0.597938,0.105192,0.01,0.812868
20,1.777925,0.661121,0.113035,-3.362838,3.597006,0.545833,0.093837,0.01,0.858934
