epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.500323,0.49974,0.505186,0.498141,-0.998772,-0.191743,-0.9999
2,0.500802,0.499084,0.510879,0.497161,-0.997671,-0.183693,-0.9998
3,0.500783,0.498651,0.516254,0.495315,-0.996481,-0.17555,-0.9997
4,0.501019,0.498318,0.521565,0.493506,-0.995191,-0.167374,-0.9996
5,0.501202,0.498036,0.526608,0.491715,-0.993911,-0.15902,-0.9995
6,0.501198,0.497651,0.531692,0.489398,-0.992503,-0.150841,-0.9994
7,0.501493,0.497415,0.536881,0.487617,-0.991191,-0.142586,-0.9993
8,0.501481,0.496904,0.542469,0.485605,-0.989711,-0.134685,-0.999201
9,0.50118,0.496715,0.5479,0.48293,-0.988247,-0.126857,-0.999101
10,0.501163,0.496417,0.553405,0.48042,-0.986716,-0.11904,-0.999002
11,0.501014,0.495861,0.558964,0.478012,-0.985257,-0.11123,-0.998902
12,0.500958,0.495722,0.564478,0.475265,-0.983532,-0.103536,-0.998802
13,0.500666,0.495408,0.570057,0.472314,-0.981925,-0.095949,-0.998702
14,0.500285,0.494997,0.575907,0.469181,-0.980103,-0.088702,-0.998609
15,0.500028,0.494757,0.582067,0.464957,-0.977986,-0.082389,-0.998509
16,0.499178,0.494616,0.588028,0.460829,-0.975903,-0.075861,-0.998409
17,0.49798,0.49401,0.593721,0.455768,-0.973813,-0.072921,-0.998315
18,0.497071,0.493294,0.600097,0.451322,-0.971668,-0.067734,-0.998215
19,0.495791,0.492717,0.60547,0.446152,-0.969557,-0.065621,-0.998119
20,0.49452,0.4924,0.610869,0.440786,-0.96747,-0.062432,-0.998019
