epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.563607,0.664774,0.103004,-3.482817,2.350728,0.497421,0.088298,0.01,1.035036
2,1.522821,0.651683,0.097569,-3.469566,2.057515,0.499754,0.090673,0.01,0.960407
3,1.58014,0.675502,0.104276,-3.474199,2.28257,0.493993,0.085685,0.01,1.020744
4,1.57464,0.681529,0.106205,-3.421754,2.325574,0.492277,0.090971,0.01,1.099601
5,1.552962,0.631902,0.09914,-3.439575,2.247574,0.477599,0.087932,0.01,0.909226
6,1.497224,0.630185,0.098324,-3.461947,2.32503,0.480666,0.083547,0.01,0.873777
7,1.514795,0.642808,0.099999,-3.402401,2.333682,0.500396,0.088953,0.01,0.899767
8,1.487176,0.636677,0.098213,-3.44087,2.255556,0.465674,0.084623,0.01,0.91393
9,1.516039,0.6321,0.100513,-3.423735,2.350796,0.468835,0.085478,0.01,0.782532
10,1.50701,0.639886,0.100176,-3.42829,2.121542,0.52099,0.086651,0.01,0.863141
11,1.445847,0.602376,0.095226,-3.42163,1.918041,0.500165,0.083259,0.01,0.881493
12,1.471461,0.616251,0.095845,-3.427936,2.31958,0.574913,0.088822,0.01,0.864254
13,1.48367,0.632177,0.09806,-3.414419,2.196148,0.475238,0.086692,0.01,0.807541
14,1.508429,0.628579,0.098313,-3.360646,1.77742,0.532723,0.093027,0.01,0.79268
15,1.473136,0.642374,0.101061,-3.406429,2.388622,0.521455,0.093593,0.01,0.867889
16,1.449969,0.617414,0.098565,-3.405959,2.285502,0.478821,0.083244,0.01,0.832764
17,1.458389,0.628065,0.100932,-3.396365,2.194144,0.451685,0.08766,0.01,0.810239
18,1.451113,0.614609,0.098433,-3.380445,2.299814,0.534093,0.086782,0.01,0.78466
19,1.509252,0.615142,0.096357,-3.405215,2.482193,0.49675,0.088088,0.01,0.748012
20,1.45944,0.600357,0.094828,-3.396906,2.235094,0.454713,0.077159,0.01,0.749358
