epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,2.616578,0.9559,0.130632,-3.879836,4.718576,1.13155,0.129833,0.01,1.793221
2,2.630468,0.920371,0.126104,-3.880472,4.48483,0.982961,0.12333,0.01,1.788283
3,2.647152,0.95058,0.131461,-3.843098,4.549326,1.078069,0.138344,0.01,1.814373
4,2.580192,0.958368,0.132787,-3.837768,4.460815,1.0425,0.128164,0.01,1.800007
5,2.707282,0.97331,0.13382,-3.818599,4.554465,1.125366,0.1405,0.01,1.855124
6,2.624571,0.966239,0.138434,-3.774222,4.409822,1.085549,0.140889,0.01,1.849664
7,2.640699,0.926313,0.129233,-3.784304,4.555985,1.05783,0.131521,0.01,1.824556
8,2.587035,0.919336,0.129915,-3.740602,4.466894,1.087737,0.135982,0.01,1.754253
9,2.408854,0.934883,0.132966,-3.714367,4.114016,0.968936,0.132052,0.01,1.676911
10,2.36626,0.901132,0.128216,-3.731156,4.099733,1.021033,0.12638,0.01,1.643484
11,2.327673,0.904252,0.130956,-3.703377,4.054003,1.057507,0.135012,0.01,1.662928
12,2.265555,0.921455,0.131463,-3.669984,4.119552,1.057721,0.132539,0.01,1.621197
13,2.439264,0.927887,0.131489,-3.655118,4.229072,0.967121,0.125307,0.01,1.719789
14,2.185013,0.904649,0.132631,-3.644422,4.143473,1.066749,0.143988,0.01,1.603516
15,2.250912,0.899803,0.133019,-3.63987,4.001003,1.017194,0.131466,0.01,1.605225
16,2.08366,0.896652,0.137228,-3.610105,3.998321,1.063874,0.143182,0.01,1.65617
17,2.083321,0.896915,0.131883,-3.592558,3.944376,0.913594,0.127597,0.01,1.477876
18,2.049276,0.896417,0.133533,-3.603409,3.850954,1.028761,0.139111,0.01,1.556746
19,2.055417,0.896409,0.131111,-3.576769,3.80274,0.916559,0.132437,0.01,1.553807
20,2.006296,0.877346,0.1363,-3.560747,3.682968,1.082145,0.147223,0.01,1.562559
