epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.50096,0.499125,-0.493268,-0.499711,-0.998897,-0.192728,-0.9999
2,0.50181,0.498229,-0.486529,-0.499445,-0.997741,-0.185459,-0.9998
3,0.502856,0.4974,-0.479724,-0.498675,-0.996674,-0.178293,-0.9997
4,0.503706,0.496456,-0.472772,-0.498324,-0.995551,-0.171234,-0.9996
5,0.504673,0.495642,-0.465943,-0.497918,-0.99449,-0.164052,-0.9995
6,0.505494,0.494743,-0.458931,-0.497376,-0.993543,-0.157032,-0.9994
7,0.506379,0.493937,-0.452077,-0.497005,-0.992429,-0.14987,-0.9993
8,0.507063,0.49297,-0.445296,-0.4968,-0.991356,-0.142624,-0.999201
9,0.507863,0.491965,-0.438048,-0.49666,-0.990119,-0.13589,-0.999108
10,0.50846,0.490933,-0.430812,-0.496632,-0.988758,-0.129146,-0.999008
11,0.509132,0.489816,-0.423411,-0.496449,-0.987478,-0.122592,-0.998908
12,0.50991,0.488679,-0.415655,-0.495997,-0.98617,-0.116496,-0.998808
13,0.510616,0.487628,-0.408389,-0.495734,-0.985049,-0.109766,-0.998708
14,0.511317,0.486458,-0.400528,-0.495337,-0.983713,-0.103809,-0.998608
15,0.511953,0.4853,-0.392737,-0.494915,-0.982369,-0.097753,-0.998508
16,0.51263,0.484161,-0.384574,-0.493916,-0.981167,-0.092251,-0.998409
17,0.513137,0.482867,-0.376544,-0.494056,-0.979674,-0.08656,-0.998309
18,0.513703,0.48152,-0.368317,-0.493621,-0.978271,-0.081165,-0.998209
19,0.5144,0.480392,-0.360172,-0.493099,-0.976866,-0.075624,-0.998109
20,0.514943,0.479253,-0.35185,-0.492266,-0.975534,-0.070358,-0.998011
