epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,3.149386,0.880413,0.122878,-4.207666,2.859123,0.892723,0.113698,0.01,1.875057
2,3.181214,0.879743,0.124127,-4.18058,2.851234,0.830442,0.112109,0.01,1.863093
3,3.154809,0.879688,0.121721,-4.160679,2.948678,0.879976,0.113963,0.01,1.849651
4,3.199438,0.878847,0.125444,-4.159382,2.910921,0.832111,0.119513,0.01,1.915418
5,2.997948,0.850946,0.12155,-4.135991,2.657143,0.843778,0.118522,0.01,1.819667
6,2.976183,0.871478,0.127922,-4.119258,2.497851,0.798663,0.12546,0.01,1.884341
7,2.90624,0.851201,0.122822,-4.098723,2.517069,0.804677,0.118599,0.01,1.85597
8,3.024084,0.846409,0.119312,-4.081433,2.699572,0.920133,0.117839,0.01,1.789817
9,2.910237,0.854724,0.125686,-4.053852,2.552072,0.81305,0.121834,0.01,1.810776
10,3.004746,0.866414,0.125956,-4.059135,2.727768,0.818536,0.113676,0.01,1.891665
11,2.829301,0.849241,0.123618,-4.017621,2.575056,0.857091,0.124247,0.01,1.80735
12,2.944984,0.850546,0.12236,-4.001624,2.673476,0.856001,0.115677,0.01,1.76668
13,2.906488,0.826963,0.119734,-4.016939,2.519034,0.836138,0.117763,0.01,1.781197
14,2.819264,0.857194,0.125865,-3.972454,2.623692,0.882635,0.125692,0.01,1.789353
15,2.947843,0.866301,0.127198,-3.939701,2.719714,0.856928,0.118271,0.01,1.832716
16,2.742296,0.857182,0.126485,-3.942477,2.520424,0.801042,0.116784,0.01,1.77363
17,2.788605,0.855786,0.128013,-3.914793,2.570225,0.866859,0.121867,0.01,1.772288
18,2.795179,0.852397,0.125303,-3.91999,2.595183,0.79319,0.11797,0.01,1.800476
19,2.652354,0.856739,0.128348,-3.905645,2.339108,0.839145,0.125326,0.01,1.769945
20,2.536418,0.833179,0.123777,-3.857304,2.439021,0.75431,0.107611,0.01,1.662657
