epoch,amount_charged,amount_discharged,charge_price_quality,discharge_price_quality,soc_below_target,soc_above_target,journey_failure
1,0.501444,0.499377,-0.492419,-0.500117,-0.998825,-0.193776,-0.998876
2,0.502864,0.49876,-0.484931,-0.499993,-0.99768,-0.18743,-0.997746
3,0.504416,0.49821,-0.477417,-0.49991,-0.996482,-0.181154,-0.996608
4,0.505762,0.497517,-0.469808,-0.499687,-0.995369,-0.174938,-0.995506
5,0.507069,0.496786,-0.462026,-0.499758,-0.994128,-0.168969,-0.994351
6,0.508286,0.495963,-0.453999,-0.499693,-0.992953,-0.163302,-0.993233
7,0.509648,0.495231,-0.445954,-0.4995,-0.991731,-0.157701,-0.992099
8,0.511172,0.494689,-0.438347,-0.499607,-0.99043,-0.151564,-0.990927
9,0.512629,0.494048,-0.430378,-0.499312,-0.989169,-0.145889,-0.989768
10,0.513726,0.493113,-0.422406,-0.499384,-0.988019,-0.14014,-0.988654
11,0.515082,0.492425,-0.414283,-0.499323,-0.986754,-0.134665,-0.987493
12,0.516533,0.491735,-0.406563,-0.499187,-0.98548,-0.128669,-0.986308
13,0.517768,0.490969,-0.398579,-0.499187,-0.984162,-0.122991,-0.985131
14,0.519003,0.490078,-0.390444,-0.499171,-0.982908,-0.117537,-0.983959
15,0.520292,0.489278,-0.38251,-0.498978,-0.981729,-0.111775,-0.98284
16,0.521708,0.488538,-0.374221,-0.49871,-0.980412,-0.106607,-0.981659
17,0.522999,0.487733,-0.36607,-0.498535,-0.979154,-0.101187,-0.980477
18,0.524157,0.486874,-0.357755,-0.498661,-0.977882,-0.095999,-0.979313
19,0.525337,0.485882,-0.349332,-0.498446,-0.976593,-0.091029,-0.97813
20,0.526856,0.485233,-0.34085,-0.498344,-0.975174,-0.08625,-0.976877
