epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.648366,0.493826,0.077542,-2.883099,1.231255,0.524435,0.076906,0.05,27.753159
2,1.48116,0.476497,0.076431,-2.76433,1.127629,0.531345,0.08998,0.05,23.414179
3,1.603254,0.489969,0.076945,-2.658379,1.27893,0.45477,0.07088,0.05,25.37538
4,1.45217,0.47053,0.071479,-2.557891,1.04661,0.455676,0.062083,0.05,21.759735
5,1.549596,0.479482,0.067256,-2.583935,1.169897,0.425045,0.072368,0.05,15.380631
6,1.598244,0.494413,0.067596,-2.498648,0.971932,0.493289,0.083127,0.05,14.427649
7,1.554349,0.527492,0.074157,-2.411075,1.068963,0.568096,0.08375,0.05,13.156697
8,1.533429,0.524667,0.077723,-2.302281,1.386754,0.665392,0.09299,0.05,11.284898
9,1.481199,0.498015,0.072297,-2.221852,1.137181,0.433962,0.064787,0.05,12.850897
10,1.586874,0.526389,0.076976,-2.182915,1.297242,0.478759,0.073604,0.05,11.136183
11,1.454974,0.517551,0.075753,-2.061618,1.126909,0.542217,0.079136,0.05,10.151399
12,1.408805,0.520984,0.075525,-1.999794,1.308896,0.541563,0.075102,0.05,9.5062
13,1.501478,0.531364,0.078075,-1.970435,1.291925,0.505432,0.077473,0.05,10.453954
14,1.404987,0.515975,0.076014,-1.896787,1.341165,0.613924,0.090924,0.05,8.974118
15,1.407333,0.531474,0.079299,-1.796093,1.397472,0.523839,0.079576,0.05,9.145133
16,1.468629,0.563713,0.083127,-1.784198,1.218188,0.5985,0.0776,0.05,8.000263
17,1.429644,0.545521,0.080345,-1.714825,1.385483,0.587683,0.088434,0.05,7.922522
18,1.482177,0.559493,0.082569,-1.627912,1.463133,0.739941,0.101026,0.05,8.00599
19,1.473332,0.554864,0.084646,-1.568248,1.480942,0.574085,0.08947,0.05,7.723298
20,1.440484,0.521739,0.076826,-1.571525,1.289829,0.642936,0.083674,0.05,7.486522
