epoch,amount_charged,amount_discharged,soc_below_target,soc_above_target,journey_failure
1,0.50608,0.505822,-1.249206,-0.991147,-0.9995
2,0.512499,0.511905,-1.498304,-0.98334,-0.998155
3,0.519188,0.518222,-1.747222,-0.974203,-0.997112
4,0.525998,0.524715,-1.996055,-0.966625,-0.996018
5,0.537672,0.536106,-2.244239,-0.954756,-0.994722
6,0.550666,0.548893,-2.492125,-0.942118,-0.993438
7,0.564633,0.562768,-2.73981,-0.930361,-0.991196
8,0.580836,0.578833,-2.987175,-0.920638,-0.988272
9,0.594007,0.591892,-3.234804,-0.911433,-0.986285
10,0.611109,0.608855,-3.481717,-0.89975,-0.983344
11,0.627241,0.624857,-3.72887,-0.896334,-0.980197
12,0.6444,0.642303,-3.975737,-0.893942,-0.976819
13,0.661423,0.659338,-4.22238,-0.884933,-0.973662
14,0.678754,0.676918,-4.46898,-0.884795,-0.970009
15,0.69451,0.693009,-4.715627,-0.888841,-0.966534
16,0.714725,0.713847,-4.961489,-0.890158,-0.962593
17,0.733647,0.733267,-5.207371,-0.896066,-0.958499
18,0.751612,0.751612,-5.453178,-0.905273,-0.954506
19,0.772026,0.772228,-5.698576,-0.911751,-0.950389
20,0.794363,0.795088,-5.943575,-0.912363,-0.946225
