epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.620638,0.60833,0.102866,-3.39015,1.64451,0.689164,0.1055,0.05,6.920264
2,1.479089,0.564087,0.097922,-3.201668,1.440083,0.635132,0.105284,0.05,7.040963
3,1.39058,0.556562,0.099305,-3.076356,1.2887,0.558982,0.104661,0.05,6.002156
4,1.376627,0.573268,0.097602,-3.073368,1.648341,0.78759,0.123904,0.05,4.602742
5,1.303502,0.558675,0.096116,-3.013116,1.328706,0.711233,0.117576,0.05,3.682011
6,1.270733,0.570775,0.098079,-2.914221,1.380786,0.732746,0.124886,0.05,3.723828
7,1.204888,0.566766,0.096322,-2.866559,1.240348,0.717637,0.119446,0.05,3.233974
8,1.204343,0.555046,0.096502,-2.80374,1.334532,0.709764,0.112187,0.05,3.297198
9,1.140581,0.556057,0.096141,-2.76738,1.270741,0.693168,0.116395,0.05,3.161094
10,1.127301,0.546419,0.09686,-2.712479,1.31903,0.674571,0.125187,0.05,3.186829
11,1.107168,0.545496,0.096752,-2.658667,1.36335,0.688875,0.111485,0.05,2.984201
12,1.1238,0.560663,0.098085,-2.620442,1.161539,0.665501,0.118164,0.05,2.849432
13,1.141927,0.545775,0.100336,-2.532746,1.264098,0.670656,0.128658,0.05,2.99542
14,1.139784,0.588179,0.101421,-2.527091,1.337663,0.632849,0.117608,0.05,2.456591
15,1.150903,0.52472,0.09706,-2.496698,1.314364,0.698105,0.128062,0.05,3.071823
16,1.177202,0.567147,0.100681,-2.448613,1.422811,0.716905,0.132564,0.05,2.705952
17,1.153001,0.541063,0.09988,-2.437865,1.287572,0.683738,0.12886,0.05,2.895421
18,1.155853,0.548855,0.098963,-2.410366,1.243177,0.634852,0.130343,0.05,2.979371
19,1.115888,0.580518,0.099516,-2.449518,1.260514,0.663431,0.12714,0.05,2.237741
20,1.189949,0.552078,0.101419,-2.355846,1.293648,0.652135,0.1214,0.05,2.741529
