epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,2.183438,0.540413,0.083148,-2.765298,1.111852,0.330872,0.052231,0.05,7.953222
2,1.881175,0.457947,0.072515,-2.583424,1.047092,0.326263,0.044121,0.05,6.515491
3,1.86734,0.428084,0.069491,-2.347585,1.035756,0.337115,0.057012,0.05,6.716698
4,1.892604,0.458947,0.070546,-2.23299,0.946536,0.280731,0.044179,0.05,6.087279
5,1.748206,0.419271,0.071074,-2.006312,0.89944,0.304758,0.051483,0.05,5.730013
6,1.757461,0.431779,0.06988,-1.857618,0.885198,0.258402,0.043298,0.05,5.677055
7,1.67244,0.396741,0.065816,-1.768097,0.848978,0.218976,0.030463,0.05,4.646226
8,1.687264,0.40225,0.064697,-1.625529,0.790923,0.186535,0.022274,0.05,4.991632
9,1.544123,0.350575,0.066733,-1.447869,0.877146,0.321574,0.046829,0.05,4.555828
10,1.647718,0.413939,0.0688,-1.386018,0.824611,0.235514,0.033707,0.05,4.516984
11,1.630569,0.417745,0.076779,-1.287522,0.928234,0.263373,0.037165,0.05,3.866969
12,1.681392,0.418774,0.071708,-1.208148,0.988046,0.282542,0.040907,0.05,3.838745
13,1.667092,0.412702,0.069292,-1.101746,0.756435,0.229775,0.027797,0.05,4.019604
14,1.628988,0.376425,0.070889,-1.033423,1.051712,0.311147,0.044179,0.05,3.694835
15,1.69202,0.41747,0.072917,-0.932538,0.915307,0.269886,0.040311,0.05,3.755601
16,1.707183,0.423382,0.071663,-0.86304,0.941471,0.224935,0.035009,0.05,3.562451
17,1.664062,0.410603,0.07117,-0.730178,0.960849,0.219591,0.034763,0.05,3.736827
18,1.645638,0.441667,0.079739,-0.639504,0.947844,0.26954,0.042392,0.05,3.561768
19,1.707884,0.379663,0.073018,-0.589186,0.91897,0.277205,0.045585,0.05,3.486016
20,1.611116,0.374871,0.070324,-0.499745,0.838865,0.240899,0.02975,0.05,3.919017
