epoch,train_l2,train_dtw,train_mae,log_likelihood,val_l2,val_dtw,val_mae,lr,grad_norm
1,1.603805,0.60833,0.102866,-3.343844,1.631078,0.689164,0.1055,0.05,4.445623
2,1.474521,0.59209,0.100068,-3.262684,1.45934,0.734813,0.115158,0.05,3.240081
3,1.390429,0.568499,0.099486,-3.084018,1.386654,0.643426,0.107427,0.05,3.962627
4,1.279723,0.5581,0.09728,-3.069751,1.402291,0.717048,0.119971,0.05,2.841151
5,1.248016,0.551199,0.09704,-2.94661,1.272467,0.635406,0.109239,0.05,3.151258
6,1.271653,0.566797,0.097999,-2.962826,1.376631,0.685001,0.123299,0.05,2.560122
7,1.241737,0.558386,0.097133,-2.87901,1.258612,0.671649,0.119937,0.05,2.530098
8,1.231647,0.556332,0.097562,-2.828504,1.307763,0.709487,0.125512,0.05,2.482793
9,1.151803,0.547334,0.096719,-2.800168,1.220605,0.628242,0.114682,0.05,2.270485
10,1.149995,0.525814,0.097016,-2.747509,1.308228,0.650029,0.126647,0.05,2.085055
11,1.133263,0.547939,0.095354,-2.730605,1.176589,0.637369,0.116158,0.05,2.159147
12,1.080827,0.530914,0.096286,-2.717216,1.256233,0.697875,0.125033,0.05,2.048083
13,1.123583,0.525975,0.096079,-2.689346,1.241071,0.697274,0.119849,0.05,2.092768
14,1.084868,0.537364,0.095292,-2.650026,1.290773,0.71342,0.122385,0.05,1.98964
15,1.150501,0.533131,0.098954,-2.609506,1.470413,0.751493,0.133454,0.05,1.994364
16,1.100065,0.552434,0.097471,-2.614256,1.315502,0.698242,0.120896,0.05,1.850592
17,1.154007,0.529261,0.097333,-2.592433,1.130053,0.665792,0.11861,0.05,2.003844
18,1.13773,0.516764,0.09688,-2.559922,1.29578,0.677085,0.118688,0.05,2.065478
19,1.090049,0.553504,0.098041,-2.548252,1.33413,0.721044,0.129062,0.05,1.824156
20,1.12973,0.529929,0.098101,-2.514793,1.282693,0.654761,0.120951,0.05,2.01526
