#{"t_start": 1770129789.5359507, "env_id": "V2GEnv-continuous"}
r,l,t
-20.539875,18,1.397337
-11.056157,10,1.410841
-53.070345,22,1.438853
-8.462648,7,1.452288
-5.623329,10,1.472288
-11.595459,11,1.485288
-31.629057,21,1.522796
-33.355607,10,1.546796
-23.361888,12,1.564797
-19.198931,13,1.581796
-2.694946,5,1.587796
-12.96409,11,1.601799
-10.871934,8,1.611837
-15.627438,15,1.629837
-44.58134,26,1.660837
-15.010806,13,1.681837
-14.106791,11,1.694839
-29.29034,12,1.710344
-26.029824,16,1.729344
-11.23258,10,1.741344
-58.48951,21,1.767344
-26.906495,12,1.783344
-36.218627,10,1.796346
-29.064708,12,1.81285
-13.552534,10,1.82485
-18.950666,10,1.83985
-34.874475,21,1.86585
-5.650116,6,1.87385
-32.710541,14,1.892852
-31.188474,8,1.903854
-28.078449,19,1.928364
-18.787132,13,1.944363
-3.89664,5,1.951363
-24.112142,16,1.971415
-16.621208,7,1.980409
-51.044737,25,2.012867
-4.0,6,2.020868
-20.950635,13,2.039013
-19.525027,12,2.054769
-16.242254,13,2.070997
-17.063345,11,2.084997
-35.938734,11,2.099093
-27.022918,17,2.122256
-28.528806,28,2.161808
-17.758675,15,2.180817
-30.842676,13,2.197817
-2.0,4,2.202817
-21.882521,16,2.224321
-10.390715,8,2.235321
-6.701696,7,2.244321
-4.142402,7,2.253321
-14.458282,13,2.269321
-2.128412,6,2.277321
-18.603618,15,2.296323
-5.414361,6,2.304323
-17.849567,14,2.324828
-16.678523,8,2.336828
-17.210573,14,2.354828
-36.965495,16,2.375828
-14.511997,14,2.39283
-25.891411,11,2.40583
-7.780217,6,2.414334
-33.93693,21,2.441334
-16.26112,14,2.462334
-45.043202,21,2.489334
-17.163072,7,2.498336
-12.617799,10,2.511841
-2.151355,6,2.519841
-13.816699,12,2.534841
-25.075,16,2.555841
-11.137505,12,2.572841
-28.912452,22,2.600843
-17.424964,15,2.619347
-5.436028,8,2.629347
-22.226375,10,2.642347
-43.617172,18,2.665347
-22.576743,15,2.684347
-10.769717,10,2.701349
-33.174587,15,2.719854
-6.969654,6,2.727854
-5.0625,4,2.732854
-14.355321,17,2.753854
-11.298591,9,2.765854
-31.479708,18,2.788854
-18.169449,15,2.808361
-12.685411,5,2.815361
-38.559506,26,2.84636
-19.858403,15,2.86536
-6.79369,7,2.874361
-25.379753,10,2.88736
-33.040009,17,2.909868
-17.546975,7,2.918868
-40.754231,17,2.939868
-13.337466,11,2.953868
-30.706718,13,2.969868
-2.17767,7,2.978868
-11.078055,11,2.991868
-19.295658,15,3.011374
-12.340102,12,3.027375
-13.901871,12,3.042375
-6.758387,7,3.051375
-25.855543,19,3.075376
-19.534732,17,3.09738
-22.946751,16,3.118023
-7.349854,6,3.127019
-13.168356,8,3.137023
-27.289405,13,3.153978
-36.329639,16,3.172978
-23.574395,11,3.187977
-15.689605,13,3.203979
-23.333647,15,3.224483
-11.23583,10,3.240483
-17.118604,12,3.256483
-8.0,8,3.266483
-36.767053,27,3.300489
-12.649059,13,3.316998
-11.346024,9,3.329045
-26.789294,12,3.345051
-3.238075,5,3.352043
-9.255601,11,3.365996
-30.451641,15,3.384996
-4.204636,7,3.392998
-30.516277,17,3.416502
-26.888152,15,3.435502
-18.580064,6,3.443502
-16.585384,14,3.461502
-27.668244,12,3.477504
-34.057518,17,3.498509
-40.841671,29,3.537096
-6.437573,8,3.547096
-9.945756,10,3.562096
-6.270827,9,3.574098
-10.987917,9,3.586149
-12.510574,13,3.602153
-7.241718,7,3.611656
-5.397976,7,3.619656
-31.141263,13,3.635656
-32.219931,21,3.665657
-15.708257,10,3.677657
-27.940259,22,3.708166
-20.458887,10,3.72117
-24.579624,20,3.746171
-33.380562,15,3.765171
-20.4186,19,3.789216
-3.072316,9,3.802221
-48.492789,24,3.832822
-6.261523,6,3.840822
-30.226835,21,3.866822
-25.157814,15,3.887822
-4.272691,6,3.894824
-14.992349,14,3.91333
-20.368705,12,3.929332
-28.352481,21,3.955332
-7.750292,9,3.967331
-14.259627,5,3.973331
-15.633972,13,3.989331
-6.342611,7,4.000389
-7.139995,11,4.014942
