#{"t_start": 1770330201.8000095, "env_id": "V2GEnv-continuous"}
r,l,t
-60.0,9,1.209143
-81.25,8,1.213142
-177.929337,11,1.218143
-0.973741,3,1.219143
-236.582359,17,1.228141
-21.790182,10,1.233141
-100.033804,10,1.237141
-175.486271,17,1.244141
-165.694194,13,1.247143
-27.416116,6,1.583589
-50.295619,9,1.682088
-111.179377,9,1.781587
-158.666489,11,1.910597
-120.214374,12,2.044093
-130.47257,12,2.190594
-338.35597,27,2.496525
-156.636068,6,2.567523
-230.032562,16,2.748331
-203.547874,11,2.871828
-301.562832,10,2.974227
-250.013389,17,3.158229
-679.506858,39,3.583769
-410.930525,27,3.878801
-166.469943,13,4.01594
-85.618377,8,4.104986
-37.635921,4,4.147983
-190.676464,16,4.326702
-240.0,19,4.546419
-231.2855,11,4.670703
-243.430014,18,4.873706
-40.0,8,4.971206
-80.045003,8,5.061706
-276.922058,21,5.302739
-151.198502,8,5.391734
-40.0,7,5.467235
-230.10393,17,5.660387
-218.137216,16,5.841277
-272.010634,23,6.101503
-288.4375,15,6.272996
-295.653262,10,6.383497
-27.729514,7,6.463996
-260.139954,7,6.543071
-46.252342,7,6.619574
-168.166882,16,6.800578
-183.876657,15,6.973073
-555.077848,32,7.341554
-64.891758,16,7.519705
-14.460648,4,7.564701
-182.436461,17,7.759703
-121.709702,16,7.937932
-104.228287,21,8.179628
-151.762067,16,8.3542
-163.08895,22,8.611312
-91.592095,17,8.804313
-17.412672,8,8.897309
-274.412908,8,8.984811
-45.29338,8,9.07531
-95.238331,21,9.311563
0.0,10,9.421571
-80.0,14,9.573692
-240.108221,12,9.710015
-20.0,6,9.77901
-185.898717,14,9.934284
-52.208484,7,10.014379
-121.054927,15,10.184032
-120.0,11,10.312223
-216.085229,17,10.504223
-57.014212,16,10.68323
-56.494184,19,10.926392
-10.791336,13,11.097889
-82.446665,12,11.2354
-39.161229,9,11.336454
-107.350227,22,11.585453
-183.725841,14,11.745531
-25.684977,14,11.900578
-40.900036,9,11.997608
-85.248079,10,12.108858
-9.802236,9,12.210142
-159.206726,9,12.313148
-37.230249,25,12.585027
-33.882991,17,12.77172
-41.622558,9,12.86822
-81.889037,22,13.105852
-33.892656,12,13.237352
-61.287928,19,13.447992
-28.279223,7,13.522495
-37.856839,8,13.611521
-20.147388,7,13.696829
-61.553659,12,13.839345
-15.001279,13,13.998551
-37.414956,11,14.121682
-49.029364,20,14.344074
-49.708785,24,14.611212
-59.451057,25,14.888209
-51.291824,15,15.055218
-33.36622,13,15.199714
-17.544921,16,15.380308
-36.169561,10,15.491343
-29.977384,9,15.589479
-17.634802,5,15.643491
-48.941745,18,15.847492
-70.665105,19,16.059594
-21.151065,19,16.269594
-54.089201,24,16.540673
-18.295846,13,16.681172
-61.791956,16,16.866748
-5.289148,12,16.995247
-97.446346,21,17.235752
-58.624859,13,17.37944
-14.808482,12,17.520446
-27.993379,9,17.622945
-54.795663,19,17.835943
-20.0,9,17.933952
-12.524599,17,18.116254
-6.166745,9,18.211517
-37.837486,16,18.379792
-18.447409,7,18.458013
-2.564674,7,18.537083
-160.003,17,18.725519
-14.097596,16,18.895017
-25.131907,11,19.019019
-65.016038,17,19.216019
-23.734594,15,19.37965
-69.155264,22,19.646703
-32.850974,11,19.78174
-81.532637,11,19.912958
-63.743031,21,20.155672
-13.780544,8,20.257171
-26.216508,8,20.349478
-9.39941,5,20.409617
-66.361569,14,20.572632
-100.41795,29,20.906926
-22.265572,20,21.148926
-20.773155,17,21.352925
-73.124999,8,21.446425
-13.333334,7,21.529926
-18.645476,6,21.600922
-27.05815,9,21.697954
-28.761748,9,21.802454
-17.385888,10,21.919255
-34.717008,9,22.023534
-175.416664,19,22.24511
-8.970034,10,22.366855
-31.705102,13,22.515867
-34.757302,19,22.742566
-22.5,5,22.797567
-40.50671,11,22.935182
-20.0,10,23.065676
-19.435516,10,23.183687
-5.442192,7,23.270193
-68.55725,12,23.4122
-31.339408,9,23.523535
-33.545025,6,23.60053
-12.342737,9,23.706029
-1.824812,8,23.803005
-55.525813,13,23.962664
-37.099133,11,24.092938
-45.855518,8,24.187
-265.903672,14,24.350039
-73.447648,25,24.640174
-25.485273,7,24.721676
