#{"t_start": 1770403639.1968114, "env_id": "None"}
r,l,t
-11.152187,8,1.417256
-29.085936,10,1.422256
-30.992035,12,1.426256
-69.60572,15,1.431256
-56.313858,16,1.434257
-73.555336,17,1.436257
-53.945534,19,1.440257
-18.6113,11,1.444256
-34.37688,10,1.446257
-26.933897,7,1.449256
-46.427048,15,1.449256
-105.42477,24,1.451257
-39.743446,10,1.456254
-42.560234,13,1.465255
-49.872837,19,1.469255
-40.79211,10,1.469255
-41.421318,11,1.469255
-56.354042,15,1.473255
-15.910845,5,1.475255
-33.85568,15,1.477255
-82.96272,20,1.485257
-59.204998,16,1.487257
-40.20519,10,1.489257
-64.15011,11,1.491256
-78.86086,15,1.498256
-27.003416,7,1.503262
-16.336393,8,1.503262
-67.712105,15,1.50626
-9.354116,6,1.51426
-25.53579,15,1.515051
-111.74137,21,1.517557
-35.915287,10,1.523559
-92.58452,26,1.525557
-74.96758,18,1.528558
-37.737457,15,1.530557
-42.81917,9,1.535557
-46.483547,14,1.537558
-12.502505,4,1.539557
-32.934692,12,1.543557
-17.562176,6,1.54956
-28.858133,6,1.551558
-57.38772,16,1.557558
-43.927177,16,1.559556
-71.06763,23,1.563558
-45.91886,14,1.563558
-59.911716,18,1.565557
-41.38513,11,1.565557
-44.467915,10,1.571557
-17.821466,5,1.574557
-41.198555,7,1.574557
-18.629774,7,1.580557
-32.904396,10,1.585557
-36.312782,10,1.587557
-34.193474,11,1.595557
-73.382866,18,1.595557
-45.947784,11,1.59756
-67.67453,24,1.599557
-43.755314,10,1.607561
-25.638458,9,1.613561
-66.264694,16,1.61656
-75.71126,22,1.61859
-67.064514,13,1.622591
-47.19867,15,1.62459
-18.639622,6,1.62459
-46.859726,13,1.62459
-41.73447,9,1.62459
-101.387215,23,1.627589
-34.822342,7,1.63359
-18.358269,5,1.63559
-25.759111,9,1.64259
-34.102016,11,1.64659
-38.585957,13,1.64859
-37.009293,17,1.65059
-54.003307,16,1.658591
-56.721302,13,1.658591
-60.80488,17,1.658591
-45.21632,8,1.662593
-42.269306,10,1.662593
-73.81845,14,1.662593
-9.555094,6,1.670591
-26.94443,6,1.670591
-27.626236,11,1.67259
-22.600548,8,1.678592
-68.56292,20,1.687591
-52.995174,16,1.68959
-47.377075,10,1.68959
-33.005844,7,1.69159
-37.837883,11,1.69359
-68.82397,19,1.700592
-50.30343,15,1.700592
-31.322477,8,1.704595
-8.324186,7,1.704595
-69.13364,24,1.709594
-26.308056,10,1.714594
-50.964455,12,1.716594
-54.245983,15,1.720688
-52.063686,11,1.722684
-26.695393,10,1.724685
-23.688723,8,1.726684
-11.194781,5,1.729684
-41.982037,11,1.737685
-82.09571,19,1.737685
-19.828953,6,1.737685
-37.796814,9,1.739684
-64.703735,19,1.741684
-13.557709,5,1.746684
-71.294014,18,1.748684
-26.583654,6,1.748684
-25.993713,7,1.752684
-28.899282,7,1.754684
-22.749285,6,1.759684
-72.65655,20,1.761684
-31.573471,11,1.771685
-7.7564435,5,1.771685
-23.835833,13,1.774685
-90.25613,23,1.776685
-24.17273,4,1.781685
-18.74807,13,1.783684
-55.41962,15,1.785685
-31.968067,7,1.786684
-120.83799,25,1.788686
-41.72355,9,1.792685
-58.294502,14,1.792685
-56.810444,13,1.805689
-70.654594,12,1.807689
-56.561733,16,1.807689
-45.260666,10,1.81169
-37.834076,11,1.813689
-69.25633,15,1.817719
-24.084219,5,1.817719
-19.363808,6,1.819719
-32.261147,7,1.819719
-38.75036,20,1.821718
-68.622505,19,1.823718
-32.306168,10,1.831719
-34.30446,7,1.833718
-38.724754,10,1.837718
-39.28637,9,1.842718
-40.470844,11,1.842718
-24.012716,12,1.842718
-52.368492,15,1.844719
-48.097263,13,1.848718
-38.156364,9,1.850719
-46.084084,11,1.859717
-54.200504,12,1.866718
-37.282154,17,1.868717
-27.466764,9,1.868717
-69.7319,14,1.870718
-36.535374,16,1.874717
-65.29228,15,1.874717
-37.19495,13,1.874717
-42.302994,10,1.889719
-27.744831,11,1.889719
-42.16032,10,1.891718
-35.94719,13,1.895718
-62.44198,18,1.897719
-54.602676,11,1.897719
-8.379736,4,1.899718
-28.271458,12,1.899718
-28.938684,6,1.907722
-45.718693,10,1.909721
-30.110466,9,1.917856
-35.329742,10,1.917856
-82.77864,22,1.919856
-13.836198,8,1.923858
-57.91139,14,1.928858
-67.67614,20,1.930857
-58.184692,16,1.930857
-23.422743,8,1.934856
-22.034912,4,1.938856
-24.861809,6,1.943857
-55.5878,16,1.943857
-39.41179,19,1.956857
-72.0828,18,1.956857
-47.09487,10,1.957858
-53.95157,18,1.959857
-22.197641,10,1.961856
-31.917076,10,1.961856
-72.837204,17,1.961856
-22.832537,8,1.970856
-27.919888,10,1.976858
-56.605164,22,1.976858
-46.187866,13,1.980857
-41.50533,11,1.981856
-10.397873,5,1.990857
-19.364231,7,1.990857
-71.241486,17,1.992857
-74.185585,18,1.997857
-60.315678,22,2.00486
-45.01599,14,2.00486
-34.626892,10,2.009861
-58.087936,21,2.012861
-58.347843,15,2.012861
-60.31142,13,2.01837
-41.930614,11,2.020368
-15.817659,5,2.024368
-56.284866,18,2.029367
-15.838345,5,2.029367
-38.700573,13,2.037368
-30.862278,16,2.037368
-16.063059,4,2.04437
-63.64446,21,2.046368
-40.621235,12,2.046368
-31.081244,11,2.050368
-36.57441,9,2.053367
-133.28421,23,2.058368
-99.03461,22,2.060368
-22.515266,9,2.064368
-38.11951,11,2.067368
-33.04584,9,2.067368
-71.83771,23,2.073369
-47.19511,11,2.079369
-45.244335,10,2.079369
-28.234833,9,2.081368
-48.166725,20,2.083368
-77.953354,17,2.086368
-47.427315,10,2.086368
-12.001816,5,2.095368
-7.595717,5,2.095368
-41.627842,11,2.098369
-42.578693,18,2.100368
-9.206763,4,2.104371
-53.348717,17,2.106371
-35.689896,16,2.110373
-54.725647,14,2.110373
-18.968777,4,2.112371
-15.584138,7,2.115371
-31.924109,10,2.115371
-17.847433,8,2.115371
-16.100662,6,2.123878
-15.56643,5,2.125878
-53.831505,13,2.134877
-42.720654,13,2.134877
-11.355949,6,2.134877
-34.141747,11,2.136879
-120.00909,30,2.138877
-77.37982,19,2.142878
-36.660152,11,2.14688
-24.113369,7,2.147877
-64.50181,18,2.150878
-27.5645,9,2.155877
-16.639076,8,2.157878
-55.488148,12,2.158877
-20.766546,11,2.167877
-45.27721,17,2.167877
-18.51895,6,2.170877
-36.62091,7,2.170877
-22.828102,11,2.172877
-29.522175,9,2.178878
-32.9073,18,2.18488
-44.414036,12,2.191877
-105.7844,30,2.193879
-39.172745,12,2.193879
-70.36428,13,2.195877
-71.657234,17,2.200877
-78.05474,16,2.20288
-14.697588,8,2.20988
-7.931343,6,2.21688
-54.05801,20,2.218907
-37.985634,10,2.221906
-41.931454,14,2.221906
-20.293604,5,2.225906
-10.109261,5,2.231908
-69.57239,20,2.231908
-78.18125,20,2.235906
-43.862194,13,2.235906
-58.378822,26,2.235906
-34.577515,11,2.239907
-63.552162,15,2.251906
-34.650166,9,2.253906
-36.436996,9,2.253906
-53.552166,12,2.255906
-57.530533,14,2.266906
-67.61227,19,2.268907
-65.96111,18,2.270907
-19.967218,9,2.270907
-41.972385,11,2.276906
-11.605854,6,2.278906
