#{"t_start": 1771956681.3498209, "env_id": "V2GEnv-continuous"}
r,l,t
-10.672742,12,1.247008
-19.875777,30,1.251009
-17.438633,20,1.254008
-17.183673,16,1.25701
-17.944062,16,1.259009
-33.345634,9,1.261009
-16.913726,16,1.26301
-20.815792,14,1.266009
-11.04858,15,1.268008
-29.065075,28,1.272008
-6.402135,17,1.274009
-18.452934,15,1.277008
-27.767405,24,1.280008
-8.840978,18,1.282008
-14.108622,19,1.286009
-5.291562,14,1.288008
-10.549375,13,1.290008
-19.835168,17,1.292008
-16.515001,11,1.294008
-13.395322,8,1.295007
-13.646526,9,1.297011
-17.314135,18,1.300009
-17.144261,8,1.301009
-12.773349,26,1.305009
-19.776049,12,1.307009
-25.59252,16,1.309008
-25.756587,17,1.312009
-16.294975,15,1.314007
-16.773584,10,1.316007
-24.097644,12,1.317008
-17.560629,11,1.319007
-19.692273,21,1.322007
-16.597839,19,1.32501
-19.364264,16,1.32701
-22.816098,24,1.331009
-12.000775,13,1.332009
-15.30674,16,1.33501
-31.929693,11,1.33601
-14.266904,34,1.341516
-15.992761,17,1.343515
-20.225284,35,1.347516
-36.560762,13,1.351517
-17.725188,16,1.354515
-8.587379,8,1.355515
-18.092538,15,1.357515
-6.659949,9,1.358516
-15.671823,14,1.360515
-26.088505,16,1.363517
-5.629821,11,1.365517
-10.063536,32,1.369515
-8.570744,26,1.373515
-23.069378,14,1.375515
-17.674216,21,1.378516
-13.245981,10,1.380515
-10.485111,22,1.383515
-18.410797,21,1.386515
-16.804288,21,1.389516
-18.717522,15,1.391517
-18.431218,11,1.393515
-16.566668,24,2.196855
-28.587604,16,2.237857
-26.635578,19,2.284937
-26.124299,20,2.331939
-26.472601,9,2.355305
-19.312187,16,2.393304
-11.023733,15,2.427307
-27.128217,25,2.489811
-20.163986,18,2.533812
-26.06845,17,2.576934
-21.835953,11,2.601933
-28.47746,16,2.641147
-14.910972,6,2.655147
-13.208187,6,2.672148
-22.961451,4,2.681146
-11.755103,18,2.724148
-24.158054,15,2.758407
-10.396708,6,2.772406
-31.352689,20,2.818406
-20.210313,12,2.846914
-25.714788,15,2.883914
-28.423377,5,2.894913
-23.733229,15,2.932915
-27.778924,18,2.977423
-12.114873,12,3.007422
-16.155665,11,3.035423
-10.810961,8,3.056624
-25.007182,13,3.088623
-10.83572,17,3.129625
-30.311259,12,3.183133
-10.585424,22,3.242643
-33.708744,14,3.275643
-23.655175,13,3.305643
-21.79446,8,3.326645
-13.660975,15,3.361155
-24.393796,10,3.386155
-12.001092,7,3.403154
-23.480231,17,3.442661
-24.236234,20,3.49166
-19.746732,24,3.551706
-38.547897,9,3.573705
-23.865284,8,3.591709
-11.230485,23,3.645787
-20.135419,20,3.694786
-18.298688,14,3.728787
-22.892259,20,3.777877
-20.730424,13,3.810875
-16.680901,27,3.875003
-26.622534,18,3.920002
-20.334415,12,3.946121
-27.426079,13,3.979121
-18.167351,10,4.00412
-12.717462,15,4.040225
-20.482225,12,4.070226
-20.681971,7,4.089226
-23.616361,13,4.123224
-10.992785,6,4.142738
-20.43833,35,4.248243
-23.870872,18,4.299748
-24.90964,14,4.334752
-19.105228,11,4.364456
-24.920008,26,4.426517
-25.415808,6,4.441633
-40.717535,13,4.473632
-24.633808,20,4.524631
-18.63754,11,4.549775
-15.293147,17,4.588775
-25.775883,23,4.641005
-17.793217,18,4.682005
-21.652075,14,4.714005
-20.948871,29,4.781512
-26.992303,20,4.831516
-23.588051,14,4.866019
-26.557236,23,4.927022
-15.075653,14,4.965532
-20.84454,17,5.01453
-13.467139,23,5.078038
-25.991786,19,5.12904
-24.145791,21,5.177546
-30.944566,12,5.207546
-36.818772,17,5.248053
-8.734716,16,5.284052
-17.433734,12,5.316051
-16.775419,22,5.364507
-14.409734,8,5.381508
-26.086377,20,5.427509
-14.131686,15,5.463013
-36.271902,15,5.496013
-27.321892,28,5.561261
-21.308237,21,5.61026
-29.699494,15,5.646415
-22.272891,15,5.681414
-18.601991,12,5.709413
-14.485556,25,5.768579
-21.797589,12,5.79458
-21.842427,25,5.852721
-16.036739,26,5.91472
-34.496478,16,5.951743
-22.469679,10,5.975742
-32.695552,8,5.995742
-18.169753,8,6.014741
-22.563465,16,6.05176
-16.505689,18,6.09576
-29.922679,10,6.119759
-20.484075,20,6.166061
-28.035746,12,6.19606
-29.067458,6,6.211061
-20.182267,12,6.242137
-15.954867,15,6.276895
-19.708592,22,6.327899
-27.218143,14,6.360407
-26.086852,15,6.394407
-21.788151,13,6.426968
-23.605003,12,6.454885
-12.532164,8,6.473888
-20.663034,21,6.522936
-21.913055,17,6.565092
-39.280654,18,6.606091
-24.718786,13,6.638093
-23.233177,8,6.656602
-17.309725,14,6.687602
-20.421526,15,6.724602
-23.257209,8,6.744112
-32.218373,14,6.774111
-22.047621,14,6.80611
-31.454295,18,6.847619
-23.183911,12,6.875618
-35.178877,9,6.897618
-17.710879,9,6.920617
-15.178475,14,6.953129
-31.885618,12,6.982127
-20.995641,16,7.018126
-21.206704,19,7.062483
-24.480218,21,7.109482
-7.422967,16,7.14499
-34.085676,12,7.17299
-21.867321,8,7.190991
-21.973816,6,7.205991
-23.471806,13,7.234993
-16.423026,17,7.275003
-21.077009,9,7.300024
-30.952504,14,7.341009
-24.465638,17,7.392051
-17.072662,16,7.439056
-26.376099,21,7.487095
-18.877867,18,7.532098
-13.747598,15,7.566114
-19.30085,13,7.600111
-27.186186,15,7.637115
-26.589968,20,7.684198
-21.714466,13,7.715197
-8.873593,14,7.752705
-7.743597,15,7.794704
-25.963329,8,7.817703
-25.906908,12,7.857215
-25.713325,20,7.926213
-15.695421,15,7.96438
-14.896735,10,7.991379
-25.624105,5,8.00338
-22.804358,23,8.062511
-23.094127,11,8.089509
-34.482911,26,8.147888
-23.335783,5,8.160888
-27.386092,27,8.22389
-22.107134,12,8.252399
-20.088998,13,8.284399
-35.931226,15,8.329402
-11.834902,17,8.386557
-17.709426,21,8.471719
-13.878812,8,8.507716
-28.047031,20,8.579505
-26.434898,10,8.615626
-14.604252,12,8.653683
-22.475487,10,8.681689
-36.596241,15,8.722749
-26.71589,20,8.779262
-13.960203,25,8.853769
-26.544398,18,8.904768
-25.725403,16,8.953897
-33.998736,10,8.990895
-23.734372,17,9.039898
-16.20269,7,9.058387
-19.8206,18,9.110386
-23.753011,6,9.125386
-18.522719,14,9.1619
-31.506137,13,9.193902
-15.480822,15,9.236905
-14.48165,8,9.258217
-29.88037,10,9.283217
-24.291918,14,9.318217
-25.633835,20,9.368733
-8.846369,21,9.426237
-26.878977,8,9.446748
-21.706875,11,9.476747
-29.645173,23,9.540753
-16.046991,10,9.568815
-24.4965,20,9.624815
-24.240457,26,9.694941
-20.135291,17,9.741944
-24.822727,11,9.772064
-15.356058,14,9.811062
-26.476784,16,9.853154
-10.782372,17,9.900152
