#{"t_start": 1772031508.190456, "env_id": "V2GEnv-continuous"}
r,l,t
-15.695873,11,1.393605
-14.879495,21,1.396604
-26.500242,11,1.397604
-26.382625,15,1.399604
-24.413396,20,1.400603
-24.254239,13,1.402603
-22.817425,40,1.406609
-27.673544,21,1.408607
-20.514194,19,1.410605
-8.155485,16,1.411605
-12.219578,19,1.413605
-8.277298,11,1.414605
-22.140073,29,1.417605
-28.958927,23,1.420109
-15.172061,27,1.42211
-13.373246,22,1.425109
-23.903581,10,1.426109
-15.147814,6,1.426109
-19.276823,13,1.428109
-16.141522,27,1.430109
-20.255447,11,1.432109
-18.266127,13,1.433109
-12.033517,20,1.43511
-30.611543,5,1.436109
-18.641256,9,1.437109
-11.752601,17,1.43811
-12.036414,10,1.440109
-6.761047,25,1.442108
-16.231984,9,1.443108
-17.538245,21,1.445108
-20.340573,16,1.447112
-26.502108,11,1.448109
-21.858867,14,1.450108
-11.895899,11,1.451108
-27.048873,8,1.452108
-24.59719,11,1.453108
-11.506955,15,1.455107
-9.745433,22,1.457108
-16.516197,36,1.460109
-29.778249,16,1.462108
-25.940262,12,1.463108
-34.068246,15,1.465108
-18.193664,18,1.467108
-8.488902,16,1.468108
-21.095689,14,1.47011
-9.54855,9,1.471112
-32.626877,19,1.473107
-26.308082,13,1.474109
-31.740684,11,1.475108
-7.648756,9,1.476107
-9.337742,11,1.477107
-6.598303,14,1.479107
-22.683839,16,1.480107
-21.093391,16,1.482107
-20.909824,32,1.485107
-17.352303,17,1.486107
-32.911394,10,1.487108
-22.61399,22,1.490107
-20.651119,21,1.492107
-15.571644,16,1.493107
-24.823756,14,1.495107
-26.856939,24,2.318903
-23.361532,44,2.418387
-26.151109,53,2.543893
-15.386557,53,2.671658
-19.085288,38,2.758163
-35.054972,53,2.876484
-24.115155,58,3.007992
-41.466193,70,3.163001
-13.243331,31,3.235068
-22.609711,35,3.313067
-38.507384,65,3.468617
-25.287863,47,3.573122
-21.327402,41,3.658171
-34.231381,59,3.789612
-20.149015,29,3.85512
-39.499375,63,3.998407
-14.302063,39,4.083532
-13.41688,21,4.133909
-11.227205,33,4.20991
-32.339111,39,4.302413
-38.96983,65,4.443763
-34.513962,37,4.52627
-29.382354,32,4.599268
-16.671609,46,4.70374
-47.805968,61,4.846014
-30.926039,55,4.963402
-26.942109,21,5.009405
-9.157,12,5.036909
-38.630205,41,5.129963
-26.120397,34,5.202961
-39.969663,56,5.324201
-35.503199,50,5.43943
-21.338988,31,5.513431
-39.045029,50,5.623964
-25.037567,42,5.715965
-34.848756,46,5.819469
-19.932969,34,5.894577
-23.363986,29,5.960749
-17.030746,25,6.01675
-23.951916,42,6.111918
-32.968849,46,6.222856
-32.981048,42,6.328163
-22.345079,40,6.419163
-19.841486,46,6.521669
-23.30683,25,6.579691
-51.473192,63,6.720969
-20.478066,25,6.775394
-20.237933,44,6.871043
-46.298139,54,6.991093
-23.473006,63,7.129292
-28.97941,56,7.257576
-15.807236,9,7.275575
-21.770222,67,7.428115
-18.711392,48,7.535621
-36.216133,51,7.648878
-30.281386,47,7.756157
-20.082248,33,7.825215
-20.850688,34,7.900216
-40.372041,56,8.026098
-15.412611,45,8.126554
-18.066233,60,8.256058
-47.549652,45,8.355258
-6.264407,26,8.41426
-17.050298,48,8.524517
-22.034468,31,8.592514
-23.996707,49,8.704621
-17.130647,42,8.798956
-14.035685,32,8.868463
-22.861462,18,8.910464
-15.427391,48,9.021003
-16.096414,46,9.123608
-16.770727,31,9.193766
-22.165544,37,9.268085
-16.419614,53,9.38859
-16.251142,48,9.50272
-17.804962,43,9.603766
-19.749652,32,9.676045
-26.666307,22,9.72719
-39.776296,57,9.853245
-32.874791,48,9.959295
-15.185357,58,10.085498
-42.617576,68,10.236689
-27.407234,47,10.340743
-28.120794,59,10.465886
-51.987229,80,10.644347
-35.678186,57,10.772507
-33.249252,52,10.889625
-20.39694,47,10.993732
-49.174946,79,11.192306
-29.685597,42,11.285998
-12.520014,47,11.392253
-54.208279,86,11.579758
-32.338048,58,11.710178
-26.555181,51,11.82719
-9.873835,26,11.885192
-26.430521,41,11.973698
