#{"t_start": 1772105334.67377, "env_id": "V2GEnv-continuous"}
r,l,t
-22.846072,15,1.400879
-18.199349,32,1.403878
-28.336095,7,1.404881
-17.857187,22,1.40688
-23.331308,24,1.409879
-24.323555,24,1.41288
-7.277417,7,1.41388
-17.795396,18,1.416922
-10.546066,12,1.417923
-23.197046,20,1.420879
-22.369979,26,1.422879
-27.020572,21,1.42488
-21.253173,25,1.427879
-21.943235,26,1.429878
-13.974931,16,1.431878
-13.923175,26,1.433878
-22.224434,11,1.434878
-21.847138,27,1.437879
-25.242909,21,1.439878
-24.414564,11,1.440878
-29.714768,19,1.442878
-16.310266,13,1.443878
-25.198557,23,1.445878
-14.370215,13,1.447878
-21.384541,11,1.448878
-19.859126,22,1.450879
-20.80435,29,1.453878
-26.928455,15,1.454879
-21.413621,17,1.456878
-16.095351,17,1.457878
-19.828707,18,1.459878
-17.66537,14,1.460878
-29.761309,21,1.462878
-18.514607,17,1.46588
-17.28143,37,1.468884
-12.446823,16,1.470884
-18.667681,14,1.471884
-20.250755,18,1.473883
-26.650687,21,1.475883
-12.827042,26,1.478884
-18.245871,25,1.480883
-14.544685,19,1.483387
-8.209637,26,1.48639
-14.483374,6,1.48639
-24.69989,27,1.489391
-28.93205,14,1.490391
-22.033534,22,1.493391
-28.540745,10,1.49439
-22.021379,25,1.496392
-4.823363,21,1.499391
-18.092147,7,1.501391
-10.479343,15,1.50339
-30.410473,15,2.255215
-25.24845,17,2.290723
-17.782435,19,2.329726
-19.398023,20,2.371726
-24.627735,6,2.383754
-9.943333,9,2.402755
-14.500737,30,2.459755
-23.126259,7,2.474758
-21.131921,42,2.55777
-23.987343,28,2.612882
-19.571578,37,2.682884
-23.646205,49,2.786439
-18.424033,32,2.848438
-11.538248,21,2.888946
-28.273043,42,2.971949
-13.609015,29,3.028073
-22.534958,51,3.132087
-39.041555,54,3.24112
-22.151091,39,3.318237
-42.177582,70,3.45429
-24.500299,53,3.555799
-27.520086,54,3.662311
-15.691217,60,3.783515
-8.033088,16,3.81901
-31.063115,42,3.90052
-13.114104,40,3.977523
-28.638765,61,4.117651
-12.437911,25,4.170752
-33.01863,45,4.258485
-20.434827,45,4.347997
-36.019895,38,4.424032
-23.962724,43,4.506549
-25.69959,46,4.599061
-31.976408,62,4.71924
-22.055718,15,4.74624
-19.86356,48,4.842342
-22.923012,44,4.930436
-46.022497,60,5.047513
-28.83255,51,5.145559
-18.132762,34,5.210761
-28.971848,35,5.279764
-27.048293,48,5.377053
-16.133486,43,5.465131
-37.984355,56,5.576334
-29.404392,45,5.664366
-28.656545,57,5.781527
-27.414967,34,5.847596
-34.708457,34,5.913707
-11.297325,18,5.947707
-25.948262,40,6.025967
-21.060432,36,6.099405
-31.581173,45,6.190916
-30.930127,57,6.326182
-21.075655,62,6.455275
-39.588726,65,6.58348
-19.32527,16,6.615761
-15.021107,24,6.662761
-45.588566,62,6.791608
-22.403255,50,6.89367
-11.462694,21,6.93467
-27.752642,48,7.029877
-15.194696,41,7.112941
-42.388276,46,7.207965
-32.630348,58,7.31948
-20.086439,41,7.400992
-39.658777,44,7.488087
-17.439709,46,7.583091
-17.163105,46,7.696175
-16.817483,54,7.816438
-18.656341,57,7.940519
-18.228869,39,8.028995
-24.190432,54,8.144506
-42.835569,35,8.217769
-14.903773,36,8.289928
-38.222457,62,8.43181
