#{"t_start": 1769698799.5364795, "env_id": "V2GEnv-simple-v0"}
r,l,t
-2.319123,21,1.517913
-0.352611,28,1.557426
-2.3625,22,1.591426
-5.744438,26,1.667942
-2.86,27,1.727942
-2.220245,25,1.765579
-0.630857,28,1.811536
-6.77273,24,1.853133
-0.23125,23,1.885092
-1.864837,26,1.924093
-4.203384,33,2.00261
-2.879582,24,2.046124
-3.448101,30,2.089123
-4.8,27,2.154639
-3.098011,21,2.186637
-6.02721,32,2.233643
-1.769001,24,2.271149
-4.447561,27,2.311185
-0.842385,25,2.351707
-0.906959,22,2.394178
-0.888958,22,2.430292
-4.158003,24,2.46589
-1.854167,25,2.505048
-1.130384,20,2.555073
-1.411715,25,2.605073
-4.038417,25,2.641078
-1.886421,21,2.671587
-1.295,21,2.703587
-4.48125,23,2.739594
-1.238835,28,2.782107
-2.685318,22,2.819107
-1.112096,23,2.855622
-2.980121,25,2.894624
-0.511044,30,2.950201
-1.04865,24,2.996251
-1.328792,29,3.049722
-0.736328,22,3.083723
-0.373935,29,3.12776
-2.406033,26,3.167278
-1.778614,28,3.209279
-0.780344,22,3.245792
-1.8,21,3.276791
-2.792621,25,3.313789
-1.109802,23,3.349303
-9.154885,21,3.404305
-3.1375,22,3.463819
-5.090625,24,3.502821
-2.434313,22,3.543826
-4.10625,26,3.59637
-3.634498,26,3.641347
-0.354276,27,3.691898
-2.931909,25,3.732861
-1.887757,28,3.775368
-2.178297,26,3.818369
-2.368761,24,3.855889
-0.643989,23,3.892886
-1.821292,23,3.930893
-3.429167,22,3.965405
-2.05625,33,4.019403
-3.592649,26,4.061919
-7.753138,27,4.121916
-1.8,24,4.193471
-1.472996,27,4.246035
-3.727636,22,4.31403
-0.172014,29,4.36255
-2.062679,28,4.42455
-2.728125,27,4.474065
-1.431689,23,4.511066
-2.654929,22,4.548517
-3.566234,28,4.594885
-3.05,27,4.638491
-1.523006,24,4.687622
-3.525759,29,4.775266
-0.035685,27,4.826265
-0.131414,25,4.867822
-1.09835,28,4.914784
-1.966481,28,4.960296
-2.865019,22,4.997298
-2.364453,24,5.035302
-1.874235,22,5.069818
-0.210994,23,5.10782
-0.128757,23,6.65139
-2.099422,23,6.687886
-0.17685,27,6.731384
-2.151749,29,6.796134
-4.655707,23,6.833172
-0.93377,26,6.877681
-1.30684,30,6.925681
-0.012597,25,6.968197
-3.583707,26,7.0122
-2.931466,27,7.057718
-0.511437,23,7.098715
-0.160241,23,7.136723
-5.395249,23,7.177274
-1.361473,25,7.230269
-1.044152,23,7.271824
-6.278538,25,7.313826
-2.041667,27,7.358343
-4.046285,21,7.392342
-0.553448,22,7.43034
-1.852089,25,7.471855
-6.273812,22,7.507857
-0.185,23,7.549371
-0.538059,28,7.596374
-0.815345,24,7.638377
-3.790395,25,7.679884
-0.531771,23,7.717887
-3.96875,24,7.773404
-0.068924,31,7.871967
-1.10625,21,7.915928
-2.951157,27,7.962447
-2.161461,27,8.009449
-0.818953,25,8.055964
-1.124928,24,8.100963
-2.291507,22,8.137968
0.0,22,8.176481
-3.791477,23,8.216483
-0.554444,28,8.261995
-5.417887,22,8.300995
-2.9625,26,8.350619
-2.251086,26,8.405622
-0.925,26,8.454206
-3.179224,22,8.490206
-1.918543,24,8.533209
-0.228229,25,8.582723
-0.0925,26,8.627727
-6.129381,23,8.665243
-0.023125,28,8.71124
-4.570834,24,8.755757
-3.221408,24,8.795757
-2.109416,20,8.831763
-0.34375,22,8.874658
-1.610994,21,8.912174
-7.877889,21,8.953431
-2.029104,27,9.029108
-3.415252,24,9.072716
-0.267894,23,9.110716
-4.584241,25,9.151233
-1.182358,24,9.220236
-0.394235,24,9.280747
-3.104425,22,9.319746
-1.176057,28,9.367268
-5.274405,24,9.416269
-1.80177,28,9.476783
-1.896054,23,9.521783
-1.411103,23,9.57039
-2.132088,29,9.625348
-1.56875,20,9.658866
-2.175488,20,9.700863
-0.4125,23,9.747381
-2.560505,23,9.78738
-2.198298,29,9.839383
-0.957482,26,9.884897
-3.340625,26,9.949414
-3.373892,28,9.999416
-1.521981,26,10.055935
-3.345924,27,10.109936
-0.903366,23,10.159536
-5.314924,26,10.206499
-5.292643,27,10.253016
-5.885271,28,10.303014
-2.35042,25,10.34502
-2.693358,27,10.395532
-0.911948,25,10.440538
-0.679718,24,12.476211
-1.542932,29,12.537251
-0.361808,25,12.589771
-0.783782,27,12.665285
-1.938938,17,12.700287
-0.300625,21,12.737291
-2.30625,24,12.780806
-0.808033,25,12.825805
-2.407361,25,12.882324
-0.505899,24,12.927325
-2.418828,28,12.977844
-2.080812,19,13.016842
-0.19908,27,13.069451
-0.731716,25,13.127435
-0.240625,23,13.180521
-0.171875,24,13.227472
-0.415524,27,13.275173
-2.468633,24,13.324686
-0.916408,25,13.370207
-0.701501,25,13.415207
-0.42681,25,13.460723
-2.175,32,13.515722
-1.150049,26,13.566241
-0.339167,25,13.614275
-0.231812,25,13.679838
-0.518697,28,13.733842
-0.462759,25,13.781348
-1.189394,25,13.824348
-1.205427,23,13.866861
-3.872288,25,13.922861
-0.228474,26,13.971381
-0.234458,25,14.020384
-1.092806,20,14.057896
-0.938046,24,14.105946
-1.125515,21,14.145904
-0.721875,23,14.191417
-3.45815,24,14.246422
-1.575746,20,14.285934
-0.549891,21,14.326936
-0.030833,24,14.372451
-0.796367,24,14.418451
-0.849632,23,14.461967
-0.634717,27,14.509968
-0.697951,25,14.560485
-0.39998,22,14.612485
-1.917279,24,14.664997
-0.378125,25,14.724997
-0.148628,20,14.781557
-2.08475,23,14.838564
-0.433237,24,14.892147
-2.63033,26,14.975665
-0.521551,24,15.021665
-1.009761,26,15.074182
-0.48595,25,15.12418
-0.174012,20,15.163695
-0.603546,33,15.229696
-0.48125,30,15.290211
-0.154167,27,15.349433
-1.575689,24,15.399041
-0.581802,24,15.448654
-0.856615,27,15.503182
-0.468293,33,15.573733
-0.537328,26,15.639736
-0.916667,22,15.687248
-1.135469,25,15.738253
-5.04375,24,15.787762
-0.431667,29,15.847769
-6.123493,29,15.90828
-0.592083,26,15.9628
-0.4125,28,16.021799
-0.630132,21,16.078316
-3.648978,25,16.126316
-0.473182,26,16.180834
-4.529024,25,16.241875
-2.279396,25,16.294432
-0.154167,25,16.342401
-1.22901,24,16.389912
-2.008075,26,16.449423
-0.100271,27,16.504428
-0.171875,24,16.550946
-0.165356,26,16.603946
-2.1125,26,16.656465
-0.466256,24,16.703465
-6.593136,23,31.811916
-4.739743,26,31.874434
-4.560192,26,31.928432
-4.555238,22,31.971951
-5.338612,24,32.022987
-5.138078,22,32.074535
-4.560965,22,32.142608
-7.572549,26,32.195127
-7.396366,24,32.253121
-4.328276,24,32.29963
-3.682177,21,32.344634
-9.74754,26,32.399146
-6.752696,22,32.44715
-8.196253,24,32.496665
-5.55727,22,32.54267
-5.261177,19,32.584226
-5.22977,22,32.632335
-6.624365,22,32.701487
-3.631953,22,32.746078
-5.421621,25,32.797595
-5.323614,21,32.837595
-6.822903,23,32.891108
-4.508486,21,32.947114
-2.846483,21,32.995628
-6.951516,24,33.044631
-3.612678,21,33.088142
-5.400803,21,33.129142
-7.356744,29,33.190732
-7.296955,21,33.243737
-5.668559,22,33.29034
-6.302567,20,33.333341
-5.604473,26,33.385853
