#{"t_start": 1769718272.478297, "env_id": "V2GEnv-simple"}
r,l,t
0.0,29,1.520818
0.0,29,1.561818
0.0,38,1.625326
0.0,29,1.666329
-4.255684,33,1.714834
-3.097168,24,1.747834
-3.462906,36,1.802853
0.0,29,1.850853
-1.509777,37,1.911031
0.0,37,1.963031
0.0,29,2.005541
-2.765223,36,2.058539
-0.676908,36,2.109047
0.0,33,2.158046
0.0,34,2.206558
-0.277853,30,2.2506
-1.101618,24,2.284063
0.0,25,2.319494
-0.022679,28,2.360773
0.0,22,2.390789
0.0,27,2.428022
0.0,28,2.468036
0.0,22,2.502543
0.0,27,2.547543
0.0,22,2.585057
-2.059528,27,2.628057
