#{"t_start": 1769716983.596289, "env_id": "V2GEnv-simple-v0"}
r,l,t
0.0,32,1.529018
-0.056582,42,1.59903
0.0,30,1.640105
0.0,33,1.684102
0.0,29,1.725617
-0.130105,37,1.776617
-0.419212,31,1.822132
-1.532817,24,1.856132
-0.074975,32,1.901138
0.0,41,1.95865
0.0,23,1.989647
0.0,26,2.029169
0.0,30,2.070172
0.0,36,2.118688
-0.136607,42,2.183689
0.0,26,2.226212
-0.072156,29,2.276211
-0.183236,28,2.315306
-0.107978,30,2.358305
-0.767612,34,2.406312
-0.066964,38,2.458822
-1.696208,30,2.503824
-0.008716,43,2.563339
-2.778613,26,2.601346
0.0,29,2.642852
-0.528038,29,2.686853
0.0,37,2.739372
0.0,30,2.781371
0.0,26,2.819888
0.0,31,2.863888
-9.399454,26,2.904894
-0.799645,35,2.962415
0.0,25,3.010934
0.0,39,3.066934
0.0,26,3.103478
