#{"t_start": 1769719684.1811397, "env_id": "V2GEnv-simple"}
r,l,t
0.0,26,1.524147
0.0,31,1.566652
0.0,30,1.611656
0.0,47,1.678168
0.0,25,1.715168
-0.093553,30,1.757171
0.0,33,1.803681
0.0,30,1.853688
0.0,29,1.901201
0.0,25,1.944201
-2.382655,15,1.965205
-1.711892,39,2.019712
0.0,32,2.066717
0.0,26,2.103225
-0.063591,29,2.145224
-0.114337,29,2.18674
0.0,35,2.23574
0.0,25,2.273251
0.0,23,2.306251
0.0,29,2.347251
0.0,30,2.391764
0.0,31,2.434764
0.0,21,2.463771
0.0,29,2.507279
0.0,29,2.550282
0.0,24,2.591803
0.0,27,2.675323
0.0,28,2.722324
0.0,35,2.770835
0.0,28,2.812207
0.0,30,2.856053
0.0,28,2.896683
0.0,31,2.963808
0.0,37,3.015315
-1.510336,25,3.053319
0.0,26,3.089829
0.0,24,3.127829
0.0,36,3.181343
-0.096926,30,3.223345
0.0,26,3.267859
0.0,30,3.319867
-0.022046,35,3.385385
0.0,25,3.421385
-0.304606,37,3.478901
0.0,30,3.561909
0.0,38,3.620418
-0.115739,34,3.676931
0.0,30,3.723933
-0.019722,21,3.752939
0.0,27,3.793447
-0.38923,35,3.859454
-0.176473,28,3.900965
-2.92097,31,3.945967
0.0,34,3.994481
0.0,32,4.046484
-0.746285,42,4.115999
0.0,35,4.208592
-0.056625,40,4.276105
0.0,24,4.311103
-3.142363,40,4.368624
0.0,34,4.414623
-6.378466,45,4.480137
-0.084938,35,4.528137
0.0,26,4.566141
-0.032666,39,4.671166
0.0,34,4.720208
0.0,36,6.281435
0.0,31,6.327394
-0.233034,27,6.365397
0.0,30,6.40691
0.0,33,6.456912
0.0,37,6.509419
-0.132518,30,6.554425
0.0,27,6.59494
0.0,30,6.636938
0.0,31,6.684454
0.0,31,6.728451
0.0,30,6.772963
-0.872284,35,6.822963
0.0,25,6.85897
0.0,31,6.910557
0.0,23,6.948586
0.0,30,7.002136
0.0,32,7.050097
-1.190281,26,7.088617
0.0,26,7.128639
-4.342647,25,7.166107
0.0,26,7.204711
-1.587865,28,7.247304
-0.086891,29,7.288327
-0.771355,38,7.345325
0.0,27,7.383838
0.0,23,7.418841
0.0,29,7.460843
-0.37327,37,7.511352
0.0,38,7.567359
0.0,40,7.631872
0.0,34,7.689422
0.0,27,7.73145
-0.04504,25,7.767387
0.0,27,7.804898
0.0,29,7.845898
0.0,31,7.892407
0.0,42,7.952411
0.0,26,7.991921
0.0,31,8.036923
-0.053389,26,8.075433
0.0,25,8.113433
0.0,33,8.160436
0.0,38,8.216946
-0.463738,28,8.256949
-0.062488,30,8.303457
0.0,23,8.352493
-0.186893,26,8.396086
0.0,26,8.446088
0.0,28,8.486598
-0.051346,24,8.5236
0.0,29,8.564602
0.0,30,8.608111
0.0,25,8.64611
-1.719857,41,8.702623
0.0,32,8.759631
-0.257494,32,8.810144
0.0,29,8.853146
0.0,32,8.899663
0.0,33,8.946661
0.0,29,8.992181
0.0,31,9.045218
0.0,36,9.107691
-0.004525,36,9.158695
-0.088978,28,9.20021
0.0,29,9.250207
-0.037915,38,9.308969
0.0,32,9.354927
0.0,30,11.513495
0.0,33,11.560655
-0.099638,27,11.601182
0.0,43,11.659193
0.0,27,11.697703
-0.150445,24,11.732703
0.0,26,11.770286
0.0,35,11.829291
0.0,32,11.881879
0.0,27,11.925878
0.0,21,11.955882
0.0,32,12.000389
0.0,31,12.046392
0.0,30,12.087901
0.0,38,12.143901
0.0,32,12.190415
0.0,31,12.235419
0.0,28,12.275926
0.0,28,12.315926
-0.523325,26,12.354926
0.0,30,12.406441
-0.550092,28,12.461444
-0.058145,34,12.515953
-0.495294,41,12.587506
0.0,35,12.642542
0.0,26,12.680024
0.0,29,12.721025
-0.987622,30,12.763028
-0.079741,31,12.808538
0.0,30,12.850536
-0.505383,31,12.896047
0.0,34,12.94505
0.0,28,12.987561
0.0,28,13.036563
0.0,25,13.072073
-0.058753,24,13.106075
-0.88779,51,13.176589
0.0,28,13.22259
-0.051474,25,13.265639
0.0,26,13.309193
0.0,26,13.34819
0.0,22,13.379705
0.0,34,13.429703
-0.00294,29,13.480216
-0.017394,35,13.529217
0.0,31,13.574729
-0.17475,24,13.60973
0.0,26,13.648843
0.0,32,13.696303
0.0,27,13.735011
0.0,27,13.774042
0.0,30,13.81704
0.0,32,13.864045
0.0,24,13.904557
0.0,31,13.959563
0.0,25,14.003101
0.0,30,14.051101
-0.17266,33,14.103615
0.0,36,14.162617
-0.183508,38,14.217129
0.0,34,14.265137
