#{"t_start": 1770325524.3985252, "env_id": "V2GEnv-simple"}
r,l,t
-5.431901,30,2.151283
-0.258801,38,2.20279
0.0,31,2.243789
0.0,30,2.287793
0.0,30,2.337299
0.0,30,2.380298
-0.546651,30,2.421805
0.0,28,2.459804
-0.141797,30,2.50209
0.0,33,2.54609
-0.018342,24,2.580091
0.0,28,2.618598
-0.007907,31,2.659598
0.0,29,2.699107
0.0,25,2.734115
-0.374113,27,2.770152
0.0,30,2.812663
-3.843218,40,2.865665
-0.371165,27,2.902206
-0.003994,28,2.940205
-0.082735,36,2.986208
-0.074205,29,3.026285
0.0,33,3.070285
0.0,38,3.121303
-0.810834,35,3.172302
0.0,27,3.208404
0.0,28,3.247402
0.0,36,3.296906
0.0,32,3.338909
0.0,35,3.387911
-0.262894,32,3.430414
0.0,26,3.465415
0.0,31,3.507471
0.0,27,3.544471
-0.419771,35,3.592474
0.0,34,3.637604
-0.072021,26,3.673603
0.0,27,3.712771
-0.112195,33,3.756772
0.0,32,3.80028
0.0,38,3.851278
0.0,32,3.89428
0.0,31,3.936784
-2.025104,37,3.985785
-0.203005,31,4.027854
0.0,30,4.067079
0.0,24,4.099094
0.0,26,4.137095
-0.117165,38,4.188097
0.0,29,4.226601
0.0,23,4.258602
-0.580847,35,4.305109
-8.292217,32,4.35011
-0.00604,32,4.396113
-0.137479,31,4.445577
-0.619459,28,4.483578
0.0,27,4.522082
-0.244873,27,4.559082
0.0,25,4.593086
-0.37241,33,4.637256
0.0,30,4.678255
0.0,36,4.725298
-0.183373,33,4.770298
0.0,38,4.820807
0.0,27,4.856806
-1.243326,30,4.898402
-1.888799,29,6.636757
0.0,28,6.675757
0.0,30,6.716264
-2.286914,30,6.758267
0.0,38,6.809775
0.0,31,6.851775
0.0,25,6.885776
0.0,29,6.92428
0.0,31,6.967586
0.0,32,7.011101
0.0,32,7.055059
0.0,30,7.096268
0.0,26,7.134829
0.0,33,7.185339
0.0,27,7.221852
0.0,44,7.27985
0.0,24,7.313356
0.0,29,7.350358
-0.030523,30,7.389359
0.0,37,7.441625
-0.968113,26,7.475625
0.0,28,7.514134
0.0,31,7.556133
-0.004479,26,7.593135
0.0,31,7.636641
0.0,30,7.676641
0.0,32,7.720201
0.0,27,7.756152
0.0,30,7.796158
0.0,24,7.827667
-0.119947,36,7.883169
0.0,29,7.922191
0.0,32,7.96719
0.0,35,8.013698
0.0,29,8.052698
-0.12342,33,8.097887
-0.004332,25,8.130998
0.0,39,8.192404
0.0,31,8.23591
0.0,36,8.284911
-0.119577,30,8.326933
0.0,28,8.363933
0.0,28,8.4033
0.0,24,8.436301
-0.183344,36,8.485301
-0.312962,35,8.533813
0.0,21,8.561813
0.0,30,8.602324
0.0,38,8.655324
-0.132349,33,8.699327
0.0,26,8.735499
-0.133888,21,8.763499
0.0,35,8.810524
0.0,29,8.849524
0.0,24,8.881523
-0.552701,31,8.922555
0.0,33,8.966555
-0.043518,27,9.00172
0.0,24,9.033722
0.0,37,9.083959
-0.207051,34,9.129466
0.0,32,9.174464
0.0,27,9.213831
0.0,33,9.257832
0.0,27,9.294508
-0.549685,27,9.331516
0.0,27,9.366516
0.0,24,9.40002
-1.160792,28,10.8601
0.0,31,10.901111
0.0,30,10.94314
0.0,29,10.984141
0.0,28,11.022293
0.0,36,11.070293
0.0,20,11.097295
0.0,26,11.133372
0.0,31,11.176372
0.0,26,11.210511
0.0,27,11.247511
0.0,25,11.281511
0.0,30,11.324569
0.0,36,11.385026
0.0,27,11.420642
0.0,30,11.463858
0.0,43,11.535366
0.0,32,11.578365
0.0,35,11.626876
0.0,29,11.665875
0.0,46,11.731382
0.0,41,11.786382
0.0,27,11.822455
-0.022444,30,11.863456
-1.196059,25,11.898458
0.0,33,11.94356
0.0,35,11.989562
0.0,25,12.024065
0.0,29,12.063065
0.0,30,12.105572
0.0,24,12.143572
0.0,29,12.182572
-0.947647,46,12.245626
0.0,27,12.281626
0.0,23,12.312681
0.0,25,12.347682
0.0,30,12.387682
0.0,37,12.436809
0.0,28,12.475809
0.0,24,12.507868
0.0,31,12.550867
0.0,38,12.605654
0.0,32,12.647654
-0.033832,33,12.691655
0.0,25,12.725694
0.0,30,12.766695
0.0,31,12.808892
0.0,25,12.842892
0.0,29,12.880893
0.0,35,12.928399
-0.076033,27,12.965398
0.0,24,12.9974
-0.369762,34,13.043906
0.0,25,13.077906
0.0,26,13.113033
0.0,29,13.154033
0.0,25,13.188036
0.0,27,13.225079
0.0,32,13.269078
0.0,34,13.31311
-0.335848,29,13.354111
0.0,28,13.392112
0.0,27,13.428171
0.0,32,13.472171
0.0,28,13.510779
0.0,26,13.545715
0.0,33,13.590788
-0.700166,34,13.638349
-0.336162,31,15.076303
0.0,35,15.124809
0.0,30,15.166809
-1.148181,32,15.210932
-0.470814,32,15.254932
-0.178801,33,15.297934
0.0,34,15.344945
0.0,39,15.395947
0.0,27,15.432982
0.0,32,15.475982
0.0,27,15.512489
0.0,25,15.54749
0.0,27,15.58449
-0.345003,34,15.631997
0.0,28,15.679677
0.0,29,15.719185
0.0,34,15.765217
-0.085789,32,15.80923
0.0,31,15.85023
0.0,37,15.902385
-0.242191,33,15.946892
0.0,20,15.972892
0.0,25,16.0084
0.0,30,16.0484
0.0,31,16.091406
-0.629748,24,16.124478
0.0,36,16.17348
0.0,43,16.232991
-0.106184,50,16.298993
0.0,31,16.341499
0.0,41,16.397502
0.0,47,16.475991
0.0,35,16.522503
0.0,26,16.559503
0.0,41,16.615558
0.0,23,16.647557
0.0,27,16.682559
0.0,36,16.730568
0.0,34,16.777569
-0.164276,35,16.825591
0.0,41,16.882597
0.0,31,16.925736
0.0,32,16.968736
0.0,26,17.004246
-0.242604,23,17.035251
0.0,29,17.074249
0.0,32,17.118765
-0.106498,39,17.171763
0.0,40,17.227276
0.0,40,17.281274
-0.253453,21,17.31078
-0.106096,28,17.348782
0.0,31,17.390783
0.0,28,17.429817
0.0,27,17.466356
0.0,33,17.510862
0.0,28,17.549864
0.0,28,17.587862
-0.214488,34,17.633883
0.0,31,17.674883
0.0,34,17.719921
0.0,40,17.774921
0.0,34,17.82109
0.0,40,17.875851
0.0,29,19.341222
0.0,22,19.370221
0.0,36,19.41973
0.0,41,19.474729
0.0,28,19.512234
0.0,32,19.555235
0.0,29,19.593236
0.0,25,19.627325
0.0,26,19.662324
0.0,39,19.713509
0.0,44,19.774509
-1.365184,31,19.815559
0.0,27,19.852558
0.0,44,19.910611
-0.180367,34,19.957612
-0.003382,25,19.99188
0.0,39,20.042931
0.0,26,20.078987
0.0,34,20.123999
0.0,24,20.158998
0.0,40,20.212032
0.0,32,20.255032
0.0,31,20.298034
0.0,43,20.355059
0.0,50,20.429212
0.0,31,20.470212
0.0,36,20.518441
-0.008695,40,20.57044
0.0,37,20.620245
0.0,30,20.661245
0.0,33,20.706722
0.0,27,20.744722
0.0,45,20.80523
0.0,32,20.849233
0.0,34,20.895235
-0.058516,28,20.933271
0.0,38,20.984272
0.0,35,21.03078
0.0,41,21.08778
0.0,33,21.131287
0.0,26,21.170287
0.0,32,21.212331
0.0,33,21.257332
-0.047492,51,21.324355
0.0,22,21.355356
0.0,33,21.40436
-0.001917,35,21.450388
-1.836727,25,21.487389
0.0,26,21.524899
0.0,30,21.565899
0.0,32,21.611407
0.0,41,21.664407
0.0,27,21.702409
0.0,28,21.74692
0.0,31,21.788915
0.0,32,21.833421
0.0,29,21.871421
0.0,48,21.938927
-4.614765,21,21.967927
-4.372048,28,22.005431
0.0,34,22.051433
-2.427248,32,22.094435
-12.336269,41,74.705811
-9.542997,37,74.775319
-10.573931,38,74.852829
-14.638524,41,74.941859
-16.359414,46,75.00186
-10.950362,36,75.060369
-6.64049,28,75.111369
-10.574674,38,75.179876
-14.28234,44,75.266385
-6.961965,33,75.310384
-11.338734,35,75.402894
-12.88179,37,75.471087
-9.480158,32,75.522088
-6.898386,27,75.579595
-8.406854,33,75.671106
-9.785291,32,75.745468
-12.214923,40,75.802467
-8.319365,36,75.851977
-13.128172,42,75.915978
-9.122756,35,75.979492
-7.544728,40,76.034198
-12.244815,36,76.082711
-8.971656,33,76.127734
-11.79987,35,76.176244
-13.384747,42,76.233498
-9.705972,33,76.2795
-9.882898,33,76.323504
-12.801919,36,76.374012
-10.229235,30,76.414013
-13.702691,42,76.472526
-8.148856,30,76.512526
-10.248727,33,76.558038
-12.254029,40,76.612037
-9.958996,37,76.661543
-18.858155,53,76.733603
-5.926105,26,76.769605
-10.892364,47,76.834119
-8.699722,32,76.876119
-11.695068,39,76.930137
-17.342586,54,77.006642
-18.104036,52,77.076153
-8.730828,32,77.121158
-7.078312,29,77.169664
-6.641503,31,77.210662
-8.869724,37,77.267175
-11.246411,36,77.315175
-7.811706,31,77.357686
-17.226274,54,77.429688
-12.556249,41,77.486703
-11.599835,40,77.540213
-15.671404,45,77.603214
-11.617488,37,77.652727
-11.263663,36,77.710727
-12.519323,38,77.761238
-9.709315,33,79.174864
-9.03904,32,79.219865
-13.192329,43,79.279371
-3.964362,29,79.319374
-5.762177,26,79.353878
-7.963376,28,79.390878
-6.897934,25,79.42488
-12.056189,34,79.470965
-4.514387,25,79.503965
-4.3217,27,79.54102
-12.503943,36,79.597019
-8.432361,36,79.651031
-9.493119,29,79.69403
-11.531275,40,79.748094
-11.702269,34,79.797093
-8.694702,34,79.843122
-9.854874,32,79.890123
-8.151879,39,79.943173
-12.881089,40,80.005174
-3.346368,26,80.039254
-8.116928,32,80.082255
-6.893634,28,80.120256
-5.686168,31,80.163297
-2.95762,20,80.190454
-7.592781,27,80.228459
-7.877859,35,80.277967
-10.832827,38,80.337586
-10.048158,34,80.382976
-9.254701,33,80.428993
-12.0687,38,80.480004
-8.871646,33,80.532006
-9.781624,34,80.578513
-6.686545,23,80.608513
-8.329935,37,80.660024
-11.918145,41,80.714024
-14.42079,52,80.786535
-14.029473,50,80.863017
-3.783461,26,80.899015
-5.447115,39,80.954526
-5.877667,31,80.995526
-6.115887,25,81.02853
-12.463505,38,81.081578
-8.098343,33,81.126585
-9.145025,30,81.170372
-7.918741,28,81.208371
-3.952861,23,81.239884
