#{"t_start": 1769701793.8622482, "env_id": "V2GEnv-simple-v0"}
r,l,t
-12.84116,35,1.549328
-1.468692,24,1.58633
-6.140145,40,1.665858
-1.754148,30,1.714856
-3.832071,33,1.763369
-3.249586,27,1.803369
-1.78826,31,1.849887
-2.730743,26,1.888887
-3.49293,29,1.935806
-6.337515,36,1.989398
-1.711631,32,2.036527
-5.243387,25,2.074526
-1.062179,26,2.11253
-2.101684,28,2.157049
-5.058398,38,2.222056
-0.806333,30,2.273496
-8.610995,24,2.309498
-4.340354,27,2.357013
-5.13652,39,2.416019
-1.65902,29,2.459532
-1.048579,29,2.504533
-6.109908,36,2.559049
-2.247484,27,2.600052
-0.0925,35,2.651567
-0.602098,28,2.692569
-0.610018,26,2.733083
-4.272679,34,2.791083
-0.141293,31,2.846639
-0.309375,37,2.900604
-3.834814,26,2.94412
-1.780759,32,2.993118
-1.366885,22,3.027125
-2.004167,36,3.08364
-2.009981,21,3.115644
-2.005814,32,3.166155
-2.00464,24,3.203156
-2.879474,30,3.248669
-1.274503,30,3.304672
-6.509655,29,3.357232
-1.887868,30,3.418236
-1.802599,35,3.47275
-5.812807,27,3.514755
-1.751023,24,3.550267
-7.012973,28,3.59527
-5.719001,31,3.659787
-2.933461,25,3.700789
-4.606711,27,3.743304
-0.974872,29,3.788307
-2.801739,28,3.833827
-3.374573,25,3.872827
-1.799763,25,3.919909
-3.035632,34,3.993385
-2.228999,29,4.040908
-2.729167,28,4.086597
-2.809327,26,4.126199
-1.7125,33,4.18093
-4.670089,33,4.233968
-4.109123,34,4.289968
-7.782361,41,4.355483
-1.879642,29,4.401486
-3.5975,25,4.443007
-2.60566,31,4.502007
-1.64912,30,4.55652
-2.471484,32,4.60952
-9.725587,34,4.664039
-2.066995,24,4.711041
-7.002637,27,4.755555
-3.550117,28,4.801555
-0.50625,36,6.383388
-3.417563,36,6.441909
-0.369874,28,6.488911
-2.907206,31,6.538425
-0.274833,30,6.597426
-7.181386,38,6.663945
-3.505722,30,6.716954
-1.345565,29,6.768466
-1.283333,40,6.843988
-3.213333,32,6.905997
-5.663166,28,6.957514
-0.527494,37,7.019521
-2.628201,28,7.067033
-0.698568,28,7.114037
-1.819167,30,7.163551
-3.321887,31,7.214556
-0.357596,32,7.270068
-4.555873,31,7.321073
-2.014727,27,7.368588
-3.417392,35,7.445107
-2.446311,30,7.524116
-1.471404,36,7.595629
-1.621069,30,7.645149
-3.809953,29,7.697151
-7.380326,40,7.763665
-4.945006,32,7.819669
-0.756484,28,7.86718
-2.88551,26,7.913178
-0.58292,28,7.960693
-3.931818,41,8.040218
-0.455557,26,8.093261
-1.017239,34,8.160737
-1.392848,32,8.217743
-1.765692,28,8.266251
-4.334054,38,8.331768
-1.338864,31,8.392938
-3.485048,34,8.454375
-0.431667,34,8.51363
-1.691491,30,8.574148
-3.58152,33,8.633669
-2.444605,30,8.70467
-0.760514,29,8.760189
-3.531765,38,8.829699
-4.269673,43,8.905708
-4.360625,37,8.991223
-0.125,29,9.047736
-1.70552,26,9.09374
-0.994375,24,9.135256
-2.734167,27,9.181255
-2.592679,40,9.261775
-0.613485,46,9.358292
-2.420504,29,9.408295
-0.462645,37,9.473818
-5.155424,40,9.543329
-2.133901,30,9.59433
-0.838465,20,9.627336
-2.446862,23,9.678849
-2.78302,29,9.747361
-0.579606,33,9.813365
-9.455512,33,9.880888
-0.545047,41,9.960478
-0.604427,26,10.009479
-1.409375,37,10.082994
-1.327487,23,10.125
-2.556981,32,12.163934
-0.642256,26,12.220977
-1.18022,38,12.293117
-3.968963,30,12.34563
-2.685882,25,12.391633
-5.017291,36,12.455149
-3.757879,24,12.500147
-0.779555,27,12.548669
-1.067706,24,12.592673
-1.010309,32,12.651188
-1.293153,46,12.753978
-1.557576,28,12.813403
-3.029381,26,12.86156
-0.631848,30,12.914564
-1.028296,28,12.967079
-1.741667,40,13.039597
-0.312796,40,13.109598
-1.797471,26,13.158117
-4.185327,39,13.228124
-3.0179,29,13.285637
-1.356667,36,13.366805
-3.303999,29,13.41881
-8.070004,33,13.479318
-0.738128,23,13.523323
-1.159475,32,13.583839
-6.530803,26,13.637357
-5.649362,30,13.702357
-0.962001,28,13.754871
-1.881305,28,13.806875
-0.377872,30,13.871402
-5.653125,26,13.934999
-1.647431,30,13.990961
-1.796356,25,14.039476
-1.037311,24,14.102477
-0.599919,37,14.172997
-0.457377,45,14.266518
-0.278703,28,14.317524
-1.262989,27,14.370039
-0.425729,33,14.432564
-1.664154,45,14.535116
-0.485625,27,14.596085
-0.6875,35,14.663604
-1.233984,42,14.745121
-0.661928,41,14.834636
-1.827743,28,14.891129
-3.05,35,14.960387
-3.552719,29,15.018424
-3.218067,29,15.082938
-3.490059,23,15.136466
-6.187196,28,15.189461
-1.452559,32,15.251977
-3.476011,32,15.311982
-3.382739,27,15.365504
-1.372744,37,15.455024
-1.30625,31,15.514028
-0.4625,34,15.589539
-2.282898,41,15.683689
-1.319109,34,15.749208
-2.7125,31,15.809207
-0.571405,33,15.870724
-1.371732,30,15.930729
-0.156555,36,16.001244
-0.494426,47,16.089758
-0.700404,41,16.171272
-6.918285,24,40.167937
-11.260101,39,40.245458
-5.945244,23,40.290457
-7.520119,29,40.352983
-9.402009,32,40.428988
-13.641573,38,40.5075
-6.431677,36,40.58202
-8.831384,40,40.658543
-18.112096,45,40.757064
-12.745386,43,40.846172
-8.874899,35,40.927968
-6.634086,31,40.998484
-6.247259,28,41.065
-9.332588,34,41.135007
-7.346995,34,41.201523
-12.756395,40,41.283041
-7.698513,26,41.346561
-7.01321,36,41.419562
-6.66764,37,41.495076
-8.736101,31,41.562598
-9.094855,29,41.632611
-8.340887,29,41.701128
-9.751338,32,41.775646
-6.582284,26,41.828652
-5.227904,31,41.902164
-7.156202,29,41.957683
-6.568906,37,42.032688
-11.680907,33,42.1002
-8.340582,32,42.205727
-8.543963,31,42.268185
-10.383201,42,42.35671
-7.00869,33,42.423709
-8.291467,39,42.503224
-10.364526,47,42.599747
-11.476671,37,42.676259
-7.677985,36,42.763781
-11.614516,40,42.853296
-5.101896,24,42.905297
-5.316334,27,42.966608
-7.254375,27,43.040144
-7.385993,35,43.115174
-7.621791,28,43.172691
-7.969481,40,43.255211
-10.947354,43,43.362737
-7.714657,31,43.431743
-7.099106,32,43.50225
-4.35113,19,43.547765
-5.158341,28,43.604769
-6.329864,30,43.67128
-10.06542,30,43.734287
-8.995401,30,43.797797
-13.304053,42,43.899327
-5.493428,33,43.97684
-6.293211,31,44.052361
-13.714249,42,44.140873
-7.170945,41,44.229884
-14.980173,46,44.329401
-9.242813,36,44.406918
-7.238936,32,44.490439
-11.909193,39,44.577953
-9.192898,33,46.005151
-7.609397,30,46.070667
-6.823528,25,46.12467
-9.991422,36,46.204193
-7.929168,35,46.300722
-9.15083,31,46.368243
-13.248694,44,46.474758
-8.704833,25,46.533763
-5.555229,33,46.631282
-10.246145,34,46.709795
-11.295665,35,46.788318
-9.926537,31,46.873844
-8.423968,28,46.945362
-8.657107,35,47.022362
-5.884184,36,47.103876
-11.990114,42,47.196403
-12.562011,38,47.285526
-6.742558,35,47.362716
-7.049713,32,47.443273
-15.205936,37,47.536271
-8.912974,32,47.615788
-6.474152,38,47.707308
-12.949447,36,47.787825
-8.13886,28,47.853343
-17.989754,45,47.954865
-5.679713,22,48.010867
-9.176627,39,48.106395
-13.748079,37,48.189912
-6.369639,33,48.268434
-9.150205,34,48.34395
-9.423844,39,48.440956
-8.459243,32,48.516473
-15.536068,33,48.607002
-7.606414,31,48.678519
-8.299213,40,48.776043
-9.67472,33,48.86956
-11.914382,40,48.963082
-8.803198,26,49.023085
-6.526984,29,49.100603
-5.413677,27,49.174134
-10.538815,52,49.296649
-9.826823,37,49.380174
-9.290741,27,49.445461
-6.766391,28,49.510571
-5.864825,30,49.581607
-10.247109,29,49.647119
-6.891134,24,49.709122
-7.476524,29,49.786646
-3.987047,26,49.846167
-7.862236,33,49.923168
-6.048421,31,49.99269
-10.126681,31,50.073209
-10.243841,33,50.153731
-7.092971,36,50.236737
-4.213031,25,50.300246
-9.514105,33,50.405778
-7.373512,31,50.504292
-9.846099,37,50.604811
-6.066876,25,50.673331
-6.946507,27,50.74685
-3.872093,23,50.801854
-4.02207,27,50.864346
-12.763789,28,50.944869
-10.168775,42,52.405106
-6.253306,39,52.497626
-6.540672,27,52.569147
-8.150738,40,52.680682
-6.28181,26,52.745197
-5.749955,23,52.800198
-7.723708,29,52.869712
-4.157434,24,52.926713
-6.652303,23,52.984234
-6.83001,34,53.063747
-7.909126,25,53.13875
-8.034281,39,53.242278
-11.083237,35,53.332803
-6.877288,35,53.424321
-13.873302,37,53.512838
-11.153999,33,53.59036
-6.329488,23,53.647874
-7.904219,36,53.738106
-8.561226,23,53.798886
-7.509858,31,53.889605
-4.649808,28,53.957127
-6.781912,34,54.040133
-7.86021,31,54.122645
-5.294172,27,54.195162
-9.207821,33,54.27268
-4.104942,25,54.335685
-6.320226,29,54.4252
-6.130412,24,54.490728
-4.654228,34,54.573248
-8.582983,25,54.635251
-7.248387,33,54.715762
-4.092921,25,54.777287
-7.911356,41,54.8768
-7.7422,50,55.009322
-7.762421,31,55.090846
-7.344356,31,55.174361
-5.80855,25,55.23437
-8.518119,34,55.326883
-6.860451,21,55.379402
-9.853582,29,55.457922
-7.746375,35,55.55445
-7.924531,33,55.648964
-9.640108,36,55.738971
-4.799872,30,55.810487
-7.487013,26,55.878351
-12.373897,37,55.977619
-5.328693,25,56.050174
-7.436714,33,56.144692
-7.643107,33,56.231705
-11.300445,40,56.334757
-8.91811,45,56.450787
-7.06213,36,56.543793
-7.823962,28,56.615308
-8.49648,31,56.694827
-4.858685,24,56.760352
-7.646766,34,56.86287
-15.293238,35,56.952391
-8.204699,25,57.015392
-8.468208,26,57.081903
-7.52765,27,57.153422
-6.002895,31,57.231432
-5.95722,29,57.306946
-7.595797,30,57.400205
-6.91245,28,57.473714
-7.565649,27,57.551238
-9.883859,39,57.65975
-13.174893,28,93.028565
-11.502277,39,93.140084
-13.486748,25,93.218647
-10.191959,25,93.301131
-13.058464,29,93.383643
-12.149157,23,93.444652
-10.980893,33,93.54717
-11.621621,28,93.619679
-9.766459,44,93.758215
-15.328032,47,93.909371
-10.911295,27,93.98789
-25.962895,35,94.097405
-20.47323,40,94.211925
-14.529744,30,94.290446
-15.965403,32,94.377007
-12.669558,29,94.462527
-12.102816,32,94.552534
-10.445357,30,94.63105
-12.539366,37,94.73518
-11.393922,34,94.824335
-11.741071,35,94.953893
-12.207594,25,95.030481
-11.040683,22,95.088994
-7.822096,28,95.166507
-11.843325,31,95.249519
-11.927525,28,95.331027
-14.493247,29,95.411541
-15.238208,38,95.514107
-9.955806,26,95.590588
-13.221016,31,95.675106
-6.528002,25,95.751115
-7.703552,28,95.831624
-22.506773,38,95.93314
-9.570307,22,96.021653
-19.815782,36,96.147181
-12.055358,21,96.23269
-27.847427,48,96.371723
-18.064922,28,96.455734
-13.043273,34,96.548252
-6.260684,21,96.605765
-14.66384,30,96.693286
-14.918285,26,96.775854
-8.091953,31,96.870528
-10.67147,30,96.961691
-15.079079,41,97.093208
-6.579505,27,97.167763
-8.073565,28,97.239728
-11.986486,40,97.353298
-11.892365,25,97.435898
-15.15946,37,97.535375
-16.979979,31,97.62089
-13.11626,41,97.740405
-12.509589,30,97.826924
-9.239583,25,97.899482
-6.74142,26,98.002043
-10.853601,35,98.108555
-9.733382,35,98.209078
-10.53802,27,98.283599
-19.459429,30,98.367114
-14.605926,34,98.46012
-15.204839,36,98.578242
-9.259015,25,98.648217
-11.990698,27,98.72373
-10.130745,32,98.812246
-17.808284,44,98.933767
-11.443443,28,100.367036
-8.111842,20,100.423035
-10.511247,23,100.493555
-8.459845,29,100.576069
-9.34003,30,100.66008
-7.732795,31,100.758597
-6.579388,32,100.852119
-9.071886,27,100.936675
-8.771043,28,101.013148
-7.097552,27,101.085669
-13.060283,28,101.168123
-12.351955,25,101.239855
-9.076165,24,101.305881
-7.457426,26,101.379395
-11.43302,21,101.450464
-9.664611,32,101.543984
-6.311751,27,101.617497
-7.784861,23,101.683017
-11.893882,37,101.786535
-15.10964,31,101.874056
-10.877564,25,101.944058
-11.560308,21,102.012246
-9.40448,26,102.091733
-5.595506,29,102.170235
-7.070821,28,102.249246
-9.182542,30,102.333759
-7.956004,30,102.417278
-9.574462,18,102.468798
-6.945312,26,102.544844
-11.875901,37,102.66287
-11.097299,25,102.729876
-9.938546,25,102.802392
-8.351008,25,102.875908
-8.021049,37,103.008424
-8.395953,21,103.065942
-8.300695,24,103.135988
-7.696842,22,103.211583
-6.560753,26,103.295694
-7.700792,28,103.382054
-12.673217,30,103.469594
-10.897,24,103.539598
-6.422289,25,103.610109
-11.903528,34,103.70867
-9.724467,37,103.82721
-7.947047,25,103.897689
-11.387789,29,103.980204
-7.952462,26,104.054214
-13.623374,24,104.125726
-10.726397,26,104.201239
-11.091099,31,104.289752
-7.683523,24,104.378273
-7.045219,33,104.477791
-10.172879,22,104.543793
-12.283206,34,104.641318
-10.504005,25,104.712837
-11.887533,28,104.794353
-9.149253,20,104.853359
-14.512751,27,104.940022
-9.520951,32,105.034502
-12.352396,23,105.103023
-11.291229,35,105.205543
-6.518205,37,105.315065
-10.295541,29,105.399591
-4.208452,33,105.509204
-9.678312,25,105.58744
-6.306762,32,105.681958
-8.432569,26,105.759967
-13.607053,24,105.83048
-8.405162,21,105.892002
-12.759505,33,105.987521
-7.522267,24,106.057531
-11.809322,27,106.142075
-15.264916,27,106.228675
-4.803888,41,106.348192
-11.241213,26,107.77364
-5.447229,26,107.852655
-9.262113,23,107.921214
-6.315051,28,108.017793
-6.671501,31,108.111269
-8.320684,42,108.241791
-8.364482,21,108.30632
-10.674278,26,108.393838
-6.944922,26,108.483357
-7.022571,30,108.591987
-8.011519,30,108.68151
-6.743981,34,108.783028
-11.450092,35,108.888545
-5.47941,28,108.976057
-7.083761,23,109.046059
-5.696449,24,109.125663
-7.25148,30,109.221173
-5.284644,25,109.305695
-9.789369,22,109.378209
-8.592184,23,109.446209
-11.660317,30,109.538727
-11.189696,25,109.622241
-5.534896,27,109.718809
-14.991879,31,109.815547
-5.472091,25,109.893741
-8.572377,21,109.959747
-15.591637,37,110.071774
-7.317467,23,110.143779
-7.179141,37,110.266811
-7.662125,28,110.365378
-9.037944,30,110.484902
