TripID_out,DayID,IndividualID,Age_Group,Gender,Segment,TravDay,TripPurpFrom_B01ID_out,TripPurpTo_B01ID_out,TripStart_out,TripEnd_out,TripDisExSW_out,TripTravTime_out,Average_Speed_mph_out,TripStart_return,TripEnd_return,TripDisExSW_return,TripTravTime_return,Average_Speed_mph_return
2023063524,2023033161,2023005560,50-59,Male,Male 50-59,2,23,1,450,480,22,20,66,1065,1095,22,30,44
2023183434,2023093811,2023015778,40-49,Female,Female 40-49,4,23,1,415,465,21,50,25.2,1040,1110,21,70,18
2023054518,2023028634,2023004771,50-59,Male,Male 50-59,4,23,1,210,245,10,35,17.1,894,940,10,35,17.1
2023169266,2023086437,2023014522,60+,Female,Female 60+,1,23,1,550,600,30,50,36,900,950,30,50,36
2023021792,2023011265,2023001869,50-59,Female,Female 50-59,2,23,1,440,475,18,35,30.9,960,1005,18,45,24
2023046990,2023024938,2023004138,50-59,Male,Male 50-59,4,23,1,460,495,16,35,27.4,1095,1125,16,30,32
2023016847,2023008803,2023001438,50-59,Male,Male 50-59,4,23,1,313,351,17,38,26.8,913,992,18,79,13.7
2023014154,2023007394,2023001204,50-59,Female,Female 50-59,2,23,1,440,467,11,27,24.4,1059,1088,11,29,22.8
2023142305,2023073197,2023012293,40-49,Female,Female 40-49,5,23,1,510,540,14.5,30,29,855,900,14.5,30,29
2023187200,2023095918,2023016124,50-59,Male,Male 50-59,4,23,1,440,480,32,40,48,1033,1077,32,44,43.6
2023164469,2023083991,2023014137,21-29,Female,Female 21-29,5,23,1,420,480,24,60,24,1050,1095,24,45,32
2023055668,2023029206,2023004868,21-29,Male,Male 21-29,2,23,1,540,590,14,50,16.8,1110,1160,14,50,16.8
2023082578,2023042799,2023007148,50-59,Male,Male 50-59,1,23,1,300,335,11.5,35,19.7,710,730,11.5,20,34.5
2023140671,2023072244,2023012103,40-49,Female,Female 40-49,4,23,1,430,450,15,20,45,930,950,15,20,45
2023137033,2023070354,2023011789,50-59,Male,Male 50-59,4,23,1,420,450,15,30,30,1020,1050,15,30,30
2023118595,2023061625,2023010327,50-59,Male,Male 50-59,4,23,1,380,420,27,40,40.5,930,970,27,40,40.5
2023127166,2023065615,2023010978,60+,Male,Male 60+,4,23,1,475,495,16,20,48,895,928,16,33,29.1
2023057351,2023030053,2023005020,30-39,Female,Female 30-39,2,23,1,480,510,11,30,22,960,1000,11,30,22
2023185320,2023094910,2023015956,40-49,Male,Male 40-49,4,23,1,570,630,15,60,15,710,770,15,60,15
2023126730,2023065395,2023010942,50-59,Male,Male 50-59,1,23,1,420,450,10,30,20,1020,1065,10,45,13.3
2023132547,2023068024,2023011383,60+,Male,Male 60+,5,23,1,310,340,12,30,24,820,845,12,25,28.8
2023034831,2023018188,2023002986,60+,Male,Male 60+,2,23,1,465,510,15,45,20,1050,1110,15,60,15
2023196435,2023100718,2023016932,30-39,Male,Male 30-39,2,23,1,512,551,13,39,20,1038,1092,17,54,18.9
2023081122,2023042032,2023007015,50-59,Male,Male 50-59,4,23,1,450,510,23,60,23,1020,1080,23,60,23
2023000779,2023000505,2023000087,40-49,Female,Female 40-49,1,23,1,420,465,14,45,18.7,1035,1080,14,45,18.7
2023004503,2023002335,2023000377,60+,Male,Male 60+,4,23,1,420,445,18,25,43.2,960,990,18,30,36
2023132538,2023068020,2023011383,60+,Male,Male 60+,1,23,1,320,345,12,25,28.8,840,865,12,25,28.8
2023082605,2023042809,2023007149,21-29,Male,Male 21-29,4,23,1,430,470,24,40,36,990,1035,24,45,32
2023040682,2023021876,2023003579,50-59,Female,Female 50-59,1,23,1,450,510,49,60,49,930,990,49,60,49
2023136052,2023069869,2023011713,40-49,Male,Male 40-49,2,23,1,439,480,33,41,48.3,1020,1061,33,41,48.3
2023013108,2023006912,2023001128,60+,Male,Male 60+,3,23,1,45,75,10,30,20,600,630,10,30,20
2023083958,2023043531,2023007271,40-49,Male,Male 40-49,5,23,1,391,455,43,64,40.3,970,1034,43,64,40.3
2023199521,2023102100,2023017151,50-59,Male,Male 50-59,5,23,1,540,570,15,25,36,960,990,20,30,40
2023026320,2023013827,2023002296,21-29,Male,Male 21-29,2,23,1,360,420,52,60,52,960,1030,52,70,44.6
2023142279,2023073186,2023012292,21-29,Female,Female 21-29,1,23,1,360,378,10,18,33.3,885,905,10,20,30
2023021658,2023011201,2023001860,40-49,Male,Male 40-49,1,23,1,370,410,12,40,18,1170,1210,12,40,18
2023027960,2023014656,2023002416,50-59,Male,Male 50-59,5,23,1,375,395,11.2,20,33.6,945,965,11.2,20,33.6
2023050038,2023026443,2023004387,40-49,Female,Female 40-49,4,23,1,465,510,14,45,18.7,700,735,14,35,24
2023195922,2023100419,2023016880,21-29,Male,Male 21-29,4,23,1,360,390,20,30,40,780,820,20,40,30
2023151087,2023077369,2023013026,40-49,Female,Female 40-49,5,23,1,630,650,10,20,30,1095,1115,10,20,30
2023102332,2023053644,2023008970,50-59,Male,Male 50-59,3,23,1,395,419,11,24,27.5,945,978,11,23,28.7
2023102729,2023053873,2023009012,40-49,Female,Female 40-49,1,23,1,475,525,12,50,14.4,1060,1095,12,25,28.8
2023088541,2023046163,2023007703,60+,Male,Male 60+,5,23,1,270,310,27,40,40.5,870,915,27,45,36
2023121008,2023062742,2023010508,21-29,Male,Male 21-29,1,23,1,330,380,35,50,42,960,1050,35,90,23.3
2023020417,2023010630,2023001765,30-39,Female,Female 30-39,4,23,1,630,650,12,20,36,690,720,12,30,24
2023142295,2023073193,2023012293,40-49,Female,Female 40-49,1,23,1,510,540,14.5,30,29,855,900,14.5,45,19.3
2023135466,2023069616,2023011672,17-20,Female,Female 17-20,1,23,1,360,390,10,30,20,900,930,10,30,20
2023079461,2023041091,2023006874,21-29,Female,Female 21-29,1,23,1,485,520,22,35,37.7,1030,1075,22,45,29.3
2023102337,2023053646,2023008970,50-59,Male,Male 50-59,5,23,1,395,420,11,25,26.4,780,810,11,30,22
2023016652,2023008696,2023001421,30-39,Female,Female 30-39,2,23,1,480,590,10,110,5.5,720,760,10,40,15
2023153458,2023078514,2023013205,40-49,Female,Female 40-49,2,23,1,450,495,25.5,45,34,990,1035,25.5,45,34
2023133933,2023068771,2023011536,21-29,Male,Male 21-29,3,23,1,335,360,11,25,26.4,900,930,11,30,22
2023078962,2023040842,2023006827,50-59,Female,Female 50-59,4,23,1,409,435,16,26,36.9,1000,1033,16,33,29.1
2023158574,2023081125,2023013637,50-59,Male,Male 50-59,2,23,1,470,515,11.5,45,15.3,1075,1113,11.5,38,18.2
2023183148,2023093518,2023015736,21-29,Male,Male 21-29,5,23,1,540,575,17,35,29.1,1140,1175,17,30,34
2023200259,2023102566,2023017222,40-49,Female,Female 40-49,2,23,1,480,570,48,90,32,810,885,48,75,38.4
2023113386,2023059223,2023009923,60+,Female,Female 60+,3,23,1,435,480,11,45,14.7,660,690,11,30,22
2023191903,2023098284,2023016516,21-29,Female,Female 21-29,4,23,1,360,385,11,25,26.4,840,865,11,25,26.4
2023190140,2023097365,2023016351,21-29,Male,Male 21-29,2,23,1,425,449,12,24,30,1055,1085,12,30,24
2023006575,2023003664,2023000596,40-49,Female,Female 40-49,3,23,1,450,480,14,30,28,940,971,14,31,27.1
2023041939,2023022523,2023003705,60+,Male,Male 60+,4,23,1,255,300,27,45,36,690,735,27,45,36
2023096295,2023050650,2023008465,30-39,Male,Male 30-39,5,23,1,420,495,45,75,36,1080,1170,45,90,30
2023136054,2023069872,2023011713,40-49,Male,Male 40-49,5,23,1,439,480,33,41,48.3,1020,1061,33,41,48.3
